Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/2001,272.0,478.0,31.0,-237.0,,,,,
06/30/2001,-21.0,344.0,30.0,-395.0,,,,,
09/30/2001,347.0,-60.0,30.0,377.0,,,,,
12/31/2001,621.0,303.0,10.0,308.0,,,621.0,,
03/31/2002,254.699997,102.099998,9.5,143.100006,,,,,
06/30/2002,854.200012,332.0,9.0,513.200012,,,,,
09/30/2002,1082.300049,332.299988,12.0,738.0,,,,,
12/31/2002,734.400024,-793.400024,-10.2,1538.0,,,,,
03/31/2003,892.700012,340.0,10.3,542.400024,,,,,
06/30/2003,938.700012,441.200012,8.6,488.899994,,,,,
09/30/2003,1054.300049,426.100006,36.200001,592.0,,,,,
12/31/2003,947.700012,488.700012,29.6,429.399994,,,947.700012,,
