Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
06/28/2008,219.9,3.9,,223.8,0.7,0.7,3.698969,0.065602,,3.764571,1.329054,0.023571,,1.352625,
09/27/2008,345.9,3.8,,,,,5.859038,0.064366,,,2.146701,0.023583,,,
12/27/2008,907.9,18.4,,926.3,,,15.238591,0.308834,,15.547424,5.337166,0.108166,,5.445332,
03/28/2009,1614.8,16.3,0.0,1631.1,,,26.61612,0.268667,0.0,26.884787,9.234711,0.093216,0.0,9.327927,
06/27/2009,1711.9,13.1,0.0,1725.0,,,30.212488,0.231196,0.0,30.443684,9.63349,0.073719,0.0,9.707208,
09/26/2009,1410.0,13.5,0.0,1423.5,,,22.880696,0.21907,0.0,23.099766,8.239928,0.078893,0.0,8.318821,
12/26/2009,1959.0,14.0,,1973.0,,,30.670716,0.219188,,30.889905,10.934666,0.078145,,11.01281,
03/27/2010,1049.0,14.1,,1063.1,,,18.97166,0.255005,,19.226665,6.313458,0.084862,,6.39832,
06/26/2010,854.0,17.8,,871.8,,,17.339045,0.361399,,17.700445,5.258621,0.109606,,5.368227,
09/25/2010,539.0,18.6,,557.6,,,12.101482,0.417602,,12.519084,3.252827,0.11225,,3.365077,
12/25/2010,225.0,16.9,,241.9,,,5.643624,0.423899,,6.067523,1.315997,0.098846,,1.414843,
03/26/2011,74.0,14.4,,88.4,,,2.057041,0.400289,,2.45733,0.456475,0.088827,,0.545302,
06/25/2011,47.0,16.5,,63.5,,,1.364613,0.479066,,1.843679,0.293919,0.103184,,0.397103,
09/24/2011,80.0,14.0,,94.0,,,2.253267,0.394322,,2.647589,0.504299,0.088252,,0.592552,
12/31/2011,,12.9,,12.9,,,,0.321744,,0.321744,,0.076049,,0.076049,
03/31/2012,437.0,10.1,,,,,9.842564,0.227483,,,2.543981,0.058797,,,
