Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,65.666992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.134999,,,7.134999,7.134999,,90.898496,0.077922,0.077922,,90.898496,0.077922,0.077922,0.077922,
03/31/1990,64.761002,,,-45.367001,,,19.394001,,-4.303,,,,15.091,1.787,,2.864,,0.0,-4.651,16.878,-5.376,,,11.502,0.0,,,11.502,0.0,11.502,0.0,,11.502,11.502,,103.037549,0.112554,0.112554,,103.037549,0.112554,0.112554,0.112554,
06/30/1990,56.956001,,,-40.338001,,,16.618,,-5.216,,,,11.402,-0.907,,2.69,,0.0,-1.783,10.495,-2.844,,,7.651,0.0,,,7.651,0.0,7.651,0.0,,7.651,7.651,,103.037549,0.073593,0.073593,,103.037549,0.073593,0.073593,0.073593,
09/30/1990,62.210999,,,-42.995998,,,19.215,,-5.472,,,,13.743,-0.136,,2.993,,0.0,-2.857,13.607,-4.151,,,9.456,0.0,,,9.456,0.0,9.456,0.0,,9.456,9.456,,103.298577,0.090909,0.090909,,103.298577,0.090909,0.090909,0.090909,
12/31/1990,77.347,,,-54.743,,,22.604,,-6.516,,,,16.087999,0.405,,2.439,,0.0,-2.844,16.492999,-4.805,,,11.688,0.0,,,11.687999,0.0,11.688,0.0,,11.688,11.688,,103.27548,0.112554,0.112554,0.112554,103.27548,0.112554,0.112554,0.112554,
03/31/1991,59.473999,,,-42.777,,,16.696999,,-5.931,,,,10.766,5.942,,3.775,,0.0,-9.717,16.708,-4.598,,,12.11,0.0,,,12.11,0.0,12.11,0.0,,12.11,12.11,,103.245449,0.116883,0.116883,,103.245449,0.116883,0.116883,0.116883,
06/30/1991,58.043999,,,-42.889999,,,15.153999,,-6.707,,,,8.447,-0.08,,3.414,,0.0,-3.334,8.367,-1.788,,,6.579,0.0,,,6.579,0.0,6.579,0.0,,6.579,6.579,,103.337851,0.064935,0.064935,,103.337851,0.064935,0.064935,0.064935,
09/30/1991,110.819,,,-80.667,,,30.152,,-19.297001,,,,10.855,-10.304,,11.631,,0.0,-1.327,0.551,0.525,,,1.076,0.0,,,1.076,0.0,1.076,0.0,,1.076,1.076,,108.101072,0.008658,0.008658,,108.101072,0.008658,0.008658,0.008658,
12/31/1991,113.695,,,-79.918999,,,33.776001,,-9.272,,,,24.504,-5.969,,8.938,,0.0,-2.969,18.535,-3.685,,,14.85,0.0,,,14.85,0.0,14.85,0.0,,14.85,14.85,,108.199245,0.138528,0.138528,0.138528,108.199245,0.138528,0.138528,0.138528,
03/31/1992,90.254997,,,-70.596001,,,19.658997,,-8.076,,,,11.583,-6.877,,8.888,,0.0,-2.011,4.706001,-0.657,,,4.049,0.0,,,4.049001,0.0,4.049,0.0,,4.049,4.049,,108.304346,0.038961,0.038961,,108.304346,0.038961,0.038961,0.038961,
06/30/1992,102.146004,,,-77.510002,,,24.636002,,-8.943,,,,15.693,20.348001,,8.866,,0.0,-29.214001,36.041,-12.014,,,24.027,0.0,,,24.027,0.0,24.027,0.0,,24.027,24.027,,126.449404,0.203463,0.203463,,126.449404,0.203463,0.203463,0.203463,
09/30/1992,111.244003,,,-82.509003,,,28.735001,,-8.638,,,,20.097,-7.331,,7.426,,0.0,-0.095,12.766,-4.29,,,8.476,0.0,,,8.476,0.0,8.476,0.0,,8.476,8.476,,108.359791,0.077922,0.077922,,108.359791,0.077922,0.077922,0.077922,
12/31/1992,119.500992,,,-85.681991,,,33.819001,,-9.352998,,,,24.465997,-7.5,,4.1,,0.0,3.4,16.965997,-5.741,,,11.224001,0.0,,,11.224997,0.0,11.224001,0.0,,11.224001,11.224001,,90.279383,0.125541,0.125541,0.125541,90.279383,0.125541,0.125541,0.125541,
03/31/1993,107.82,,,-76.022003,,,31.797997,,-8.758,,,,23.040001,-6.691,,7.603,,0.0,-0.912,16.349001,-4.757,,,11.592,0.0,,,11.592001,0.0,11.592,0.0,,11.592,11.592,,109.782754,0.103896,0.103896,,109.782754,0.103896,0.103896,0.103896,
06/30/1993,111.078003,,,-79.294998,,,31.783005,,-8.121,,,,23.662001,-5.876,,6.528,,0.0,-0.652,17.786001,-6.291,,,11.495,0.0,,,11.495001,0.0,11.495,0.0,,11.495,11.495,,121.889457,0.095238,0.095238,,121.889457,0.095238,0.095238,0.095238,
09/30/1993,119.874001,,,-98.528,,,21.346001,,-8.309,,,,13.037,-5.512,,7.961,,0.0,-2.449,7.525,-6.176,,,1.349,0.0,,,1.349,-0.268,1.081,0.0,,1.081,1.081,,122.208238,0.008658,0.008658,,122.208238,0.008658,0.008658,0.008658,
12/31/1993,124.431999,,,-94.813004,,,29.618995,,-8.005,,,,21.614,-5.369,,0.922,,0.0,4.447,16.245,-3.347,,,12.898,0.0,,,12.898,0.268,13.166,0.0,,13.166,13.166,,140.457242,0.095238,0.095238,0.095238,140.457242,0.095238,0.095238,0.095238,
03/31/1994,131.742004,,,-101.478996,,,30.263008,,-12.787,,,,17.476,-6.22,,6.589,,0.0,-0.369,11.256,-3.031,,,8.225,0.0,,,8.225,0.0,8.225,0.0,,8.225,8.225,,160.921535,0.051948,0.051948,,160.921535,0.051948,0.051948,0.051948,
