Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Market Cap,EV/EBITDA,EV/EBIT,EV/Book Value,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
12/31/2007,13327.086,-915.8,,1121.2,1276.4,14808.886,8988.2,14.200841,0.086191,1.111187,,,2.246971,12790.488,14272.288,34.869051,,
03/31/2008,10391.976,-802.3,,1082.2,1673.2,12345.076,9324.2,17.944703,0.135536,1.187943,,,1.87935,9729.384,11682.484,28.938293,,
06/30/2008,10229.868,-644.8,,970.1,1337.0,11892.168,8990.1,14.871915,0.112427,1.162495,,,1.779466,9568.02,11230.32,27.876624,,
09/30/2008,8076.626311,-740.6,,950.3,1322.0,9608.326311,8638.3,15.303937,0.137589,1.189646,9.328472,9.926982,1.509319,8347.942,9879.642,24.958773,,
12/31/2008,5436.66,-585.2,0.0,906.7,1159.2,6917.36,7755.4,14.947005,0.167578,1.272355,9.262667,10.18457,1.215812,5700.912,7181.612,18.372802,,
03/31/2009,5451.138,-333.1,0.0,758.3,850.0,6726.338,7213.0,11.784278,0.126369,1.233933,12.39421,14.290074,1.200125,5542.614,6817.814,17.102309,,
06/30/2009,7414.060451,-817.7,0.0,707.4,745.7,8049.46045,7948.5,9.381644,0.09264,1.085702,24.466445,31.891682,1.239256,7427.376,8062.776,19.34721,,
09/30/2009,9759.488,-923.8,0.0,697.6,745.7,10278.988,8169.9,9.127407,0.072546,1.05323,35.08187,49.394464,1.52811,9962.052,10481.552,23.971521,,
12/31/2009,10133.586,-762.0,0.0,707.9,745.7,10825.186,8366.5,8.912927,0.068886,1.068248,23.791618,28.683588,1.56594,10337.949,11029.549,25.093153,,
03/31/2010,9559.333,-597.0,0.0,697.9,745.7,10405.933,8746.6,8.525599,0.071661,1.088563,14.41265,16.206094,1.424885,9692.984,10539.584,23.850408,,
06/30/2010,7554.987,-555.6,0.0,711.2,1395.7,9106.287,10215.8,13.66217,0.153268,1.205335,9.869174,10.857621,1.122999,7704.774,9256.074,20.285781,,
09/30/2010,9400.644,-664.1,0.0,696.1,1394.2,10826.844,10240.4,13.614703,0.128773,1.151713,13.368124,15.045642,1.328431,10171.293,11597.493,24.450867,,
12/31/2010,11070.006,-740.5,0.0,1096.3,1315.7,12741.506,10676.6,12.323212,0.103261,1.150994,15.914946,18.101301,1.541697,11382.786,13054.286,27.692906,,
