Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1994,147.613998,,-118.138,,29.475998,,-15.586,,,,,13.89,-3.073,,2.542,,0.0,,0.531,10.817,-5.167,,5.65,1.297,,,4.353,0.0,4.353,0.0,,4.353,4.353,,,,,,,,,,
06/30/1994,160.725006,,-126.417999,,34.307007,,-17.191999,,,,,17.115,-4.049,,2.64,,0.0,,1.409,13.066,-5.805,,7.261,0.0,,,7.261,0.0,7.261,0.0,,7.261,7.261,,,,,,,,,,
09/30/1994,170.845993,,-130.089005,,40.756989,,-17.535999,,,,,23.221001,-1.747,,2.78,,0.0,,-1.033,21.474001,-8.651,,12.823,0.0,,,12.823001,0.0,12.823,0.0,,12.823,12.823,,,,,,,,,,
12/31/1994,181.621994,,-142.951996,,38.669998,,-18.386999,,,,,20.283001,-3.522,,3.206,,0.0,,0.316,16.761001,-7.122,,9.639,0.0,,,9.639001,0.0,9.639,0.0,,9.639,9.639,,,,,,,,,,
03/31/1995,173.287994,,-133.466003,,39.821991,,-17.746,,,,,22.076,-0.612,,3.094,,0.0,,-2.482,21.464,-9.068,,12.396,0.0,,,12.396,0.0,12.396,0.0,,12.396,12.396,,24.306,0.52,0.52,,24.306,0.52,0.52,0.52,
06/30/1995,199.979996,,-148.863998,,51.115997,,-21.045,,,,,30.070999,-1.447,,4.056,,0.0,,-2.609,28.623999,-11.976,,16.648001,0.0,,,16.647999,0.0,16.648001,0.0,,16.648001,16.648001,,21.490999,0.77,0.77,,21.490999,0.77,0.77,0.77,
09/30/1995,251.210007,,-188.483002,,62.727005,,-23.256001,,,,,39.471001,4.044,,2.571,,0.0,,-6.615,43.515,-15.57,,27.945,0.0,,,27.945001,-0.568,27.377001,0.0,,27.377001,27.377001,,38.744999,0.71,0.71,,38.744999,0.71,0.71,0.71,
12/31/1995,262.381989,,-192.768005,,69.613984,,-33.071999,,,,,36.542,2.695,,1.232,,0.0,,-3.927,39.237,-7.172,,32.064999,0.0,,,32.065,-1.213,30.851999,0.0,,30.851999,30.851999,,41.400002,0.75,0.75,0.75,41.400002,0.75,0.75,0.75,
03/31/1996,289.811005,,-210.488998,,79.322006,,-26.912001,,,,,52.41,10.221,,0.396,,0.0,,-10.617,62.630999,-21.49,,41.140999,0.0,,,41.141,-1.515,39.625999,0.0,,39.625999,39.625999,,41.416,0.96,0.96,0.96,41.712002,0.95,0.95,0.95,
06/30/1996,324.330994,,-233.498001,,90.832993,,-33.195,,,,,57.638,13.897,,0.098,,0.0,,-13.995,71.535,-24.159,,47.375999,0.0,,,47.376,-0.89,46.486,0.0,,46.486,46.486,,41.138,1.13,1.13,1.13,41.404999,1.12,1.12,1.12,
