Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Acq of Fixed & Intang,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2000,652,611,,101,,101,-60.0,,,-60.0,,-620,0.0,0.0,0.0,0.0,0.0,0.0,,-620.0,159,0.0,0.0,0.0,0.0,0.0,159,,191,222.0,,
06/30/2000,1435,562,,681,,681,192.0,,,192.0,,-3811,0.0,0.0,0.0,0.0,0.0,0.0,,-3811.0,3545,-888.0,0.0,0.0,0.0,0.0,4433,,1169,476.0,,
09/30/2000,-12216,806,,383,,383,-13405.0,,,-13405.0,,255,0.0,0.0,0.0,0.0,0.0,0.0,,255.0,12814,0.0,0.0,0.0,0.0,0.0,12814,,853,418.0,,
12/31/2000,-11610,-874,,-24698,,-24698,13962.0,,,13962.0,,4189,0.0,0.0,0.0,0.0,0.0,0.0,,4189.0,5019,-477.0,0.0,0.0,0.0,0.0,5496,,-2402,,,
03/31/2001,1604,254,,215,,215,1135.0,,,1135.0,,-268,,,,,,,,,-1609,,,,,,-1609,,-273,285.0,,
06/30/2001,-480,900,,198,,198,-1578.0,,,-1578.0,,597,,,,,,,,,92,-926.0,,,,,1018,,209,353.0,,
09/30/2001,1856,476,,539,,539,841.0,,,841.0,,1752,,,,,,,,,-3350,-1.0,,,,,-3349,,258,650.0,,
12/31/2001,1613,228,,677,,677,708.0,,,708.0,,38,,,,,,,,,-1651,-493.0,,,,,-1158,,0,917.0,,
03/31/2002,608,450,,124,,124,34.0,,,34.0,,-158,,,,,,,,,-278,,,,,,-278,,172,295.0,,
06/30/2002,971,658,,663,,663,-290.0,,,-290.0,,385,,,,,,,,,-1158,-1041.0,,,,,-117,,198,561.0,,
09/30/2002,477,780,,619,,619,-922.0,,,-922.0,,-56,,,,,,,,,-328,,,,,,-328,,93,571.0,,
12/31/2002,2115,293,,1236,,1236,586.0,,,586.0,,-122,,,,,,,,,-2407,-555.0,,,,,-1852,,-414,390.0,,
03/31/2003,697,637,,-165,,-165,225.0,,,225.0,,-175,,,,,,,,,-317,,,,,,-317,,205,255.0,,
06/30/2003,981,595,,258,,258,128.0,,,128.0,,-541,,,,,,,,,-1223,-1068.0,,,,,-155,,-783,397.0,,
09/30/2003,1230,831,,739,,739,-340.0,,,-340.0,,238,,,,,,,,,-1487,,,,,,-1487,,-19,338.0,,
12/31/2003,1280,811,,523,,523,-54.0,,,-54.0,,76,,,,,,,,,-1605,-647.0,,,,,-958,,-249,433.0,,
03/31/2004,720,753,,-33,,-33,,,,,,-326,-170.0,,-170.0,,,,,-156.0,118,,229.0,-120.0,,-120.0,9,,512,241.0,,
06/30/2004,391,749,,-104,,-104,-254.0,,,-254.0,,-300,,,,,,,,,-775,-962.0,,,,,187,,-684,335.0,,
09/30/2004,1820,867,,422,,422,531.0,,,531.0,,-66,,,,,,,,,-2013,-258.0,,,,,-1755,,-259,530.0,,
12/31/2004,1921,349,,1302,,1302,270.0,,,270.0,,480,-657.0,151.0,-808.0,-25.0,,-25.0,,1162.0,-1992,-500.0,,-212.0,,-212.0,-1280,,409,272.0,,
03/31/2005,471,934,,-463,,-463,,,,,,171,-182.0,,-182.0,,,,,353.0,-533,-2.0,-214.0,-158.0,,-158.0,-159,,109,308.0,,
06/30/2005,879,731,,148,,148,,,,,,-11,-153.0,,-153.0,,,,,142.0,-1019,-1091.0,541.0,-127.0,,-127.0,-342,,-151,469.0,,
09/30/2005,1454,1417,,37,,37,,,,,,581,-174.0,,-174.0,,,,,755.0,-1589,-136.0,-660.0,-515.0,,-515.0,-278,,446,428.0,,
12/31/2005,1101,684,,224,,224,193.0,-36.0,-153.0,382.0,,-421,-281.0,124.0,-405.0,-50.0,,-50.0,,-90.0,-1225,-575.0,-6.0,-476.0,,-476.0,-168,,-545,366.0,,
03/31/2006,227,990,,-763,,-763,,,,,,-83,-190.0,,-190.0,,,,,107.0,161,-70.0,275.0,-19.0,,-19.0,-25,,305,237.0,152.0,
06/30/2006,1281,986,,295,,295,,,,,,-126,-250.0,,-250.0,,,,,124.0,-1401,-1402.0,-226.0,5.0,5.0,,222,,-246,198.0,,
09/30/2006,1604,737,,867,,867,,,,,,-135,-220.0,,-220.0,,,,,85.0,-1568,-265.0,-1191.0,,,,-112,,-99,283.0,,
12/31/2006,1039,2032,,-1080,,-1080,87.0,-172.0,-156.0,415.0,,1254,-161.0,192.0,-353.0,-90.0,,-90.0,,1505.0,-2808,-865.0,-1866.0,93.0,93.0,,-170,,-515,345.0,,
03/31/2007,128,1013,242.0,-171,,-171,-956.0,,,-956.0,,-116,-194.0,,-194.0,,,,,78.0,438,-157.0,647.0,-79.0,,-79.0,27,,450,249.0,85.0,
07/01/2007,770,1144,222.0,-239,,-239,-357.0,,,-357.0,,-95,-178.0,72.0,-250.0,,,,,83.0,-698,-1255.0,1258.0,-365.0,,-365.0,-336,,-23,351.0,140.0,
09/30/2007,1799,1010,248.0,64,,64,477.0,,,477.0,,-177,-190.0,,-190.0,,,,,13.0,-1532,-106.0,,-700.0,,-700.0,-726,,90,271.0,-225.0,
12/31/2007,961,721,231.0,-854,,-854,863.0,-43.0,-333.0,1239.0,,-569,-321.0,91.0,-412.0,-17.0,33.0,-50.0,,-231.0,-665,-664.0,-592.0,86.0,442.0,-356.0,505,0.0,-273,441.0,,
03/31/2008,85,1339,233.0,-265,,-265,-1222.0,,,-1222.0,,351,-217.0,,-217.0,,,,,568.0,-403,-39.0,265.0,-600.0,4.0,-604.0,-29,,33,160.0,,
06/30/2008,383,909,233.0,159,,159,-918.0,,,-918.0,,-399,-274.0,,-274.0,,,,,-125.0,-104,-1155.0,1816.0,-504.0,,-504.0,-261,,-120,321.0,,
09/30/2008,2079,1643,296.0,-553,,-553,693.0,,,693.0,,874,-230.0,,-230.0,,,,,1104.0,-2365,-175.0,-1667.0,-356.0,40.0,-396.0,-167,,588,264.0,,
