Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1993,99.797997,5.384,5.384,,17.025999,,,19.986,,,,,3.49,,,,45.886002,12.913,,,,,40.999001,,,,,40.999001,53.912001,,13.813,13.813,,,,0.115,,,,,,11.179001,,,11.179001,25.107,10.075,,,,,5.785,,,,5.785,15.86,40.967,,42.759998,,,0.0,,16.070999,58.830997,,58.830997,99.797997,
06/30/1993,486.278992,1.653,1.653,0.0,65.460999,,,99.724998,,,,,20.909,,,,187.748001,95.542,,,0.0,,202.988998,,,,,202.988998,298.530998,,78.869003,78.869003,,,,47.035999,,,,,,12.945004,,,12.945004,138.850006,183.313995,,,,,58.970001,,,,58.970001,242.283997,381.134003,0.0,58.686001,,,-0.023,,46.482,105.145,0.0,105.145,486.279003,
09/30/1993,499.182007,4.675,4.675,0.0,69.841003,,,101.641998,,,,,19.694,,,,195.852005,96.481003,,,0.0,,206.848999,,,,,206.848999,303.330002,,80.296997,80.296997,,,,45.422001,,,,,,14.335995,,,14.335995,140.054993,177.095993,,,,,60.862999,,,,60.862999,237.958992,378.013985,0.0,62.837002,,,-0.023,,58.354001,121.168003,0.0,121.168003,499.181988,
12/31/1993,497.506989,17.983999,17.983999,0.0,62.217999,,,82.014,,,,,57.245998,,,,219.462006,84.297997,110.130997,-25.833,0.0,,193.746994,,,,,193.746994,278.044991,,25.851999,25.851999,,,,28.819,,,,,,51.291998,,,51.291998,105.962997,95.356003,,,,,59.792,,,,59.792,155.148003,261.111,0.0,179.679001,,,-0.023,,56.739999,236.396,0.0,236.396,497.507,
03/31/1994,492.933014,2.579,2.579,,79.082001,,,100.589996,,,,,13.447,,,,195.697998,95.584999,126.202003,-30.617001,0.0,,201.649994,,,,,201.649994,297.234993,,68.805,68.805,,,,23.514999,,,,,,11.616997,,,11.616997,103.936996,79.251999,,,,,59.113998,,,,59.113998,138.365997,242.302994,0.0,180.675003,,,-0.023,,69.978002,250.630005,0.0,250.630005,492.932999,
06/30/1994,500.65799,2.713,2.713,,80.273003,,,105.742996,,,,,14.571,,,,203.300003,98.728996,132.018005,-33.289001,0.0,,198.628998,,,,,198.628998,297.357994,,66.538002,66.538002,,,,20.865999,,,,,,19.242002,,,19.242002,106.646004,65.040001,,,,,61.070999,,,,61.070999,126.111,232.757004,0.0,181.733002,,,-0.023,,86.190999,267.901001,0.0,267.901001,500.658005,
09/30/1994,498.488007,2.307,2.307,0.0,79.367996,,,91.865997,,,,,46.665001,,,,220.205994,90.481003,121.600998,-31.120001,0.0,,187.800995,,,,,187.800995,278.281998,,62.57,62.57,,,,21.756001,,,,,,21.955997,,,21.955997,106.281998,49.352001,,,,,61.639,,,,61.639,110.991001,217.272999,0.0,181.809006,,,-0.023,,99.428998,281.215004,0.0,281.215004,498.488003,
12/31/1994,474.562012,7.278,7.278,0.0,78.771004,,,88.899002,,,,,21.752001,,,,196.699997,91.139,123.896004,-32.757,0.0,,186.723007,,,,,186.723007,277.862007,,25.487,25.487,,,,9.15,,,,,,62.225,,,62.225,96.862,12.789,,,,,65.573997,,,,65.573997,78.362997,175.224997,0.0,182.365005,,,-2.703,,119.675,299.337005,0.0,299.337005,474.562002,
03/31/1995,496.303986,3.43,3.43,0.0,84.112,,,97.098,,,,,21.306999,,,,205.947006,95.386002,130.917007,-35.530998,0.0,,194.970993,,,,,194.970993,290.356995,,63.408001,63.408001,,,,30.389,,,,,,22.84,,,22.84,116.637001,31.141001,,,,,69.755997,,,,69.755997,100.896997,217.533998,0.0,180.324005,,,-36.492001,,134.938,278.770004,0.0,278.770004,496.304003,
06/30/1995,595.580017,6.921,6.921,0.0,94.125999,,,132.143005,,,,,20.318001,,,,253.507996,142.098999,179.729996,-37.631001,0.0,,199.973007,,,,,199.973007,342.072006,,68.242996,68.242996,,,,24.073999,,,,,,20.256002,,,20.256002,112.572998,93.942001,,,,,92.360001,,,,92.360001,186.302002,298.875,0.0,146.589996,,,0.0,,146.181,292.770996,3.934,296.704996,595.579996,
