Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
07/01/1989,0.783627,,,-0.326974,,0.456653,,-1.147271,,,,,-0.690618,0.256861,,0.0,,,0.0,-0.256861,-0.433757,0.0,-0.433757,0.0,,,-0.433757,0.0,-0.433757,0.0,,-0.433757,-0.433757,,9.502934,-0.045,-0.05,,9.502934,-0.045,-0.05,-0.05,
09/30/1989,0.739441,,,-0.260083,,0.479358,,-1.186906,,,,,-0.707548,0.211547,,0.0,,,0.0,-0.211547,-0.496001,0.0,-0.496001,0.0,,,-0.496001,0.0,-0.496001,0.0,,-0.496001,-0.496001,,9.571778,-0.05,-0.05,,9.571778,-0.05,-0.05,-0.05,
12/30/1989,0.694243,,,-0.290608,,0.403635,,-1.404213,,,,,-0.488787,0.511791,,0.0,,,0.0,-0.511791,0.023004,0.0,-0.488787,0.0,,,0.023004,0.0,-0.488787,0.0,,-0.488787,-0.488787,,12.147314,-0.04,-0.04,,12.147314,-0.04,-0.04,-0.04,
03/31/1990,1.25149,,,-0.312271,,0.939219,,-1.453446,,,,,-0.514227,0.0,,0.0,,,0.0,0.0,-0.514227,0.0,-0.514227,0.0,,,-0.514227,0.0,-0.514227,0.0,,-0.514227,-0.514227,,12.161998,-0.04,-0.04,,12.161998,-0.04,-0.04,-0.04,
06/30/1990,0.518297,,,-0.277282,,0.241015,,-1.478542,,,,,-1.237527,0.482703,,0.0,,,0.0,-0.482703,-0.754824,0.0,-0.754824,0.0,,,-0.754824,0.0,-0.754824,0.0,,-0.754824,-0.754824,,12.166,-0.06,-0.06,,12.166,-0.06,-0.06,-0.06,
09/30/1990,0.381803,,,-0.388964,,-0.007161,,-4.378149,,,,,-4.38531,0.451197,,0.0,,,0.0,-0.451197,-3.934113,0.0,-3.934113,0.0,,,-3.934113,0.0,-3.934113,0.0,,-3.934113,-3.934113,,12.27,-0.32,-0.32,,12.27,-0.32,-0.32,-0.32,
12/29/1990,0.628889,,,-0.416307,,0.212582,,-1.579598,,,,,-1.367016,0.574111,,0.0,,,0.0,-0.574111,-0.792905,0.0,-0.792905,0.0,,,-0.792905,0.0,-0.792905,0.0,,-0.792905,-0.792905,,12.315914,-0.065,-0.065,,12.315914,-0.065,-0.065,-0.065,
03/31/1991,0.701,,,-0.455398,,0.245602,,-1.368904,,,,,-1.123302,0.0,,0.0,,,0.0,0.0,-1.123302,0.0,-1.123302,0.0,,,-1.123302,0.0,-1.123302,0.0,,-1.123302,-1.123302,,12.397998,-0.09,-0.09,,12.397998,-0.09,-0.09,-0.09,
06/30/1991,0.728641,,,-0.695128,,0.033513,,-1.446458,,,,,-1.412945,0.370359,,0.0,,,0.0,-0.370359,-1.042586,0.0,-1.042586,0.0,,,-1.042586,0.0,-1.042586,0.0,,-1.042586,-1.042586,,12.765998,-0.08,-0.08,,12.765998,-0.08,-0.08,-0.08,
09/30/1991,0.652673,,,-0.616262,,0.036411,,-1.556528,,,,,-1.520117,0.302327,,0.0,,,0.0,-0.302327,-1.21779,0.0,-1.21779,0.0,,,-1.21779,0.0,-1.21779,0.0,,-1.21779,-1.21779,,12.77,-0.095,-0.095,,12.77,-0.095,-0.095,-0.095,
12/31/1991,0.617816,,,-0.543353,,0.074463,,-1.673108,,,,,-1.598645,0.306963,,0.0,,,0.0,-0.306963,-1.291682,0.0,-1.291682,0.0,,,-1.291682,0.0,-1.291682,0.0,,-1.291682,-1.291682,,12.788,-0.1,-0.1,,12.788,-0.1,-0.1,-0.1,
03/31/1992,0.949,,,-0.747832,,0.201168,,-1.734668,,,,,-1.5335,0.0,,0.0,,,0.0,0.0,-1.5335,0.0,-1.5335,0.0,,,-1.5335,0.0,-1.5335,0.0,,-1.5335,-1.5335,,12.852,-0.115,-0.115,,12.852,-0.115,-0.115,-0.115,
06/27/1992,0.587643,,,-0.485086,,0.102557,,-1.371035,,,,,-1.268478,0.185672,,0.0,,,0.0,-0.185672,-1.082806,0.0,-1.082806,0.0,,,-1.082806,0.0,-1.082806,0.0,,-1.082806,-1.082806,,12.86922,-0.085,-0.085,,12.86922,-0.085,-0.085,-0.085,
09/26/1992,0.705949,,,-0.650895,,0.055054,,-1.419229,,,,,-1.364175,0.155051,,0.0,,,0.0,-0.155051,-1.209124,0.0,-1.209124,0.0,,,-1.209124,0.0,-1.209124,0.0,,-1.209124,-1.209124,,12.876,-0.095,-0.095,,12.876,-0.095,-0.095,-0.095,
12/26/1992,1.058154,,,-0.51362,,0.544534,,-1.510396,,,,,-0.965862,0.125846,,0.0,,,0.0,-0.125846,-0.840016,0.0,-0.840016,0.0,,,-0.840016,0.0,-0.840016,0.0,,-0.840016,-0.840016,,12.888,-0.065,-0.065,,12.888,-0.065,-0.065,-0.065,
03/31/1993,1.230685,,,-0.392933,,0.837752,,-1.599003,,,,,-0.761251,0.0,,0.0,,,0.0,0.0,-0.761251,0.0,-0.761251,0.0,,,-0.761251,0.0,-0.761251,0.0,,-0.761251,-0.761251,,12.894,-0.055,-0.055,,12.894,-0.055,-0.055,-0.055,
06/30/1993,1.359463,,,-0.456972,,0.902491,,-1.838776,,,,,-0.795871,0.140414,,0.0,,,0.0,-0.140414,-0.655457,0.0,-0.795871,0.0,,,-0.655457,0.0,-0.795871,0.0,,-0.795871,-0.795871,,12.896,-0.06,-0.06,,12.896,-0.06,-0.06,-0.06,
09/30/1993,1.813,,,-0.554,,1.259,,-1.766,,,,,-0.507,0.141,,0.0,,,0.0,-0.141,-0.366,0.0,-0.366,0.0,,,-0.366,0.0,-0.366,0.0,,-0.366,-0.366,,12.922,-0.03,-0.03,,12.922,-0.03,-0.03,-0.03,
12/31/1993,1.958,,,-0.687,,1.271,,-1.633,,,,,-0.361,0.0,,0.0,,,0.0,0.0,-0.361,0.0,-0.361,0.0,,,-0.361,0.0,-0.361,0.0,,-0.361,-0.361,,12.932,-0.03,-0.03,,12.932,-0.03,-0.03,-0.03,
03/31/1994,2.081537,,,-0.513,,1.568537,,-1.639,,,,,-0.75,0.151,,0.495,,,0.0,-0.646,-0.599,0.0,-0.46,0.0,,,-0.599,0.0,-0.46,0.0,,-0.46,-0.46,,12.94,-0.035,-0.035,,12.94,-0.035,-0.035,-0.035,
06/30/1994,1.859,,,-0.539,,1.32,,-1.639,,,,,-0.319,0.103,,0.0,,,0.0,-0.103,-0.216,0.0,-0.216,0.0,,,-0.216,0.0,-0.216,0.0,,-0.216,-0.216,,12.95,-0.015,-0.015,,12.95,-0.015,-0.015,-0.015,
09/30/1994,1.942,,,-0.518,,1.424,,-1.628,,,,,-0.204,0.113,,0.0,,,0.0,-0.113,-0.091,0.0,-0.091,0.0,,,-0.091,0.0,-0.091,0.0,,-0.091,-0.091,,12.948,-0.005,-0.005,,12.948,-0.005,-0.005,-0.005,
12/31/1994,2.753,,,-1.124,,1.629,,-1.77,,,,,-0.141,0.111,,0.0,,,0.0,-0.111,-0.03,0.0,-0.03,0.0,,,-0.03,0.0,-0.03,0.0,,-0.03,-0.03,,12.948,-0.005,-0.005,,12.948,-0.005,-0.005,-0.005,
03/31/1995,2.676,,,-1.108,,1.568,,-1.706,,,,,-0.137,0.122,,0.0,,,0.0,-0.122,-0.015,0.0,-0.015,0.0,,,-0.015,0.0,-0.015,0.0,,-0.015,-0.015,,13.25,0.0,0.0,,13.25,0.0,0.0,0.0,
06/30/1995,2.744,,,-0.915,,1.829,,-1.876,,,,,-0.047,0.131,,0.0,,,0.0,-0.131,0.084,0.0,0.084,0.0,,,0.084,0.0,0.084,0.0,,0.084,0.084,,13.906,0.005,0.005,,13.906,0.005,0.005,0.005,
09/30/1995,3.107,,,-0.908,,2.199,,-2.275,,,,,-0.076,0.124,,0.0,,,0.0,-0.124,0.048,0.0,0.048,0.0,,,0.048,0.0,0.048,0.0,,0.048,0.048,,13.944,0.005,0.005,,13.944,0.005,0.005,0.005,
12/31/1995,3.511,,,-0.997,,2.514,,-2.457,,,,,0.057,0.132,,0.0,,,0.0,-0.132,0.189,0.0,0.189,0.0,,,0.189,0.0,0.189,0.0,,0.189,0.189,,13.988,0.015,0.015,,13.988,0.015,0.015,0.015,
03/31/1996,3.482,,,-1.102,,2.38,,-2.351,,,,,0.029,0.141,,0.0,,,0.0,-0.141,0.17,0.0,0.17,0.0,,,0.17,0.0,0.17,0.0,,0.17,0.17,,14.01,0.01,0.01,0.01,14.01,0.01,0.01,0.01,
