Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1998,21.731,,,-4.367,,17.364,,-15.504,13.663,,,,,1.841,1.86,-0.161,0.351,0.351,,0.0,-0.19,1.699,-1.238,0.461,0.0,,,0.461,0.0,0.461,0.0,0.0,0.461,0.461,,1161.24,0.000417,0.000417,0.000417,2726.856,0.0,0.0,0.0,
12/31/1998,30.93,,,-5.95,,24.98,,-21.365,,,,,,,3.615,-0.11,0.11,0.0,,0.0,0.0,3.505,-0.866,2.639,0.0,,,2.639,0.0,2.639,0.0,0.0,2.639,2.639,,2181.744,0.00125,0.00125,0.00125,3158.64,0.000833,0.000833,0.000833,
03/31/1999,42.801,,,-7.977,,34.824,,-27.063,,,,,,,7.761,0.353,0.519,0.519,,0.0,-0.872,8.114,-4.271,3.843,0.0,,,3.843,-0.078,3.765,0.0,,3.765,3.765,,1562.904,0.0025,0.0025,0.0025,2117.232,0.00125,0.00125,0.00125,
06/30/1999,49.479,,,-10.945,,38.534,,-38.807,,,,,,,-0.273,1.68,0.523,0.523,,0.0,-2.203,1.407,-0.591,0.816,0.0,,,0.816,0.0,0.816,0.0,,0.816,0.816,4.359,854.84,0.00125,0.00125,0.005,1092.912,0.00125,0.00125,0.005,
09/30/1999,58.525,,,-17.081,,41.444,,-46.478,,,,,,,-5.034,7.163,0.449,0.449,,0.0,-7.612,2.129,-0.858,1.271,0.0,,,1.271,-0.085,1.186,0.0,0.0,1.186,1.186,,1823.8,0.00125,0.00125,0.00125,2209.432,0.0,0.0,0.0,
12/31/1999,73.918999,,,-21.584999,,52.334,,-54.091999,43.39,,,,,10.701999,-1.758,8.469,0.828,0.828,,0.0,-9.297,6.711,-2.752,3.959,0.0,,,3.959,-0.159,3.8,0.0,0.0,3.8,3.8,,922.408024,0.0025,0.0025,0.0025,1101.160032,0.00125,0.00125,0.00125,
03/31/2000,85.887,,,-23.383,,62.504,,-70.028,,,,,,,-7.524,10.277,-11.122,0.845,-11.967,0.0,0.845,2.753,-1.274,1.479,0.0,,,1.479,0.279,1.758,0.0,0.0,1.758,1.758,,1941.264,0.00125,0.00125,0.00125,2250.752,0.00125,0.00125,0.00125,
06/30/2000,98.152,,,-24.204,,73.948,,-72.477,,,,,,,1.471,10.394,1.038,1.038,,0.0,-11.432,11.865,-5.401,6.464,0.0,,,6.464,0.995,7.459,0.0,0.0,7.459,7.459,,999.312,0.0075,0.0075,0.0075,1121.932,0.0075,0.0075,0.0075,
09/30/2000,113.377,,,-23.912,,89.465,,-74.542,,,,,,,14.923,10.109,0.958,0.958,,0.0,-11.067,25.032,-10.141,14.891,0.0,,,14.891,0.32,15.211,0.0,0.0,15.211,15.211,0.607,1022.964,0.015,0.015,0.02,1121.188,0.0125,0.0125,0.0175,
12/31/2000,134.007996,,,-12.51,,121.497996,,-99.768997,67.923,,,,,31.845997,21.729,10.307,0.533,0.533,,0.0,-10.84,32.036,-9.638,22.398001,0.0,,,22.398,1.468,23.865999,0.0,0.0,23.865999,23.865999,,1039.156004,0.0225,0.0225,0.0225,1119.287964,0.0225,0.0225,0.0225,
