Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Other Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Unregulated Gas Revenue,Other Gas Revenue,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,167.283005,112.587997,,,,54.695,,,,0.0,0.0,-80.903999,41.701,34.923,6.778,39.202999,,86.379005,-59.265999,10.607,13.649,5.749,29.261,27.113001,-5.323,,,0.112,,6.319,5.315,-0.059,1.063,-0.884,21.790001,-7.373,14.417,0.0,,,14.417001,0.0,14.417,-0.826,,13.591,13.591,,22.889,0.59,0.59,0.59,22.889,0.59,0.59,0.59,
06/30/1990,131.459,107.492996,,,,23.966,,,,0.0,0.0,-52.425999,36.79,28.525,8.265,15.636,,79.033001,-62.779999,13.072,13.774,5.783,30.150999,16.253,-5.281,,,0.164,,6.082,5.281,-0.085,0.886,-0.637,10.972001,-3.02,7.952,0.0,,,7.952001,0.0,7.952,-0.826,,7.126,7.126,,22.889,0.31,0.31,0.31,22.889,0.31,0.31,0.31,
09/30/1990,131.973999,115.865997,,,,16.108,,,,0.0,0.0,-49.848,39.426999,33.411999,6.015,10.421,,82.125999,-57.094002,9.995,13.913,5.754,27.431999,25.032,-5.622,,,0.158,,6.284,5.416,-0.085,0.953,-0.504,19.41,-6.481,12.929,0.0,,,12.929,0.0,12.929,-0.826,,12.103,12.103,,22.889,0.53,0.53,0.53,22.889,0.53,0.53,0.53,
12/31/1990,158.257004,112.958,,,,45.299,,,,0.0,0.0,-71.202003,39.018999,32.931999,6.087,32.182999,,87.055,-61.119999,10.591,14.027,5.852,30.65,25.934999,-5.362,,,0.017,,6.199,5.277,-0.077,0.999,-0.82,20.573,-6.848,13.725,0.0,,,13.725,0.0,13.725,-0.815,,12.91,12.91,,22.889,0.57,0.57,0.57,22.889,0.57,0.57,0.57,
03/31/1991,181.341995,117.023003,,,,64.319,,,,0.0,0.0,-88.351997,42.735001,34.444,8.291,45.617001,,92.989998,-63.893002,12.18,13.643,5.766,32.304001,29.097,-5.12,,,0.047,,6.175,5.279,-0.057,0.953,-1.008,23.977,-7.646,16.330999,0.0,,,16.331,0.0,16.330999,-0.809,,15.521999,15.521999,,22.889,0.68,0.68,0.68,22.889,0.68,0.68,0.68,
06/30/1991,137.429993,115.137001,,,,22.292999,,,,0.0,0.0,-55.188999,41.302999,31.664,9.639,13.886,,82.240993,-67.502998,14.827,13.897,5.85,32.929001,14.738,-4.718,,,0.043,,5.89,5.146,-0.059,0.803,-1.129,10.02,-3.275,6.745,0.0,,,6.745,0.0,6.745,-0.809,,5.936,5.936,,22.889,0.26,0.26,0.26,22.889,0.26,0.26,0.26,
09/30/1991,139.835007,122.803001,,,,17.032,,,,0.0,0.0,-50.695999,39.908999,31.785,8.124,10.787,,89.139008,-59.457001,9.738,13.98,5.672,30.066999,29.681999,-5.511,,,0.02,,5.937,5.236,-0.038,0.739,-0.406,24.170999,-8.175,15.996,0.0,,,15.995999,0.0,15.996,-0.809,,15.187,15.187,,22.889,0.66,0.66,0.66,22.889,0.66,0.66,0.66,
12/31/1991,164.891998,116.314003,,,,48.577999,,,,0.0,0.0,-72.891998,39.992999,33.160999,6.832,32.898998,,92.0,-64.911003,11.478,14.167,5.746,33.52,27.089001,-5.029,,,0.003,,6.84,6.466,-0.039,0.413,-1.808,22.060001,-6.96,15.1,0.0,,,15.1,0.0,15.1,-0.81,,14.29,14.29,,22.889,0.63,0.63,0.63,22.889,0.63,0.63,0.63,
03/31/1992,175.966003,119.226997,,,,56.738998,,,,0.0,0.0,-78.444,39.224999,30.868999,8.356,39.219002,,97.522003,-66.179001,11.143,14.294,6.057,34.685001,31.343,-4.028,,,0.101,,6.676,6.416,-0.078,0.338,-2.547,27.315,-8.862,18.452999,0.0,,,18.453,0.0,18.452999,-0.809,,17.643999,17.643999,,22.889,0.77,0.77,0.77,22.889,0.77,0.77,0.77,
06/30/1992,144.395996,115.709,,,,28.687,,,,0.0,0.0,-59.457001,39.834,31.795,8.039,19.622999,,84.938995,-68.382004,12.41,14.477,6.238,35.257,16.556999,-5.237,,,0.175,,6.661,6.416,-0.152,0.397,-1.249,11.319999,-3.606,7.714,0.0,,,7.713999,0.0,7.714,-0.809,,6.905,6.905,,22.945999,0.3,0.3,0.3,22.945999,0.3,0.3,0.3,
09/30/1992,141.289001,121.226997,,,,20.062,,,,0.0,0.0,-54.290001,40.645001,33.435001,7.21,13.645,,86.999001,-63.856998,11.178,15.168,6.208,31.302999,23.142,-4.642,,,0.183,,6.615,6.416,-0.138,0.337,-1.79,18.5,-5.909,12.591,0.0,,,12.591,0.0,12.591,-0.809,,11.782,11.782,,23.747999,0.5,0.5,0.5,23.747999,0.5,0.5,0.5,
12/31/1992,173.151001,121.461998,,,,51.688999,,,,0.0,0.0,-71.158997,33.756,27.767,5.989,37.403,,101.992004,-66.682999,11.705,14.653,5.956,34.368999,35.308998,-6.12,,,0.035,,6.645,6.414,-0.174,0.405,-0.49,29.188998,-9.945,19.243999,0.0,,,19.243998,0.0,19.243999,-0.81,,18.433999,18.433999,,23.808001,0.78,0.78,0.78,23.808001,0.78,0.78,0.78,
03/31/1993,189.003006,123.440002,,,,65.563004,,,,0.0,0.0,-83.710999,39.047999,30.921,8.127,44.662998,,105.292007,-69.903999,11.702,15.386,6.228,36.588001,35.388,-4.874,,,0.098,,6.62,6.366,-0.135,0.389,-1.648,30.514001,-9.534,20.98,0.0,,,20.98,0.0,20.98,-0.809,,20.171,20.171,,23.861,0.85,0.85,0.85,23.861,0.85,0.85,0.85,
06/30/1993,157.692001,119.699997,,,,37.992001,,,,0.0,0.0,-64.149002,36.049999,27.914,8.136,28.099001,,93.542999,-70.845001,12.865,15.025,6.302,36.653,22.698,-4.92,,,0.155,,6.469,6.233,-0.124,0.36,-1.394,17.778,-6.047,11.731,0.0,,,11.731,0.0,11.731,-0.848,,10.883,10.883,,23.896999,0.45,0.45,0.45,23.896999,0.45,0.45,0.45,
09/30/1993,156.309998,128.598007,,,,27.712,,,,0.0,0.0,-56.629002,36.002999,30.007999,5.995,20.625999,,99.680996,-67.689003,10.732,15.054,6.354,35.549,31.992001,-5.54,,,0.016,,6.356,5.883,-0.098,0.375,-0.8,26.452001,-9.904,16.548,0.0,,,16.548001,0.0,16.548,-0.875,,15.673,15.673,,23.896,0.66,0.66,0.66,23.896,0.66,0.66,0.66,
12/31/1993,177.626999,121.517998,,,,56.109001,,,,0.0,0.0,-73.612,33.653,25.208,8.445,39.959,,104.014999,-77.241997,16.298,15.144,6.32,39.48,26.773001,-6.778,,,0.018,,6.31,5.911,-0.039,0.438,0.486,19.995001,-7.054,12.941,0.0,,,12.941001,0.0,12.941,-0.779,,12.162,12.162,,23.896999,0.51,0.51,0.51,23.896999,0.51,0.51,0.51,
03/31/1994,200.729996,123.609001,,,,77.121002,,,,0.0,0.0,-92.833,39.467,28.174,11.293,53.366001,,107.896996,-68.329002,11.496,14.192,6.536,36.105,39.568001,-5.184,,,0.02,,6.414,5.955,-0.035,0.494,-1.21,34.384001,-12.009,22.375,0.0,,,22.375001,0.0,22.375,-0.778,,21.597,21.597,,23.896999,0.9,0.9,0.9,23.896999,0.9,0.9,0.9,
06/30/1994,147.569,115.892998,,,,31.676001,,,,0.0,0.0,-57.549,36.587,28.128,8.459,20.962,,90.02,-72.177002,14.316,13.874,6.451,37.535999,17.843,-5.106,,,0.023,,6.253,5.887,-0.027,0.393,-1.124,12.737001,-4.549,8.188,0.0,,,8.188001,0.0,8.188,-0.778,,7.41,7.41,,23.896999,0.31,0.31,0.31,23.896999,0.31,0.31,0.31,
09/30/1994,152.257004,124.339996,,,,27.917,,,,0.0,0.0,-59.660999,38.172,29.177,8.995,21.489,,92.596004,-67.341003,9.877,14.042,6.544,36.877998,25.254999,-4.71,,,0.04,,6.209,5.77,-0.038,0.477,-1.459,20.544999,-6.817,13.728,0.0,,,13.727999,0.0,13.728,-0.778,,12.95,12.95,,23.896999,0.54,0.54,0.54,23.896999,0.54,0.54,0.54,
12/31/1994,173.238998,116.973999,,,,56.264999,,,,0.0,0.0,-76.612999,35.416,25.532,9.884,41.196999,,96.625999,-73.481003,14.294,14.257,6.532,38.397999,23.145,-5.483,,,0.025,,6.188,5.795,-0.039,0.432,-0.68,17.662,-6.151,11.511,0.0,,,11.511,0.0,11.511,-0.777,,10.734,10.734,,23.896999,0.51,0.51,0.51,23.896999,0.51,0.51,0.51,
03/31/1995,187.710999,121.099998,,,,66.611,,,,0.0,0.0,-81.111,36.2,24.118999,12.081,44.910999,,106.599998,-72.328003,13.276,16.575001,6.482,35.994999,34.271999,-2.356,,,0.025,,6.408,5.931,-0.033,0.51,-4.027,31.915999,-10.9,21.016001,0.0,,,21.016,0.0,21.016001,-0.778,,20.238001,20.238001,,23.896999,0.85,0.85,0.85,23.896999,0.85,0.85,0.85,
06/30/1995,162.153,117.417999,,,,44.735001,,,,0.0,0.0,-70.746002,36.784,26.388,10.396,33.962002,,91.406998,-77.249001,15.262,15.837,6.366,39.784,14.158,-4.419,,,0.048,,6.354,5.796,-0.048,0.606,-1.887,9.739,-3.095,6.644,0.0,,,6.644,0.0,6.644,-0.778,,5.866,5.866,,23.896999,0.24,0.24,0.24,23.896999,0.24,0.24,0.24,
09/30/1995,166.748001,130.800003,,,,35.948002,,,,0.0,0.0,-66.237999,38.543999,28.653999,9.89,27.694,,100.510002,-67.817001,10.288,16.579,6.567,34.382999,32.693001,-7.154,,,0.054,,6.306,5.654,,0.62,0.902,25.539001,-8.997,16.51,0.0,,,16.542001,0.0,16.51,-0.778,,15.732,15.732,,23.896999,0.66,0.66,0.66,23.896999,0.66,0.66,0.66,
12/31/1995,203.235992,119.681999,,,,82.630997,,,,0.0,0.923,-96.592003,32.923001,25.697001,7.226,63.668999,,106.643989,-79.360001,11.935,16.636,6.506,44.283001,27.284,-5.184,,,0.043,,6.327,5.478,-0.019,0.868,-1.1,22.1,-7.816,14.284,0.0,,,14.284,0.0,14.284,-0.777,,13.507,13.507,,23.896999,0.57,0.57,0.57,23.896999,0.57,0.57,0.57,
03/31/1996,251.337006,122.564003,,,,128.289001,,,,0.0,0.484,-137.789001,33.648,26.549,7.099,104.140999,,113.548004,-72.549004,9.248,16.507999,6.846,39.946999,40.999001,-4.73,,,0.037,,6.085,5.409,-0.032,0.708,-1.318,36.269,-11.971,24.298,0.0,,,24.298001,0.0,24.298,-0.778,,23.52,23.52,,23.896,0.98,0.98,0.98,23.896,0.98,0.98,0.98,
06/30/1996,181.628006,116.928001,,,,40.271,,,,0.0,24.429001,-61.721001,33.501999,24.268999,9.233,28.219,,119.907005,-99.301003,12.525,16.032,6.55,64.194,20.606001,-4.12,,,0.033,,5.966,5.432,-0.032,0.566,-1.813,16.486001,-5.588,10.898,0.0,,,10.898001,0.0,10.898,-0.778,,10.12,10.12,,23.893,0.42,0.42,0.42,23.893,0.42,0.42,0.42,
09/30/1996,178.979996,129.481995,,,,49.275002,,,,0.0,0.223,-80.277,37.531,27.593,9.938,42.745998,,98.702995,-76.186996,11.425,16.176001,6.802,41.784,22.516001,-6.203,,,0.035,,6.061,5.346,-0.028,0.743,0.177,16.313001,-5.15,11.163,0.0,,,11.163001,0.0,11.163,-0.778,,10.385,10.385,,23.893,0.43,0.43,0.43,23.893,0.43,0.43,0.43,
12/31/1996,246.309006,121.531998,,,,,,,,0.0,124.777,-38.473999,38.474,27.007,11.467,,,207.835007,-193.613998,15.608,16.462,6.67,154.873993,14.221,-8.413,,,0.034,,6.888,5.345,-0.036,1.579,1.559,5.808,-1.649,4.159,0.0,,,4.159,0.348,4.507,-0.777,,3.73,3.73,,23.885,0.17,0.17,0.17,23.885,0.17,0.17,0.17,
03/31/1997,263.013,122.963997,,,,84.580002,,,,0.0,55.469002,-102.814003,41.301001,27.145,14.156,61.513,,160.198997,-126.929001,9.468,17.927,6.939,92.595001,33.27,-5.335,,,0.035,,6.518,5.524,-0.034,1.028,-1.148,27.935,-9.203,18.732,0.0,,,18.732,0.281,19.013,-0.778,,18.235,18.235,,23.879999,0.76,0.76,0.76,23.879999,0.76,0.76,0.76,
06/30/1997,191.360001,118.263,,,,39.326,,,,0.0,33.771,-65.387001,39.407001,24.506001,14.901,25.98,,125.973,-110.352997,13.409,19.716,6.92,70.307999,15.62,-0.59,,,0.033,,6.187,5.655,-0.03,0.562,-5.564,15.03,-4.866,10.164,0.0,,,10.164,0.185,10.349,-0.778,,9.571,9.571,,23.875,0.4,0.4,0.4,23.875,0.4,0.4,0.4,
09/30/1997,198.843002,138.026001,,,,25.518,,,,0.0,35.299,-59.709,42.586,29.124001,13.462,17.122999,,139.134003,-111.362999,10.372,21.556,7.643,71.792,27.771,-5.993,,,0.034,,7.638,6.641,-0.025,1.022,-1.611,21.778,-8.381,13.397,0.0,,,13.397,0.143,13.54,-0.784,,12.756,12.756,,26.525,0.481,0.481,0.481,26.525,0.481,0.481,0.481,
12/31/1997,238.742004,113.752998,,,,61.666,,,,0.0,63.323002,-77.305,34.165999,26.934999,7.231,43.139,,161.437004,-136.628006,9.081,19.827999,6.177,101.542,24.809,-3.928,,,0.027,,7.223,5.496,-0.011,1.738,-3.268,20.881,-7.259,13.622,0.0,,,13.622,0.188,13.81,-0.777,,13.033,13.033,,23.865999,0.55,0.55,0.55,23.865999,0.55,0.55,0.55,
03/31/1998,291.226013,127.223,,,,65.484001,,,,0.0,98.518997,-81.004997,37.995001,25.648001,12.347,43.009998,,210.221016,-176.718002,10.598,21.659,8.257,136.203995,33.502998,-4.861,,,0.029,,7.321,6.381,-0.011,0.951,-2.431,28.641998,-10.119,18.523001,0.0,,,18.522998,0.212,18.735001,-0.783,,17.952001,17.952001,,26.516001,0.68,0.68,0.68,26.516001,0.68,0.68,0.68,
06/30/1998,232.054001,137.490997,,,,24.388,,,,0.0,70.175003,-55.124001,42.135,26.905001,15.23,12.989,,176.93,-155.300003,16.348,21.256001,8.112,109.584,21.629999,-5.484,,,0.039,,7.316,6.341,-0.027,1.002,-1.793,16.145999,-4.9,11.246,0.0,,,11.245999,0.003,11.249,-0.784,,10.465,10.465,,26.511999,0.39,0.39,0.39,26.511999,0.39,0.39,0.39,
09/30/1998,247.927994,146.007004,,,,25.889999,,,,0.0,76.030998,-63.105999,45.871,31.499001,14.372,17.235001,,184.821995,-157.214996,9.313,21.229,7.798,118.875,27.607,-8.045,,,0.068,,7.107,5.664,-0.057,1.5,1.006,19.562,-6.547,13.015,0.0,,,13.015001,0.18,13.195,-1.396,,11.799,11.799,,26.509001,0.445,0.445,0.445,26.509001,0.445,0.445,0.445,
12/31/1998,292.528015,132.539001,,,,49.348999,,,,0.0,110.639999,-73.929001,41.255,26.757,14.498,32.674,,218.599014,-201.294998,16.554001,22.129999,7.735,154.876007,17.304001,-7.569,,,0.037,,6.893,5.601,-0.082,1.374,0.713,9.735001,-1.879,7.856,0.0,,,7.856001,0.216,8.072,-1.657,,6.415,6.415,,26.504999,0.24,0.24,0.24,26.504999,0.24,0.24,0.24,
03/31/1999,329.834015,142.393005,,,,68.299004,,,,0.0,119.141998,-84.689003,44.405001,26.533001,17.872,40.284,,245.145012,-203.699005,14.616,20.219,8.461,160.403,41.445999,-4.633,,,0.196,,7.144,6.402,-0.177,0.919,-2.315,36.812999,-12.623,24.190001,0.0,,,24.189999,0.215,24.405001,-1.653,,22.752001,22.752001,,26.52,0.86,0.86,0.86,26.52,0.86,0.86,0.86,
06/30/1999,221.552002,136.925003,,,,34.556,,,,0.0,50.070999,-63.848,43.161001,26.582001,16.579,20.687,,157.704002,-137.625,16.229,20.535999,8.4,92.459999,20.079,-3.554,,,0.306,,7.153,6.339,-0.248,1.062,-3.293,16.525001,-4.879,11.646,0.0,,,11.646,0.048,11.694,-1.653,,10.041,10.041,,26.601,0.38,0.38,0.38,26.601,0.38,0.38,0.38,
09/30/1999,251.005005,162.951996,,,,30.528999,,,,0.0,57.523998,-80.455002,58.780998,33.412998,25.368,21.674,,170.550003,-142.990005,15.478,21.349001,8.262,97.901001,27.559999,-6.764,,,-0.015,,8.115,6.448,-1.532,3.199,-1.366,20.796,-5.325,15.471,0.0,,,15.471,0.0,15.471,-1.652,,13.819,13.819,,26.681999,0.52,0.52,0.52,26.681999,0.52,0.52,0.52,
12/31/1999,296.149017,140.201004,,,,58.136993,,,,0.0,97.811005,-77.29599,41.052002,27.251999,13.800003,36.243999,,218.853027,-188.201004,14.241484,21.640003,6.695001,145.625,30.652,-8.868002,,,0.229,,10.356002,7.973001,-0.944,3.327,-1.259,21.783998,-6.913999,14.870002,0.0,,,14.869999,-0.263,14.607001,-1.654,,12.953001,12.953001,,26.768,0.48,0.48,0.48,26.768,0.48,0.48,0.48,
03/31/2000,398.848999,153.431,,,,76.186996,,,,0.0,169.231003,-91.299004,43.893,28.219999,15.673,47.405998,,307.549995,-264.816986,16.732,27.17,9.268,211.647003,42.733002,-4.611,,,0.368,,11.175,8.842,-1.104,3.437,-6.196,38.122002,-7.237,30.885,0.0,,,30.885002,0.0,30.885,-1.653,,29.232,29.232,,26.634001,1.1,1.1,1.1,26.634001,1.1,1.1,1.1,
06/30/2000,374.673,150.523,,,,44.002,,,,0.0,180.148,-76.166,50.29,30.02,20.27,25.876,,298.507,-285.503,21.148,27.752,8.506,228.097,13.004,1.532,,,0.399,,12.007,10.7,-0.826,2.133,-13.14,14.536,-1.529,13.007,0.0,,,13.007,0.0,13.007,-1.652,,11.355,11.355,,26.398,0.43,0.43,0.43,26.398,0.43,0.43,0.43,
