Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2003,,,,,,,,,,,,,,,,,,,,,,,,395.526001,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
06/30/2004,8970.487305,0.0,0.0,0.0,910.226013,,,0.0,0.0,0.0,0.0,0.0,7489.830078,,,8400.055664,91.253998,205.044998,-113.791,0.0,,479.177002,414.28299,395.526001,18.756989,64.894012,570.431,,272.800995,272.800995,,0.0,0.0,0.0,0.0,,7862.106232,,,7862.106232,8134.907227,150.0,150.0,0.0,0.0,,186.998993,,,,186.998993,336.998993,8471.90622,0.0,80.955002,,,0.0,461.903015,-44.277008,498.581009,0.0,498.581009,8970.487229,
09/30/2004,8517.836,7067.703,788.687,6279.016,844.956,844.956,,,,,,,,,,7912.659,90.273,210.923,-120.65,,,514.904,441.021,395.526,45.495,73.883,605.177,,92.731,92.731,,,,,,,7532.691,,,7532.691,7625.422,227.307,,,,,105.541,,,,105.541,332.848,7958.27,,76.246,,,,485.519,-2.199,559.566,,559.566,8517.836,
12/31/2004,8630.735,0.0,0.0,0.0,771.966,771.966,,0.0,0.0,0.0,0.0,0.0,7262.535,,,8034.501,88.154,204.557,-116.403,0.0,,508.08,410.736,395.526,15.21,97.344,596.234,,99.239,99.239,,,,,,,7640.581,,,7640.581,7739.82,150.0,,,,,175.724,,,,175.724,325.724,8065.544,0.0,80.719,,,-16.791,506.609,-5.346,565.191,0.0,565.191,8630.735,
03/31/2005,8555.588867,874.487,874.487,0.0,864.08197,864.08197,,0.0,0.0,0.0,0.0,0.0,0.0,,,1738.56897,97.449997,,,6195.937012,,523.632996,410.213013,395.526001,14.687012,113.419983,6817.020004,,87.739998,87.739998,,0.0,0.0,0.0,0.0,,7612.34008,,,7612.34008,7700.080078,150.0,150.0,0.0,0.0,,142.401993,,,,142.401993,292.401993,7992.482071,0.0,78.186996,,,-40.943001,533.534973,-7.671959,563.10701,0.0,563.10701,8555.589081,
06/30/2005,9402.739258,7477.937744,1331.491943,6146.445801,1315.689941,1315.689941,,0.0,0.0,0.0,0.0,0.0,,,,8793.62793,98.764999,98.764999,0.0,0.0,,510.346008,417.613007,403.364014,14.248993,92.733002,609.111008,,89.209,89.209,,0.0,0.0,0.0,0.0,,8421.23436,,,8421.23436,8510.443359,150.0,150.0,0.0,0.0,,135.891006,,,,135.891006,285.891006,8796.334366,0.0,78.584,,,-41.346001,558.721008,10.445976,606.404984,0.0,606.404984,9402.739349,
09/30/2005,9205.469,7171.646,999.089,6172.557,1401.978,1401.978,,0.0,0.0,0.0,0.0,0.0,0.0,,,8573.624,98.429,,,0.0,,533.416,417.079,403.364,13.715,116.337,631.845,,107.477,107.477,,0.0,0.0,0.0,0.0,,8220.504,,,8220.504,8327.981,161.61,161.61,0.0,0.0,,104.817,,,,104.817,266.427,8594.408,0.0,80.397,,,-53.373,587.404,-3.367,611.061,0.0,611.061,9205.469,
12/31/2005,9175.164062,7099.724182,698.690979,6401.033203,1425.621948,1425.621948,,0.0,0.0,0.0,0.0,0.0,0.0,,,8525.345703,105.544998,214.908997,-109.363998,0.0,,544.27301,417.518005,404.269989,13.248016,126.755005,649.818008,,131.186005,131.186005,,0.0,0.0,0.0,0.0,,8159.309113,,,8159.309113,8290.495117,150.0,150.0,0.0,0.0,,110.540001,,,,110.540001,260.540001,8551.035118,0.0,80.924004,,,-56.716,613.497009,-13.575993,624.129021,0.0,624.129021,9175.164139,
03/31/2006,8928.081055,894.01001,894.01001,0.0,1282.692993,1282.692993,,0.0,0.0,0.0,0.0,0.0,0.0,,,2176.702881,117.855003,,,6060.11084,,573.411987,417.019012,404.269989,12.749023,156.392975,6751.377831,,135.132996,135.132996,,0.0,-0.241,0.241,0.241,,7912.720032,,,7912.720032,8047.853027,150.0,149.962,0.038,0.038,,107.393997,,,,107.393997,257.393997,8305.247025,0.0,80.010002,,,-71.334,641.018982,-26.861008,622.833977,0.0,622.833977,8928.081001,
06/30/2006,9171.552734,728.335022,728.335022,0.0,1564.949951,1564.949951,,0.0,0.0,0.0,0.0,0.0,0.0,,,2293.284912,128.800003,,,6143.388184,,606.080017,437.490997,418.072998,19.417999,168.58902,6878.268204,,141.589005,141.589005,,0.0,-0.221,0.221,0.221,,8142.461777,,,8142.461777,8284.050781,150.0,150.0,0.0,0.0,,105.343002,,,,105.343002,255.343002,8539.393784,0.0,71.598999,,,-72.602997,674.302002,-41.139008,632.158997,0.0,632.158997,9171.55278,
