Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,204.623993,1.119,1.119,,25.006001,,,28.068001,,,,,1.201,,,,,,55.394001,46.054001,139.770004,-93.716003,0.0,,,103.176003,,,,,103.176003,149.230003,,11.331,11.331,,,,0.0,,,,,17.419999,,,17.419999,28.750999,48.0,,,,,10.512,,,,,,10.512,58.512,87.263,0.0,52.473,,,-2.506,,67.394001,117.361,0.0,117.361,204.624,
06/30/1990,156.365005,15.883,15.883,,28.214001,,,26.903,,,,,1.505,,,,,,72.504997,46.544998,141.981995,-95.436996,0.0,,,37.314999,,,,,37.314999,83.859997,,9.166,9.166,,,,0.0,,,,,18.185999,,,18.185999,27.351999,0.0,,,,,10.468,,,,,,10.468,10.468,37.82,0.0,49.292999,,,0.0,,69.251999,118.544998,0.0,118.544998,156.364998,
09/30/1990,157.072006,14.392,14.392,,27.327999,,,25.982,,,,,1.501,,,,,,69.203003,50.286999,147.792007,-97.504997,0.0,,,37.582001,,,,,37.582001,87.868999,,7.803,7.803,,,,0.0,,,,,21.206001,,,21.206001,29.009001,0.0,,,,,10.468,,,,,,10.468,10.468,39.477001,0.0,49.514,,,-2.595,,70.676001,117.595001,0.0,117.595001,157.072002,
12/31/1990,153.705994,17.294001,17.294001,,19.877001,,,28.629999,,,,,1.11,,,,,,66.911003,50.089001,149.634995,-99.545998,0.0,,,36.706001,,,,,36.706001,86.795002,,7.741,7.741,,,,0.0,,,,,15.537,,,15.537,23.278,0.0,,,,,12.801,,,,,,12.801,12.801,36.079,0.0,49.522999,,,-2.598,,70.701996,117.626995,0.0,117.626995,153.705995,
03/31/1991,171.367996,2.352,2.352,,19.959,,,38.299,,,,,1.783,,,,,,62.393002,52.351002,156.524994,-104.174004,0.0,,,56.624001,,,,,56.624001,108.975002,,10.612,10.612,,,,0.0,,,,,16.412999,,,16.412999,27.025,15.754,,,,,12.801,,,,,,12.801,28.554999,55.579999,0.0,49.487999,,,-2.048,,68.348003,115.788002,0.0,115.788002,171.368001,
06/30/1991,167.106003,1.385,1.385,,25.698999,,,32.449001,,,,,1.516,,,,,,61.049,50.660999,154.179993,-103.518997,0.0,,,55.396,,,,,55.396,106.056999,,12.314,12.314,,,,0.0,,,,,17.905,,,17.905,30.219,7.342,,,,,12.801,,,,,,12.801,20.143,50.362,0.0,49.487,,,-2.021,,69.278004,116.744003,0.0,116.744003,167.106003,
09/30/1991,168.414001,5.883,5.883,,27.238001,,,29.507,,,,,1.93,,,,,,64.557999,48.973999,154.753006,-105.778999,0.0,,,54.882,,,,,54.882,103.855999,,13.276,13.276,,,,0.0,,,,,22.433999,,,22.433999,35.709999,0.0,,,,,13.631,,,,,,13.631,13.631,49.340999,0.0,49.346001,,,-1.881,,71.607997,119.072998,0.0,119.072998,168.413997,
12/31/1991,167.074997,10.267,10.267,,18.193001,,,34.846001,,,,,1.221,,,,,,64.527,47.367001,154.985001,-107.617996,0.0,,,55.181,,,,,55.181,102.548,,12.891,12.891,,,,0.0,,,,,20.106002,,,20.106002,32.997002,0.0,,,,,14.651,,,,,,14.651,14.651,47.648002,0.0,49.488998,,,-2.011,,71.949003,119.427002,0.0,119.427002,167.075004,
03/31/1992,166.080002,0.753,0.753,,23.622,,,39.374001,,,,,1.312,,,,,,65.060997,46.284,155.873001,-109.588997,0.0,,,54.735001,,,,,54.735001,101.019001,,12.229,12.229,,,,0.0,,,,,17.201,,,17.201,29.43,2.5,,,,,14.318,,,,,,14.318,16.818,46.248,0.0,49.425999,,,-1.653,,72.058998,119.831997,0.0,119.831997,166.079997,
06/30/1992,169.457993,2.358,2.358,,26.93,,,39.341999,,,,,1.007,,,,,,69.637001,45.224998,156.020004,-110.794998,0.0,,,54.596001,,,,,54.596001,99.820999,,13.97,13.97,,,,0.0,,,,,19.064,,,19.064,33.034,1.0,,,,,14.389,,,,,,14.389,15.389,48.423,0.0,49.437,,,-1.943,,73.541,121.035,0.0,121.035,169.458,
