Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,21.110001,77.109001,-41.835999,-2.083,54.299999,,,,,
06/30/1990,,-150.362,313.893005,48.528,-39.123001,172.936005,,,,,
09/30/1990,,70.071999,78.108002,-85.235001,44.962002,107.906998,,,,,
12/31/1990,,53.055,71.466003,-133.054001,91.141998,82.609001,,,82.609001,,
03/31/1991,,56.069,99.928001,-81.116997,52.905998,127.786003,,,,,
06/30/1991,,52.028999,74.272003,-22.952999,-84.195,19.153,,,,,
09/30/1991,,55.314999,77.203003,-47.655998,11.204,96.066002,,,,,
12/31/1991,,57.827999,84.209,101.858002,20.983999,264.878998,,,264.878998,,
03/31/1992,,65.460999,67.268997,-102.087997,5.858,36.5,,,,,
06/30/1992,,76.344002,65.254997,-11.385,-89.93,40.284,,,,,
09/30/1992,,82.335999,55.418999,51.667999,6.222,195.645004,,,,,
12/31/1992,,89.596001,79.258003,-221.572006,-27.919001,-80.637001,,,-80.637001,,
03/31/1993,,94.986,61.909,51.624001,-44.82,163.699005,,,,,
06/30/1993,,97.928001,53.068001,106.627998,73.099998,330.723999,,,,,
09/30/1993,,101.542,43.817001,-39.070999,64.554001,170.841995,,,,,
12/31/1993,,104.375999,42.560001,121.166,30.337999,298.440002,,,298.440002,,
03/31/1994,,108.865997,30.164,79.644997,31.195,249.869995,,,,,
06/30/1994,,111.593002,50.199001,59.571999,35.297001,256.661011,,,,,
09/30/1994,,115.017998,41.237,-159.296005,70.129997,67.088997,,,,,
12/31/1994,,115.585999,47.682999,63.624001,-26.405001,200.488007,,,,,
03/31/1995,,112.934998,40.325001,66.142998,103.733002,323.135986,,,,,
06/30/1995,,115.258003,19.511999,27.931,-30.167999,132.533005,,,,,
09/30/1995,,125.565002,28.665001,-15.824,-6.465,131.940994,,,,,
