Date,Assets,Total Investments,Fixed Income-Trading/AFS & ST Inv,Loans & Mortgages,Fixed Income Securities-HTM,Equity Securities,Real Estate Investments,Other Investments,Cash & Near Cash Items,Net Receivables,Net Fixed Assets,Deferred Policy Acquisition Costs,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Reserve for Outstanding Claim & Loss,Premium Reserve (Unearned),Life Policy Benefits,Other Insurance Reserves,Total Insurance Reserves,Short-Term Borrowings,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Policyholders' Equity,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1993,,2201.447021,2118.75293,0.0,0.0,0.0,0.0,82.694,9.783,30.761999,,31.146,20.448999,2293.586914,,650.179993,259.68399,0.0,0.0,909.864014,0.0,15.543,0.0,0.0,925.407014,0.0,0.0,0.0,598.817017,769.362976,1368.179993,2293.587007,
12/31/1993,,2545.62207,2404.787109,0.0,0.0,0.0,0.0,140.835007,18.198,36.223,,42.716,18.493,2661.251953,,815.200012,360.592987,0.0,0.0,1175.792969,0.0,61.039001,0.0,0.0,1236.83197,0.0,0.0,0.0,595.666992,828.752991,1424.419983,2661.251953,
03/31/1994,,2427.095947,2414.643066,0.0,0.0,0.0,0.0,12.453,12.151,37.436001,,38.653,18.997999,2534.333984,,848.835999,327.645996,0.0,0.0,1176.482056,0.0,60.555,0.0,0.0,1237.037056,0.0,0.0,0.0,570.458008,726.838989,1297.296997,2534.334053,
06/30/1994,,2448.761963,2436.309082,0.0,0.0,0.0,0.0,12.453,19.346001,37.312,,39.811001,20.347,2565.577881,,1096.090942,348.502014,0.0,0.0,1444.593018,0.0,55.924999,0.0,0.0,1500.518017,0.0,0.0,0.0,570.122009,494.937988,1065.059998,2565.578014,
09/30/1994,,2523.899902,2511.447021,0.0,0.0,0.0,0.0,12.453,14.421,36.577,,37.444,20.018999,2632.361084,,1160.391968,329.118988,0.0,0.0,1489.510986,0.0,54.105,0.0,0.0,1543.615986,0.0,0.0,0.0,570.125977,518.619019,1088.744996,2632.360982,
12/31/1994,,2593.11792,2386.124023,0.0,0.0,194.541,0.0,12.453,26.809999,30.266001,,39.07,20.382,2709.645996,,1235.20105,356.998993,0.0,0.0,1592.199951,0.0,27.582001,0.0,0.0,1619.781952,0.0,0.0,0.0,568.161011,521.703003,1089.864014,2709.645966,
03/31/1995,,2745.727051,2521.740967,0.0,0.0,211.533005,0.0,12.453,18.247999,41.511002,,36.924999,21.823,2864.233887,,1290.999023,333.127014,0.0,0.0,1624.125977,0.0,26.207001,0.0,0.0,1650.332977,0.0,0.0,0.0,565.677002,648.223999,1213.901001,2864.233978,
06/30/1995,,2975.490967,2732.633057,0.0,0.0,230.404999,0.0,12.453,31.417,36.908001,,37.560001,22.528,3103.904053,,1372.858032,348.274994,0.0,0.0,1721.133057,0.0,30.002001,0.0,0.0,1751.135057,0.0,0.0,0.0,555.343994,797.424988,1352.768982,3103.904039,
09/30/1995,,3115.270996,2835.655029,0.0,0.0,267.162994,0.0,12.453,16.929001,50.567001,,34.428001,22.798,3239.99292,,1437.930054,329.444,0.0,0.0,1743.498047,0.0,29.955999,0.0,0.0,1773.454046,0.0,0.0,0.0,554.276978,888.385986,1442.662964,3216.11701,
12/31/1995,,3291.460938,3009.863037,0.0,0.0,269.144989,0.0,12.453,64.124001,58.151001,,36.741001,23.34,3473.816895,,1508.848022,365.061005,0.0,0.0,1873.909058,0.0,32.279999,0.0,0.0,1906.189056,0.0,0.0,0.0,554.203979,1013.424011,1567.627991,3473.817047,
03/31/1996,,3396.773926,3085.5271,0.0,0.0,298.794006,0.0,12.453,36.243999,68.747002,,34.226002,37.176998,3573.167969,,1611.365967,386.036987,0.0,0.0,1997.402954,0.0,36.113998,0.0,0.0,2033.516953,0.0,0.0,0.0,554.203979,985.447021,1539.651001,3573.167953,
06/30/1996,,3513.612061,3184.187988,0.0,0.0,316.971008,0.0,12.453,40.300999,119.101997,,33.424999,38.148998,3744.589111,,1704.732056,421.091003,0.0,0.0,2125.822998,0.0,37.508999,0.0,0.0,2163.331997,0.0,0.0,0.0,554.203979,1027.052979,1581.256958,3744.588955,
09/30/1996,,4101.899902,3766.441895,0.0,0.0,323.005005,0.0,12.453,53.374001,127.761002,,34.546001,256.777008,4574.35791,,1836.113037,398.730988,0.0,0.0,2234.843994,0.0,95.236,0.0,0.0,2330.079994,0.0,0.0,0.0,1163.464966,1080.812988,2244.277954,4574.357948,
12/31/1996,,4162.495117,3733.951904,0.0,0.0,416.089996,0.0,12.453,93.503998,123.689003,,30.732,337.024994,4747.444824,,1870.619019,403.894012,0.0,0.0,2274.512939,0.0,104.563004,0.0,0.0,2379.075943,0.0,0.0,0.0,1158.812988,1209.55603,2368.369019,4747.444962,
03/31/1997,,4121.099121,3636.200928,0.0,0.0,472.445007,0.0,12.453,87.581001,140.432999,,31.226999,332.950989,4713.291016,,1925.010986,382.972992,0.0,0.0,2307.983887,0.0,133.259003,0.0,0.0,2441.242889,0.0,0.0,0.0,1139.415039,1132.633057,2272.048096,4713.290985,
06/30/1997,,4220.798828,3632.710938,0.0,0.0,575.63501,0.0,12.453,96.956001,201.440002,,29.115999,347.186005,4895.49707,,1921.237061,408.911987,0.0,0.0,2330.148926,0.0,124.117996,0.0,0.0,2454.266922,0.0,0.0,0.0,1109.536011,1331.69397,2441.22998,4895.496902,
09/30/1997,,4571.725098,3841.478027,0.0,0.0,651.55603,0.0,78.691002,216.190994,384.924988,,51.191002,423.563995,5647.596191,,2111.669922,535.203979,0.0,0.0,2646.874023,0.0,178.070999,0.0,37.495998,2862.44102,0.0,0.0,0.0,1185.462036,1599.692993,2785.155029,5647.596049,
