Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,568.234009,57.517999,56.792999,0.725,41.264999,,,3.673,,,,,3.216,,,,,105.671997,434.570007,968.73999,-534.169983,,,27.992001,,,,,,27.992001,462.562008,,31.976,31.976,,,,0.0,,,,,,33.512998,,,,33.512998,65.488998,224.664001,,,,,42.460999,,,,,,42.460999,267.125,332.613998,,196.544006,,,-15.418,,54.494,235.620006,,235.620006,568.234004,
06/30/1990,553.221985,40.465002,39.740002,0.725,36.470001,,,3.143,,,,,2.337,,,,,82.415001,437.230011,987.340027,-550.109985,,,33.577,,,,,,33.577,470.807011,,24.971001,24.971001,,,,,,,,,,25.058998,,,,25.058998,50.029999,224.675995,,,,,42.585999,,,,,,42.585999,267.261993,317.291992,,196.807007,,,-15.418,,54.541001,235.930008,,235.930008,553.222,
09/30/1990,564.570007,40.925001,40.200001,0.725,39.505001,,,3.119,,,,,4.793,,,,,88.342003,442.376007,986.174988,-543.799011,,,33.852001,,,,,,33.852001,476.228008,,25.927,25.927,,,,,,,,,,31.197001,,,,31.197001,57.124001,224.688004,,,,,41.380001,,,,,,41.380001,266.068005,323.192005,,198.354004,,,-15.418,,58.441998,241.378002,,241.378002,564.570007,
12/31/1990,588.070984,38.957001,38.353001,0.604,55.231998,,,3.222,,,,,10.679,,,,,108.089996,448.003998,1010.008972,-562.005005,,,31.976999,,,,,,31.976999,479.980997,,41.648998,41.648998,,,,,,,,,,22.715,,,,22.715,64.363998,224.699005,,,,,48.157001,,,,,,48.157001,272.856006,337.220004,,198.910995,,,-15.418,,67.357999,250.850994,,250.850994,588.070998,
04/01/1991,595.41803,60.880001,60.276001,0.604,41.625,,,3.321,,,,,4.59,,,,,110.416,448.510986,1013.018982,-564.507996,,,36.491001,,,,,,36.491001,485.001987,,32.146999,32.146999,,,,0.0,,,,,,33.008999,,,,33.008999,65.155998,224.710999,,,,,47.099998,,,,,,47.099998,271.810997,336.966995,,199.335007,,,-15.418,,74.534001,258.451008,,258.451008,595.418003,
07/01/1991,583.505005,40.284,39.68,0.604,34.162998,,,3.267,,,,,4.471,,,,,82.184998,461.05899,1042.52002,-581.460999,,,40.261002,,,,,,40.261002,501.319992,,26.837999,26.837999,,,,,,,,,,24.344,,,,24.344,51.181999,224.723007,,,,,46.945,,,,,,46.945,271.668007,322.850006,,199.335007,,,-15.418,,76.738,260.655006,,260.655006,583.505013,
10/01/1991,602.752991,12.331,11.727,0.604,53.068001,,,3.749,,,,,6.372,,,,,75.519997,488.609009,1088.980957,-600.372009,,,38.624001,,,,,,38.624001,527.233009,,47.145,47.145,,,,,,,,,,27.477001,,,,27.477001,74.622002,224.733994,,,,,43.421001,,,,,,43.421001,268.154995,342.776997,,199.408997,,,-15.418,,75.985002,259.975998,,259.975998,602.752995,
12/31/1991,589.642029,1.84,1.236,0.604,64.761002,,,4.084,,,,,7.762,,,,,78.446999,471.730011,1080.753052,-609.02301,,,39.465,,,,,,39.465,511.195011,,36.118999,36.118999,,,,,,,,,,20.553002,,,,20.553002,56.672001,224.746002,,,,,43.715,,,,,,43.715,268.461002,325.133003,,200.322006,,,-15.418,,79.604996,264.509002,,264.509002,589.642005,
03/31/1992,591.005005,29.243999,28.639999,0.604,52.223999,,,3.476,,,,,6.374,,,,,91.318001,459.376007,1090.920044,-631.544006,,,40.311001,,,,,,40.311001,499.687008,,26.167999,26.167999,,,,0.0,,,,,,31.566002,,,,31.566002,57.734001,224.757996,,,,,43.162998,,,,,,43.162998,267.920994,325.654995,,200.378998,,,-15.418,,80.389001,265.349999,,265.349999,591.004994,
06/30/1992,612.223022,77.783997,77.783997,,62.228001,,,4.317,,,,,6.65,,,,,150.979004,438.386993,1092.949951,-654.562988,,,22.857,,,,,,22.857,461.243994,,20.135,20.135,,,,,,,,,,38.656,,,,38.656,58.791,224.770004,,,,,40.860001,,,,,,40.860001,265.630005,324.421005,,200.513,,,-15.418,,102.707002,287.802002,,287.802002,612.223007,
