Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1990,34.528999,,,,,,,,,,,,,,,,,,,,,,,,,,,1.381,,,1.381,1.381,,75.178124,0.018436,0.018436,,75.178124,0.018436,0.018436,0.018436,
12/31/1990,35.829998,,,,,,,,,,,,,,,,,,,,,,,,,,,0.644,,,0.644,0.644,,75.9299,0.008779,0.008779,,75.9299,0.008779,0.008779,0.008779,
03/31/1991,35.377998,,,-11.02,,,24.357998,,-21.860001,,,,2.498,-0.793,,0.758,,0.0,0.035,1.705,-0.647,1.058,0.162,,,0.896,0.0,0.896,-0.125,,0.771,0.771,,75.929905,0.011413,0.013169,,75.929905,0.011413,0.013169,0.013169,
06/30/1991,38.688999,,,-11.236,,,27.452999,,-23.738001,,,,3.715,-0.849,,0.82,,0.0,0.029,2.866,-1.104,1.762,5.939,,,-4.177,0.0,-4.177,-0.125,,-4.302,-4.302,,75.929905,-0.055309,0.022826,,75.929905,-0.055309,0.022826,0.022826,
09/30/1991,41.433998,,,-11.84,,,29.593998,,-25.412001,,,,4.182,-0.798,,0.786,,0.0,0.012,3.384,-1.286,2.098,0.0,,,2.098,0.0,2.098,-0.088,,2.01,2.01,,75.929905,0.027215,0.027215,,75.929905,0.027215,0.027215,0.027215,
12/31/1991,40.362999,,,-11.845,,,28.517999,,-25.610001,,,,2.908,-0.737,,0.545,,0.0,0.192,2.171,-0.825,1.346,0.0,,,1.346,0.0,1.346,0.0,,1.346,1.346,,95.68125,0.014925,0.014925,,95.68125,0.014925,0.014925,0.014925,
03/31/1992,42.93,,,-11.969,,,30.961,,-27.551001,,,,3.41,-0.359,,0.253,,0.0,0.106,3.051,-1.159,1.892,0.725,,,1.167,0.0,1.167,0.0,,1.167,1.167,,95.328146,0.012291,0.020192,,95.328146,0.012291,0.020192,0.020192,
06/30/1992,46.122002,,,-12.752,,,33.370002,,-28.917999,,,,4.452,-0.304,,0.198,,0.0,0.106,4.148,-1.576,2.572,0.0,,,2.572,0.0,2.572,0.0,,2.572,2.572,,95.328146,0.027215,0.027215,,95.328146,0.027215,0.027215,0.027215,
09/30/1992,47.903999,,,-12.956,,,34.947999,,-30.488001,,,,4.46,-0.326,,0.376,,0.0,-0.05,4.134,-1.554,2.58,0.0,,,2.58,0.0,2.58,0.0,,2.58,2.58,,95.328146,0.027215,0.027215,,95.328146,0.027215,0.027215,0.027215,
12/31/1992,46.914001,,,-9.165,,,37.749002,,-34.658001,,,,3.091,-0.417,,0.46,,0.0,-0.043,2.674,-1.005,1.669,0.0,,,1.669,0.0,1.669,0.0,,1.669,1.669,,95.328146,0.017558,0.017558,,95.328146,0.017558,0.017558,0.017558,
03/31/1993,46.136002,,,-11.152,,,34.984001,,-31.247,,,,3.737,-0.547,,0.377,,0.0,0.17,3.19,-1.196,1.994,-0.042,,,2.036,0.0,2.036,0.0,,2.036,2.036,,95.333425,0.02107,0.02107,,95.333425,0.02107,0.02107,0.02107,
06/30/1993,50.139,,,-11.646,,,38.493,,-33.740002,,,,4.753,-0.331,,0.245,,0.0,0.086,4.422,-1.658,2.764,0.0,,,2.764,0.0,2.764,0.0,,2.764,2.764,,95.333425,0.028971,0.028971,,95.333425,0.028971,0.028971,0.028971,
09/30/1993,54.049,,,-12.419,,,41.63,,-37.113998,,,,4.516,-0.354,,0.268,,0.0,0.086,4.162,-1.521,2.641,0.0,,,2.641,0.0,2.641,0.0,,2.641,2.641,,95.328146,0.028093,0.028093,,95.328146,0.028093,0.028093,0.028093,
12/31/1993,55.075001,,,-13.986,,,41.089001,,-39.556,,,,1.533,-0.093,,0.209,,0.0,-0.116,1.44,-0.572,0.868,0.0,,,0.868,0.0,0.868,0.0,,0.868,0.868,,95.373705,0.008779,0.008779,,95.373705,0.008779,0.008779,0.008779,
03/31/1994,54.985001,,,-13.338,,,41.647,,-39.764,,,,1.883,-0.289,,0.201,,0.0,0.088,1.594,-0.598,0.996,0.0,,,0.996,0.0,0.996,0.0,,0.996,0.996,,95.237016,0.010535,0.010535,,95.237016,0.010535,0.010535,0.010535,
06/30/1994,65.952003,,,-14.587,,,51.365004,,-45.339001,,,,6.026,-0.412,,0.302,,0.0,0.11,5.614,-2.105,3.509,0.0,,,3.509,0.0,3.509,0.0,,3.509,3.509,,95.237016,0.036872,0.036872,,95.237016,0.036872,0.036872,0.036872,
09/30/1994,63.077,,,-14.32,,,48.757,,-43.481998,,,,5.275,-0.505,,0.343,,0.0,0.162,4.77,-1.789,2.981,0.0,,,2.981,0.0,2.981,0.0,,2.981,2.981,,95.237016,0.031605,0.031605,,95.237016,0.031605,0.031605,0.031605,
12/31/1994,59.533001,,,-13.149,,,46.384001,,-41.944,,,,4.44,-0.011,,0.261,,0.0,-0.25,4.429,-1.907,2.522,0.0,,,2.522,0.0,2.522,0.0,,2.522,2.522,,95.259796,0.026337,0.026337,,95.259796,0.026337,0.026337,0.026337,
03/31/1995,57.743999,,,-12.62,,,45.124,,-41.894001,,,,3.23,-0.356,,0.275,,0.0,0.081,2.874,-1.106,1.768,0.0,,,1.768,0.0,1.768,0.0,,1.768,1.768,,95.271191,0.018436,0.018436,,95.271191,0.018436,0.018436,0.018436,
06/30/1995,60.370998,,,-13.348,,,47.022999,,-43.432999,,,,3.59,-0.388,,0.294,,0.0,0.094,3.202,-1.233,1.969,0.0,,,1.969,0.0,1.969,0.0,,1.969,1.969,,95.225621,0.02107,0.02107,,95.225621,0.02107,0.02107,0.02107,
