Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1990,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.286,,,-1.286,-1.286,,8.995832,-0.138764,-0.138764,,8.995832,-0.138764,-0.138764,-0.138764,
09/30/1990,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.621,,,-0.621,-0.621,,8.995832,-0.063756,-0.063756,,8.995832,-0.063756,-0.063756,-0.063756,
12/31/1990,0.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.152,,,-1.152,-1.152,,8.995832,-0.125263,-0.125263,,8.995832,-0.125263,-0.125263,-0.125263,
03/31/1991,0.766,,,,,,,-1.959,,,,-1.193,-0.038,,0.097,,0.0,,-0.059,-1.231,0.0,,,,-1.231,0.0,,,-1.231,0.0,-1.231,0.0,,-1.231,-1.231,,8.863113,-0.138764,-0.138764,,8.863113,-0.138764,-0.138764,-0.138764,
06/30/1991,0.824,,,,,,,-2.129,,,,-1.305,-0.06,,0.099,,0.0,,-0.039,-1.365,0.0,,,,-1.365,0.0,,,-1.365,0.0,-1.365,0.0,,-1.365,-1.365,,8.863113,-0.153765,-0.153765,,8.863113,-0.153765,-0.153765,-0.153765,
10/01/1991,0.831,,,,,,,-2.17,,,,-1.339,0.16,,0.118,,0.0,,-0.278,-1.179,0.0,,,,-1.179,0.0,,,-1.179,0.0,-1.179,0.0,,-1.179,-1.179,,17.540001,-0.065,-0.065,,17.540001,-0.065,-0.065,-0.065,
12/31/1991,0.812,,,,,,,-2.559,,,,-1.747,0.379,,0.089,,0.0,,-0.468,-1.368,0.0,,,,-1.368,0.0,,,-1.368,0.0,-1.368,0.0,,-1.368,-1.368,,21.676001,-0.065,-0.065,,21.676001,-0.065,-0.065,-0.065,
03/31/1992,0.9,,,,,,,-3.004,,,,-2.104,0.462,,0.101,,0.0,,-0.563,-1.642,0.0,,,,-1.642,0.0,,,-1.642,0.0,-1.642,0.0,,-1.642,-1.642,,24.048,-0.07,-0.07,,24.048,-0.07,-0.07,-0.07,
06/30/1992,0.967,,,,,,,-3.315,,,,-2.348,0.415,,0.101,,0.0,,-0.516,-1.933,0.0,,,,-1.933,0.0,,,-1.933,0.0,-1.933,0.0,,-1.933,-1.933,,24.195999,-0.08,-0.08,,24.195999,-0.08,-0.08,-0.08,
09/30/1992,0.962,,,,,,,-3.585,,,,-2.623,0.41,,0.124,,0.0,,-0.534,-2.213,0.0,,,,-2.213,0.0,,,-2.213,0.0,-2.213,0.0,,-2.213,-2.213,,24.284,-0.09,-0.09,,24.284,-0.09,-0.09,-0.09,
12/31/1992,0.938,,,,,,,-3.879,,,,-2.941,0.243,,0.127,,0.0,,-0.37,-2.698,0.0,,,,-2.698,0.0,,,-2.698,0.0,-2.698,0.0,,-2.698,-2.698,,24.348,-0.11,-0.11,,24.348,-0.11,-0.11,-0.11,
03/31/1993,0.937,,,,,,,-4.436,,,,-3.499,0.201,,0.131,,0.0,,-0.332,-3.298,0.0,,,,-3.298,0.0,,,-3.298,0.0,-3.298,0.0,,-3.298,-3.298,,24.356001,-0.135,-0.135,,24.356001,-0.135,-0.135,-0.135,
06/30/1993,4.612,,,,,,,-5.64,,,,-1.028,0.237,,0.121,,0.0,,-0.358,-0.791,0.0,,,,-0.791,0.0,,,-0.791,0.0,-0.791,0.0,,-0.791,-0.791,,24.836,-0.03,-0.03,,24.836,-0.03,-0.03,-0.03,
09/30/1993,4.726,,,,,,,-7.252,,,,-2.526,-0.124,,0.124,,0.0,,0.0,-2.65,0.0,,,,-2.65,0.0,,,-2.65,0.0,-2.65,0.0,,-2.65,-2.65,,24.916,-0.105,-0.105,,24.916,-0.105,-0.105,-0.105,
12/31/1993,17.610001,,,,,,,-9.356,,,,8.254,0.602,,0.117,,0.0,,-0.719,8.856,-0.08,,,,8.776,0.0,,,8.776,0.0,8.776,0.0,,8.776,8.776,,25.497999,0.345,0.345,,25.497999,0.345,0.345,0.345,
03/31/1994,4.9,,,,,,,-8.766,,,,-3.866,0.619,,0.113,,0.0,,-0.732,-3.247,0.0,,,,-3.247,0.0,,,-3.247,0.0,-3.247,0.0,,-3.247,-3.247,,29.490999,-0.11,-0.11,,29.490999,-0.11,-0.11,-0.11,
06/30/1994,3.937,,,,,,,-10.197,,,,-6.26,0.734,,0.105,,0.0,,-0.839,-5.526,0.0,,,,-5.526,0.0,,,-5.526,0.0,-5.526,0.0,,-5.526,-5.526,,31.902,-0.175,-0.175,,31.902,-0.175,-0.175,-0.175,
09/30/1994,5.57,,,,,,,-10.269,,,,-4.699,0.807,,0.119,,0.0,,-0.926,-3.892,0.0,,,,-3.892,0.0,,,-3.892,0.0,-3.892,0.0,,-3.892,-3.892,,31.906,-0.12,-0.12,,31.906,-0.12,-0.12,-0.12,
12/31/1994,5.164,,,,,,,-11.069,,,,-5.905,0.975,,0.102,,0.0,,-1.077,-4.93,0.0,,,,-4.93,0.0,,,-4.93,0.0,-4.93,0.0,,-4.93,-4.93,,33.202,-0.15,-0.15,,33.202,-0.15,-0.15,-0.15,
03/31/1995,5.053,,,,,,,-10.92,,,,-5.867,1.164,,0.116,,0.0,,-1.28,-4.703,0.0,,,,-4.703,0.0,,,-4.703,0.0,-4.703,0.0,,-4.703,-4.703,,34.380001,-0.135,-0.135,,34.380001,-0.135,-0.135,-0.135,
06/30/1995,6.534,,,,,,,-16.854,,,,-10.32,1.297,,0.12,,0.0,,-1.417,-9.023,0.0,,,,-9.023,0.0,,,-9.023,0.0,-9.023,0.0,,-9.023,-9.023,,34.442001,-0.26,-0.26,,34.442001,-0.26,-0.26,-0.26,
09/30/1995,2.314,,,,,,,-10.313,,,,-7.999,1.059,,0.12,,0.0,,-1.179,-6.94,0.0,,,,-6.94,0.0,,,-6.94,0.0,-6.94,0.0,,-6.94,-6.94,,34.458,-0.2,-0.2,,34.458,-0.2,-0.2,-0.2,
12/31/1995,8.18,,,,,,,-10.494,,,,-2.314,1.452,,0.125,,0.0,,-1.577,-0.862,0.0,,,,-0.862,0.0,,,-0.862,0.0,-0.862,0.0,,-0.862,-0.862,,34.563999,-0.025,-0.025,,34.563999,-0.025,-0.025,-0.025,
