Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,100.736092,,,,,,,,,,,,,,,,,,,,,,,,,7.5012,,,7.5012,7.5012,,32.873397,0.226667,0.226667,,32.873397,0.226667,0.226667,0.226667,
04/01/1990,109.193001,,-75.917999,,33.275002,,-19.296,,,,13.979,-2.959,,2.959,,0.0,0.0,11.02,-3.747,7.273,0.0,,,7.273,0.0,7.273,0.0,,7.273,7.273,,32.874001,0.22,0.22,,32.874001,0.22,0.22,0.22,
07/01/1990,116.060997,,-78.913002,,37.147995,,-22.546,,,,14.602,-3.039,,3.039,,0.0,0.0,11.563,-3.931,7.632,0.0,,,7.632,0.0,7.632,0.0,,7.632,7.632,,32.886,0.233333,0.233333,,32.886,0.233333,0.233333,0.233333,
09/30/1990,102.314003,,-69.394997,,32.919006,,-21.281,,,,11.638,-2.977,,2.977,,0.0,0.0,8.661,-2.945,5.716,0.0,,,5.716,0.0,5.716,0.0,,5.716,5.716,,32.979,0.173333,0.173333,,32.979,0.173333,0.173333,0.173333,
12/30/1990,113.565002,,-79.862999,,33.702003,,-21.693001,,,,12.009,-0.346,,3.426,,0.0,-3.08,11.663,-3.717,7.946,0.0,,,7.946,0.0,7.946,0.0,,7.946,7.946,,33.068999,0.24,0.24,,33.068999,0.24,0.24,0.24,
03/31/1991,112.375999,,-77.384003,,34.991997,,-20.039,,,,14.953,-3.605,,3.605,,0.0,0.0,11.348,-3.858,7.49,0.0,,,7.49,0.0,7.49,0.0,,7.49,7.49,,33.386999,0.223333,0.223333,,33.386999,0.223333,0.223333,0.223333,
06/30/1991,116.957001,,-79.028,,37.929001,,-22.597,,,,15.332,-3.395,,3.395,,0.0,0.0,11.937,-4.011,7.926,0.0,,,7.926,0.0,7.926,0.0,,7.926,7.926,,33.692001,0.235,0.235,,33.692001,0.235,0.235,0.235,
09/29/1991,115.958,,-80.660004,,35.297997,,-23.337,,,,11.961,-2.966,,2.966,,0.0,0.0,8.995,-3.085,5.91,0.0,,,5.91,0.0,5.91,0.0,,5.91,5.91,,33.830002,0.175,0.175,,33.830002,0.175,0.175,0.175,
12/29/1991,134.246002,,-93.153999,,41.092003,,-27.711,,,,13.381,-0.327,,3.799,,0.0,-3.472,13.053999,-4.573,8.481,0.0,,,8.480999,0.0,8.481,0.0,,8.481,8.481,,33.891998,0.25,0.25,,33.891998,0.25,0.25,0.25,
03/29/1992,132.813995,,-90.109001,,42.704994,,-26.825001,,,,15.88,-3.777,,3.777,,0.0,0.0,12.103,-4.145,7.958,0.0,,,7.958,0.0,7.958,0.0,,7.958,7.958,,34.192001,0.235,0.235,,34.192001,0.235,0.235,0.235,
06/28/1992,148.835007,,-99.667999,,49.167007,,-32.201,,,,16.966,-3.933,,3.933,,0.0,0.0,13.033,-4.452,8.581,0.0,,,8.580999,0.0,8.581,0.0,,8.581,8.581,,34.313999,0.25,0.25,,34.313999,0.25,0.25,0.25,
