Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Home Equity Loans,1-4 Family Residential Loans,Auto Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,11771.323242,652.905029,178.959,,,3162.989929,,,,,3185.923096,,,3793.647949,,,,,294.446014,7274.01709,-83.081001,7190.936035,189.251999,,,,,,99.570999,296.710251,,1260.671997,7502.306885,2798.553955,4703.75293,0.0,8762.978516,1806.307007,,,,,150.141006,,,,,,,292.115005,11011.541534,0.0,621.382019,,,-8.668,,147.067002,759.781021,0.0,759.781021,11771.322556,
06/30/1990,11881.62207,635.557983,170.363998,,,3092.335876,,,,,3924.388916,,,3229.749023,,,,,300.505005,7454.643066,-85.361,7369.282227,195.382996,,,,,,82.363998,336.334991,,1280.651001,7726.580078,2807.24707,4919.333008,0.0,9007.231445,1689.871948,,,,,148.063995,,,,,,,256.990005,11102.157394,0.0,621.41803,,,-6.983,,165.029997,779.465027,0.0,779.465027,11881.622421,
09/30/1990,11863.741211,745.190979,40.818001,,,2960.973877,,,,,3973.477051,,,3293.123047,,,,,311.639008,7578.23877,-113.945999,7464.292969,205.311996,,,,,,89.181999,357.97139,,1277.209961,7690.332031,2785.14502,4905.187012,0.0,8967.541992,1708.401978,,,,,146.061005,,,,,,,271.083,11093.087975,0.0,702.419006,,,-5.262,,73.496001,770.653008,0.0,770.653008,11863.740982,
12/31/1990,11808.790039,718.721985,67.155998,,,2843.893005,,,,,3261.254883,,,4094.739014,,,,,311.46701,7667.460938,-115.223,7552.237793,209.914993,,,,,,51.812,365.054265,,1470.317017,7644.583008,2881.726074,4762.856934,0.0,9114.900391,1520.718994,,,,,139.485001,,,,,,,248.168003,11023.272389,0.0,702.669006,,,-5.676,,88.520002,785.513008,0.0,785.513008,11808.785397,
03/31/1991,11655.887695,502.132996,113.033997,,,2984.928986,,,,,3976.00708,,,3252.375977,,,,,312.221008,7540.604004,-120.939003,7419.665039,213.757004,,,,,,75.138,347.231674,,1230.744019,7847.710693,2907.554932,4940.155762,0.0,9078.455078,1365.54895,,,,,140.725998,,,,,,,273.270996,10858.001022,0.0,702.742004,,,-7.127,,102.271996,797.887001,0.0,797.887001,11655.888023,
06/30/1991,12279.438477,705.546997,296.893005,,,3109.911926,,,,,3980.1521,,,3306.912109,,,,,314.537994,7601.602051,-123.292999,7478.309082,215.684006,,,,,,61.181999,411.911461,,1383.218018,7995.704834,2957.303955,5038.400879,0.0,9378.922852,1710.491943,,,,,139.089005,,,,,,,233.696999,11462.200798,0.0,703.182007,,,-6.114,,120.169,817.237007,0.0,817.237007,12279.437805,
09/30/1991,12226.080078,855.507019,294.550995,,,2844.333923,,,,,3958.075928,,,3421.298096,,,,,316.104004,7695.478027,-123.253998,7572.224121,215.630005,,,,,,51.160999,392.673016,,1442.212036,7837.126953,3048.751953,4788.375,0.0,9279.338867,1739.696045,,,,,137.639999,,,,,,,236.394001,11393.068913,0.0,752.588013,,,-9.01,,89.432997,833.011009,0.0,833.011009,12226.079922,
12/31/1991,12332.580078,634.705017,80.327003,,,3371.695068,,,,,3928.6521,,,3432.863037,,,,,320.70401,7682.219238,-123.613998,7558.60524,215.606003,,,,,,52.908001,418.733746,,1530.628052,7980.1333,3195.912109,4784.221191,0.0,9510.760742,1597.180054,,,,,132.876999,,,,,,,,,,752.919006,,,-9.018,,109.088,852.989006,,852.989006,,
03/31/1992,12785.691406,600.08197,166.324005,,,3699.879028,,,,,3984.937988,,,3427.236084,,,,,334.903992,7747.078125,-127.536003,7619.541992,220.472,,,,,,51.334,428.058411,,1512.031982,8311.960938,3440.163086,4871.797852,0.0,9823.993164,1708.764038,,,,,135.25,,,,,,,,,,752.835022,,,-9.065,,128.578,872.348022,,872.348022,,
06/30/1992,13396.148438,659.315002,164.072998,,,3761.174072,,,,,4249.753906,,,3649.184082,,,,,341.842987,8240.78125,-137.007004,8103.773926,237.667007,,,,,,53.604,416.541431,,1536.026001,8859.072754,3996.667969,4862.404785,0.0,10395.098633,1687.067993,,,,,139.013,,,,,,,,,0.0,779.63501,,,-6.834,,186.572007,959.373016,0.0,959.373016,,
