Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1989,527.127991,,,,,,,,,,,,,-102.457993,,-102.457993,,,,,-2.94,-2.94,36.349998,-2.94,-2.94,-2.94,36.349998,
03/31/1990,553.177979,-379.123993,174.053986,-87.452003,86.601997,-45.085999,0.0,-0.889,40.626999,-7.934,32.693001,0.0,0.0,32.693001,0.0,32.693001,,,32.692999,,0.75,0.75,38.261002,0.75,0.75,0.75,38.261002,
06/30/1990,551.142029,-389.773987,161.368042,-103.656998,57.710999,-55.383999,0.0,0.0,2.327,2.427,4.754,0.0,0.0,4.754,0.0,4.754,,,4.754,,0.12,0.12,40.110001,0.12,0.12,0.12,40.110001,
09/30/1990,615.36499,-432.092987,183.272003,-88.956001,94.316002,-65.568001,0.0,0.0,28.748001,-2.364,26.384001,0.0,0.0,26.384001,0.0,26.384001,,,26.384001,,0.66,0.66,40.110001,0.66,0.66,0.66,40.110001,
12/31/1990,460.147003,-448.717987,11.429016,-103.433998,-92.004997,-64.834999,0.0,186.828995,29.988999,-0.052,29.937,0.0,0.0,29.937,0.0,29.937,,,29.936999,,0.84,0.84,40.1875,0.84,0.84,0.84,40.1875,
03/31/1991,549.161987,-372.928986,176.233002,-92.555,83.678001,-60.488998,0.0,0.0,23.189003,-1.224,21.965,0.0,0.0,21.965,0.0,21.965,,,21.965003,,0.55,0.55,40.27,0.55,0.55,0.55,40.27,
06/30/1991,598.624023,-426.35199,172.272034,-99.697998,72.573997,-65.25,0.0,0.0,7.323997,5.644,12.968,0.0,0.0,12.968,0.0,12.968,,,12.967998,,0.32,0.32,40.32,0.32,0.32,0.32,40.32,
09/30/1991,688.476013,-501.552002,186.924011,-126.532997,60.390999,-60.006001,0.0,-107.975998,-107.591,24.672001,-82.918999,115.286003,0.0,32.367001,0.0,32.367001,,,-82.918999,,-2.06,0.8,40.365002,-2.06,-2.06,0.8,40.365002,
12/31/1991,322.058014,-338.868011,-16.809997,-40.351002,-57.160999,-57.750999,0.0,212.028,97.116002,-9.032,88.084,-134.341995,0.0,-46.257999,0.0,-46.257999,,,88.084002,2.17,2.17,-1.15,40.426998,2.17,2.17,-1.15,40.426998,
03/31/1992,547.856018,-413.597992,134.258026,-103.529999,30.728001,-57.085999,0.0,0.0,-26.357998,14.011,-12.347,117.356003,0.0,105.009003,0.0,105.009003,,,-12.346998,,-0.31,2.59,40.491001,-0.31,-0.31,2.59,40.491001,
06/30/1992,588.661987,-426.485992,162.175995,-104.842003,57.334,-55.650002,0.0,0.0,1.683998,6.013,7.697,3.176,0.0,10.873,0.0,10.873,,,7.696998,,0.19,0.27,40.554001,0.19,0.19,0.27,40.554001,
09/30/1992,599.913025,-436.348999,163.564026,-107.503998,56.060001,-54.915001,0.0,0.0,1.145,5.164,6.309,4.157,0.0,10.466,0.0,10.466,,,6.309,,0.16,0.26,40.612999,0.16,0.16,0.26,40.612999,
12/31/1992,486.242004,-434.230988,52.011016,-106.885002,-54.874001,-56.978001,0.0,134.007996,22.155994,-6.405,15.751,-13.935,0.0,1.816,0.0,1.816,,,15.750994,0.38,0.38,0.04,40.671997,0.38,0.38,0.04,40.671997,
