Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Source: Bloomberg
03/31/1990,1454,302,152,-7,,-7,1007,,,,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,1012,387,191,-135,,-135,569,,,,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,838,378,143,-44,,-44,361,,,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,32,318,192,-11,,-11,-467,,,,-467,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,
03/31/1991,210,309,166,-41,,-41,-224,,,,-224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,456,454,212,-14,,-14,-196,,,,-196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,368,401,216,32,,32,-281,,,,-281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,400,403,232,119,,119,-354,,,,-354,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,
03/31/1992,1312,-582,216,1011,,1011,667,,,,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,1180,432,225,-67,,-67,590,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,539,345,242,-9,,-9,-39,,,,-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,331,357,278,28,,28,-332,,,,-332,,,,,,,,,,,,,,,,,,,,,,,,,,331.0,,
03/31/1993,839,325,253,-10,,-10,271,,,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,775,426,231,53,,53,65,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,-307,189,250,-136,,-136,-610,,,,-610,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-90,304,219,-372,,-372,-241,,,,-241,,,,,,,,,,,,,,,,,,,,,,,,,,-90.0,,
03/31/1994,945,292,226,-331,,-331,758,,,,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,-54,222,257,30,,30,-563,,,,-563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,-407,185,261,84,,84,-937,,,,-937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,593,157,398,206,,206,-168,,,,-168,,,,,,,,,,,,,,,,,,,,,,,,,,593.0,,
03/31/1995,939,181,265,-313,,-313,806,,,,806,,,-224.0,,,,-224.0,,,,,,,,,,224.0,,,,,,,,,,,
06/30/1995,335,-231,274,674,,674,-382,,,,-382,,,-157.0,,,,-157.0,,,,,,,,,,157.0,,,,,,,,,,,
09/30/1995,350,225,270,-10,,-10,-135,,,,-135,,,-157.0,,,,-157.0,,,,,,,,,,157.0,,,,,,,,,,,
12/31/1995,-558,218,224,240,,240,-1240,,,,-1240,,-91.0,-91.0,,,,-91.0,,,,,,,,,,0.0,,,,,,,,,-649.0,,
03/31/1996,411,262,240,-403,,-403,312,,,,312,,-160.0,-160.0,,,,-160.0,,,,,,,,,,0.0,,,,,,,,,251.0,,
06/30/1996,846,646,256,-168,,-168,112,,,,112,,-203.0,-203.0,,,,-203.0,,,,,,,,,,0.0,,,,,,,,,643.0,,
09/30/1996,2454,466,442,333,,333,1213,,,,1213,,-321.0,-321.0,,,,-321.0,,,,,,,,,,0.0,,,,,,,,,2133.0,,
12/31/1996,-100,444,303,276,,276,-1123,,,,-1123,,-287.0,-287.0,,,,-287.0,,,,,,,,,,0.0,,,,,,,,,-387.0,,
03/31/1997,568,540,284,-596,,-596,340,,,,340,,-260.0,-293.0,0.0,,,-293.0,,,0.0,0.0,0.0,,,,,33.0,-141.0,-101.0,-8.0,-32.0,0.0,-32.0,0.0,,167.0,,
06/30/1997,1188,476,316,20,,20,376,,,,376,,-202.0,-253.0,0.0,,,-253.0,,,0.0,0.0,0.0,,,,,51.0,-115.0,-101.0,-32.0,18.0,18.0,,0.0,,871.0,,
09/30/1997,22,-696,506,872,,872,-660,,,,-660,,-721.0,-460.0,0.0,,,-460.0,,,0.0,0.0,0.0,,,,,-261.0,-396.0,-215.0,-488.0,307.0,411.0,-104.0,0.0,,-1095.0,,
12/31/1997,322,-498,248,833,,833,-261,,,,-261,,-1067.0,-385.0,0.0,,,-385.0,,,0.0,0.0,0.0,,,,,-682.0,-265.0,-140.0,-107.0,-18.0,5.0,-23.0,0.0,,-992.0,,
03/31/1998,388,50,408,-21,,-21,-49,,,,-49,,-566.0,-490.0,0.0,,,-490.0,,,0.0,0.0,0.0,,,,,-76.0,-150.0,-142.0,-5.0,-3.0,30.0,-33.0,0.0,,-328.0,,
06/30/1998,-312,258,396,3,,3,-969,,,,-969,,-353.0,-346.0,0.0,,,-346.0,,,0.0,0.0,0.0,,,,,-7.0,-273.0,-141.0,-46.0,-86.0,,-86.0,0.0,,-938.0,,
09/30/1998,95,347,421,-110,,-110,-563,,,,-563,,-289.0,-377.0,0.0,,,-377.0,,,0.0,0.0,0.0,,,,,88.0,-525.0,-142.0,-8.0,-375.0,,-375.0,0.0,,-719.0,,
12/31/1998,2196,465,292,-58,,-58,1497,,,,1497,,-1618.0,-371.0,0.0,,,-371.0,,,0.0,0.0,0.0,,,,,-1247.0,-830.0,-139.0,177.0,-868.0,35.0,-903.0,0.0,,-252.0,,
03/31/1999,786,469,402,52,,52,-137,-203.0,-648.0,,714,,-361.0,-328.0,22.0,,,-350.0,,,,,,,,,,-33.0,-210.0,-137.0,11.0,-84.0,19.0,-103.0,,,215.0,,
06/30/1999,2267,701,802,342,,342,422,-410.0,-282.0,,1114,,-700.0,-664.0,48.0,,,-712.0,,,,,,,,,,-36.0,-973.0,-273.0,-65.0,-635.0,41.0,-676.0,,,594.0,,
09/30/1999,2396,477,1203,-194,,-194,910,25.0,-386.0,,1271,,-727.0,-718.0,324.0,,,-1042.0,,,,,,,,,,-9.0,-2349.0,-407.0,-319.0,-1623.0,58.0,-1681.0,,,-680.0,,
12/31/1999,2693,662,442,-128,,-128,1717,,,,1717,,-741.0,-164.0,0.0,,,-164.0,,,0.0,0.0,0.0,,,,,-577.0,-1271.0,-130.0,80.0,-1221.0,35.0,-1256.0,0.0,,681.0,,
03/31/2000,-961,418,352,-168,,-168,-1563,31.0,-1435.0,,-159,,426.0,-188.0,17.0,,,-205.0,,,0.0,0.0,0.0,,,,,614.0,-191.0,-127.0,21.0,-85.0,19.0,-104.0,0.0,,-726.0,,
