Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Other Commercial Loans,Total Consumer Loans,Home Equity Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,Payables Broker Dealers,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1996,294.881012,14.641,,,,,0.0,,0.0,,,,,,,,193.356995,-0.129,193.227997,9.228,,,,,,,,271.012012,,,,,,,183.561005,35.922001,,,,,,,,0.022,,,,,,,,,,6.072,225.577006,0.0,69.032997,,,0.0,,0.271,69.303997,0.0,69.303997,294.881003,
12/31/1996,363.140991,13.414,,,,,0.0,,0.0,,,,,,,,251.598999,,251.598999,9.632,,,,,,,,340.094991,,,,,,,,282.597992,,,,,,,,0.012,,,,,,,,,,9.068,291.677992,0.0,68.931999,,,0.0,,2.531,71.462999,0.0,71.462999,363.140991,
03/31/1997,452.325012,24.141001,,,,,0.0,,0.0,,,,,,,,353.82901,,353.82901,13.455,,,,,,,,414.729011,,,,,,,,362.066986,,,,,,,,0.012,,,,,,,,,,14.864,376.942986,0.0,69.796997,,,0.0,,5.585,75.381997,0.0,75.381997,452.324983,
06/30/1997,719.844971,18.115999,,,,,0.0,,0.0,,,,,,,,462.799988,,462.799988,16.27,,,,,,,,685.458972,,,,,,,,624.390015,,,,,,,,0.006,,,,,,,,,,12.392,636.788015,0.0,74.403999,,,0.0,,8.653,83.056999,0.0,83.056999,719.845014,
09/30/1997,995.421997,23.233999,,,,,0.0,,0.0,,,,,,,,724.799988,-0.435,724.36499,19.995001,,,,,,,,952.192997,,,,,,,279.347992,411.15799,,,,,,,,0.0,,,,,,,,,,21.542,712.047982,0.0,267.35199,,,0.0,,16.021999,283.373989,0.0,283.373989,995.421971,
12/31/1997,1177.876953,7.861,,,,,0.0,,0.0,,,,,,,,877.89801,-0.234,877.664001,20.723,,,,,,,,1149.292953,,,,,,,226.244995,637.028992,,,,,,,,0.0,,,,,,,,,,27.798,891.071987,0.0,267.657013,,,0.0,,19.148001,286.805014,0.0,286.805014,1177.877001,
03/31/1998,1322.394043,63.485001,,,,,0.0,,0.0,,,,,,,,1023.502991,-0.215,1023.288025,26.472,,,,,,,,1232.437042,,,,,,,318.613007,662.851013,,,,,,,,0.0,,,,,,,,,,46.333,1027.79702,0.0,269.292999,,,0.0,,25.304001,294.597,0.0,294.597,1322.39402,
06/30/1998,1403.781982,21.422001,,,,,0.0,,0.0,,,,,,,,1131.630005,-0.549,1131.081055,41.175999,,,,,,,,1341.183982,,,,,,,310.346008,728.083984,,,,,,,,0.0,,,,,,,,,,63.650002,1102.079994,0.0,269.841003,,,0.0,,31.861,301.702003,0.0,301.702003,1403.781997,
09/30/1998,2066.286,47.776,,,,,0.0,,0.0,,,,,,,,1365.247,0.0,1365.247,50.555,,,,,,,,1967.955,,,,,,,0.0,1244.513,,,,,,,,3.0,,,,,,,,,,84.363,1331.876,0.0,687.866,,,0.0,33.786,12.758,734.41,0.0,734.41,2066.286,
12/31/1998,2241.004,31.179,612.331,,,,,,,,,,,,,,1513.689,,1513.689,45.734,,,,,,,,1551.76,,,,,,,,1425.031,,,,,,,,,,,,,,,,,,88.4,1513.431,,685.626,,,0.0,2.117,39.83,727.573,,727.573,2241.004,
