Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1989,601.411011,25.136999,25.136999,,151.503998,,,206.75,,,,,8.657,,,,392.048004,161.268005,266.113007,-104.845001,,,48.095001,,,,48.095001,209.363007,,77.821999,77.821999,,13.702,,,,,,37.142002,,,37.142002,128.666,166.850006,,,,,10.965,,,,,,10.965,177.815006,306.481007,,167.503006,,,,,127.427002,294.930008,,294.930008,601.411015,
12/30/1989,590.263,31.429001,31.429001,,140.496994,,,193.072998,,,,,9.856,,,,374.855011,169.352997,280.81601,-111.462997,,,46.055,,,,46.055,215.407997,,83.946999,83.946999,,12.257,,,,,,40.924999,,,40.924999,137.128998,138.227997,,,,,11.384,,,,,,11.384,149.611997,286.740994,,167.518005,,,,,136.003998,303.522003,,303.522003,590.262998,
03/31/1990,603.591003,35.511002,35.511002,,147.334,,,177.388,,,,,9.11,,,,369.342987,189.274002,304.824005,-115.550003,,,44.973999,,,,44.973999,234.248001,,93.885002,93.885002,,12.351,,,,,,48.663992,,,48.663992,154.899994,124.835999,,,,,11.378,,,,,,11.378,136.213999,291.113993,,167.671005,,,,,144.806,312.477005,,312.477005,603.590998,
06/30/1990,637.559998,39.287998,39.287998,,155.020004,,,172.182007,,,,,21.24,,,,387.730011,206.050003,329.348999,-123.299004,,,43.779999,,,,43.779999,249.830002,,98.961998,98.961998,,12.126,,,,,,45.559997,,,45.559997,156.647995,145.050003,,,,,13.82,,,,,,13.82,158.870003,315.517998,,167.759995,,,,,154.281998,322.041993,,322.041993,637.559991,
09/29/1990,664.312988,26.591999,26.591999,,179.563995,,,174.436996,,,,,16.504,,,,397.096985,224.287994,358.165985,-133.878006,,,42.928001,,,,42.928001,267.215996,,114.007004,114.007004,,11.663,,,,,,42.796,,,42.796,168.466003,157.141006,,,,,14.003,,,,,,14.003,171.144007,339.61001,,167.766998,,,,,156.936005,324.703003,,324.703003,664.313013,
12/29/1990,640.947021,38.922001,38.922001,,154.664993,,,174.862,,,,,7.328,,,,375.777008,223.080994,365.246002,-142.164993,,,42.089001,,,,42.089001,265.169994,,114.07,114.07,,11.316,,,,,,266.417986,,,266.417986,391.803986,20.629,,,,,14.003,,,,,,14.003,34.632,426.435986,,167.766998,,,,,46.743999,214.510998,,214.510998,640.946983,
03/30/1991,640.007019,40.889,40.889,,149.925003,,,180.475006,,,,,3.393,,,,374.682007,225.117996,360.32901,-135.210999,,,40.207001,,,,40.207001,265.324997,,110.723999,110.723999,,11.259,,,,,,287.175998,,,287.175998,409.158997,13.127,,,,,14.003,,,,,,14.003,27.13,436.288997,,167.766998,,,,,35.951,203.717999,,203.717999,640.006995,
06/30/1991,620.440002,36.061001,36.061001,,140.481003,,,174.468994,,,,,2.669,,,,353.679993,228.098007,376.408997,-148.311005,,,38.661999,,,,38.661999,266.760006,,123.114998,123.114998,,13.937,,,,,,49.308994,,,49.308994,186.360992,234.932999,,,,,14.044,,,,,,14.044,248.976999,435.337991,,159.996002,,,,,25.106001,185.102003,,185.102003,620.439994,
09/28/1991,565.732971,37.674999,37.674999,,90.263,,,168.546997,,,,,2.202,,,,298.687012,230.195007,371.411987,-141.216995,,,36.851002,,,,36.851002,267.046009,,112.997002,112.997002,,16.521999,,,,,,46.736996,,,46.736996,176.255997,228.274994,,,,,14.044,,,,,,14.044,242.318994,418.57499,,159.996002,,,,,-12.838,147.158002,,147.158002,565.732992,
12/28/1991,569.73999,34.935001,34.935001,,128.998993,,,148.964005,,,,,2.939,,,,315.837006,213.505997,356.915985,-143.410004,,,40.396999,,,,40.396999,253.902996,,99.948997,99.948997,,19.865,,,,,,46.783003,,,46.783003,166.597,262.317993,,,,,14.044,,,,,,14.044,276.361993,442.958993,,159.996002,,,,,-33.215,126.781002,,126.781002,569.739995,
03/28/1992,545.161987,33.937,33.937,,132.856003,,,125.905998,,,,,9.763,,,,302.462006,202.440002,343.580994,-141.141006,,,40.259998,,,,40.259998,242.700001,,97.957001,97.957001,,24.405001,,,,,,48.768003,,,48.768003,171.130005,251.813995,,,,,14.044,,,,,,14.044,265.857995,436.988,,159.996002,,,,,-51.821999,108.174004,,108.174004,545.162004,
06/30/1992,532.54303,33.814999,33.814999,,152.591003,,,106.834,,,,,9.053,,,,302.292999,196.328003,341.130005,-144.802002,,,33.922001,,,,33.922001,230.250004,,85.910004,85.910004,,27.160999,,,,,,50.30299,,,50.30299,163.373993,242.951004,,,,,13.961,,,,,,13.961,256.912004,420.285997,,160.011002,,,,,-47.754002,112.257,,112.257,532.542997,
09/26/1992,550.247009,34.424999,34.424999,,166.294998,,,108.945999,,,,,8.936,,,,318.60199,196.496994,196.496994,,,,35.147999,,,,35.147999,231.644993,,109.815002,109.815002,,194.606995,,,,,,54.181,,,54.181,358.602997,61.145,,,,,13.959,,,,,,13.959,75.104,433.706997,,160.126007,,,,,-43.585999,116.540009,,116.540009,550.247005,
12/26/1992,550.671997,33.323002,33.323002,,185.457993,,,97.599998,,,,,10.531,,,,326.911987,191.054993,191.054993,,,,32.705002,,,,32.705002,223.759995,,101.697998,101.697998,,27.938,,,,,,54.093998,,,54.093998,183.729996,228.914001,,,,,13.918,,,,,,13.918,242.832002,426.561997,,160.783997,,,,,-36.674,124.109997,,124.109997,550.671994,
03/27/1993,558.452026,34.948002,34.948002,0.0,195.100998,,,89.665001,,,,,11.292,,,,331.006012,193.313004,,,0.0,,34.132999,,,,34.132999,227.446003,,113.835999,113.835999,,19.862,,,,,,54.292999,,,54.292999,187.990997,187.796997,,,,,13.9,,,,,,13.9,201.696997,389.687994,0.0,203.804993,,,0.0,,-35.041,168.763992,0.0,168.763992,558.451986,
06/30/1993,531.171021,33.837002,33.837002,0.0,159.477997,,,112.515999,,,,,12.626,,,,318.457001,181.029999,351.583008,-170.552994,0.0,,31.684,,,,31.684,212.713999,,128.537994,128.537994,,23.459999,,,,,,54.911004,,,54.911004,206.908997,182.561005,,,,,10.751,,,,,,10.751,193.312005,400.221002,0.0,203.811996,,,0.0,,-72.862,130.949996,0.0,130.949996,531.170998,
09/30/1993,508.950012,35.471001,35.471001,0.0,154.766006,,,100.208,,,,,13.641,,,,304.085999,172.776001,,,0.0,,32.088001,,,,32.088001,204.864002,,110.366997,110.366997,,22.396999,,,,,,62.790005,,,62.790005,195.554001,177.391998,,,,,9.922,,,,,,9.922,187.313998,382.867999,0.0,204.042007,,,0.0,,-77.959999,126.082008,0.0,126.082008,508.950007,
12/25/1993,483.123993,84.846001,84.846001,0.0,177.210007,,,87.417999,,,,,12.127,,,,361.601013,84.540001,,,0.0,,36.983002,,,,36.983002,121.523003,,136.084,136.084,,12.707,,,,,,98.947007,,,98.947007,247.738007,85.332001,,,,,9.622,,,,,,9.622,94.954,342.692007,0.0,205.904999,,,0.0,,-65.473,140.431999,0.0,140.431999,483.124006,
03/26/1994,555.314026,173.395996,173.395996,0.0,185.554993,,,73.464996,,,,,13.133,,,,445.549011,78.279999,,,0.0,,31.485001,,,,31.485001,109.764999,,133.069,133.069,,0.0,,,,,,106.807999,,,106.807999,239.876999,0.0,,,,,68.334,,,,,,68.334,68.334,308.210999,0.0,284.127991,,,0.0,,-37.025002,247.102989,0.0,247.102989,555.313988,
06/30/1994,640.513,243.483994,243.483994,0.0,201.511993,,,79.574997,,,,,12.917,,,,537.487976,73.417,192.339005,-118.921997,0.0,,29.608,,,,29.608,103.025,,172.729996,172.729996,,0.0,,,,,,103.013992,,,103.013992,275.743988,58.646,,,,,17.884001,,,,,,17.884001,76.530001,352.273989,0.0,287.964996,,,0.0,,0.274,288.238996,0.0,288.238996,640.512985,
10/01/1994,700.060974,229.473007,229.473007,0.0,243.962997,,,96.030998,,,,,19.542,,,,589.008972,82.391998,,,0.0,,28.66,,,,28.66,111.051998,,192.727997,192.727997,,0.0,,,,,,104.341003,,,104.341003,297.069,58.646,,,,,17.934,,,,,,17.934,76.58,373.649,0.0,291.420013,,,0.0,,34.992001,326.412014,0.0,326.412014,700.061014,
12/31/1994,772.599976,280.498993,208.927994,71.570999,239.722,,,111.483002,,,,,25.808001,,,,657.512024,83.849998,,,0.0,,31.238001,,,,31.238001,115.087999,,212.912994,212.912994,,0.0,,,,,,107.777008,,,107.777008,320.690002,56.040001,,,,,23.57,,,,,,23.57,79.610001,400.300003,0.0,294.753998,,,0.0,,77.545998,372.299995,0.0,372.299995,772.599998,
03/31/1995,777.997986,280.335999,188.716995,91.619003,255.923004,,,93.741997,,,,,26.249001,,,,656.25,82.863998,,,0.0,,38.883999,,,,38.883999,121.747997,,198.201004,198.201004,,0.0,,,,,,114.869003,,,114.869003,313.070007,40.464001,,,,,23.57,,,,,,23.57,64.034,377.104008,0.0,303.697998,,,0.0,,97.195999,400.893997,0.0,400.893997,777.998005,
