Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,82285,1852,1684,168.0,7609,,,5624,,,,,1073,,,,16158,60144,,,,,,5983.0,,,,,,5983.0,66127,,12263,12263.0,,,,6913,,,,,,1818,,,,1818,20994,8939,,,,,21813,,,21813,30752,51746,6.0,2822,-16317,,44028,30539,,30539,82285,
06/30/1990,82608,1687,1530,157.0,7050,,,5708,,,,,1252,,,,15697,61008,,,,,,5903.0,,,,,,5903.0,66911,,12482,12482.0,,,,6596,,,,,,1648,,,,1648,20726,8320,,,,,22330,,,22330,30650,51376,58.0,2822,-16387,,44739,31232,,31232,82608,
09/30/1990,86157,1409,1340,69.0,8368,,,6277,,,,,1255,,,,17309,62262,,,,,,6586.0,,,,,,6586.0,68848,,14083,14083.0,,,,7117,,,,,,2090,,,,2090,23290,7835,,,,,22777,,,22777,30612,53902,44.0,2822,-16449,,45838,32255,,32255,86157,
12/31/1990,87707,1379,1332,47.0,8045,,,6386,,,,,2526,,,,18336,62688,107599.0,-44911.0,1207.0,,,5476.0,,,,,,5476.0,69371,,8994,8994.0,,,,6090,,,,,,8941,,,,8941,24025,7687,,,,,19990,,,19990,27677,51702,955.0,2822,-16509,,45787,33055,2950.0,36005,87707,
03/31/1991,83661,1687,1635,52.0,8075,,,6088,,,,,993,,,,16843,60754,,,,,,6064.0,,,,,,6064.0,66818,,13047,13047.0,,,,4922,,,,,,2022,,,,2022,19991,7876,,,,,22757,,,22757,30633,50624,940.0,2822,-16562,,45837,33037,,33037,83661,
06/30/1991,81744,1088,1036,52.0,7681,,,5753,,,,,989,,,,15511,60324,,,,,,5909.0,,,,,,5909.0,66233,,12560,12560.0,,,,4176,,,,,,1727,,,,1727,18463,7974,,,,,22508,,,22508,30482,48945,4.0,2822,-16631,,46604,32799,,32799,81744,
09/30/1991,84593,1469,1417,52.0,7695,,,6135,,,,,869,,,,16168,62115,,,,,,6310.0,,,,,,6310.0,68425,,13063,13063.0,,,,4250,,,,,,2037,,,,2037,19350,8311,,,,,23044,,,23044,31355,50705,895.0,2822,-16707,,46878,33888,,33888,84593,
12/31/1991,87560,1587,1496,91.0,6733,,,6081,,,,,2611,,,,17012,63864,112440.0,-48576.0,1148.0,,,5536.0,,,,,,5536.0,70548,,7774,7774.0,,,,4460,,,,,,8620,,,,8620,20854,8582,,,,,20230,,,20230,28812,49666,867.0,2822,-16774,,48012,34927,2967.0,37894,87560,
03/31/1992,84507,1691,1627,64.0,7448,,,5722,,,,,809,,,,15670,62454,,,,,,6383.0,,,,,,6383.0,68837,,12736,12736.0,,,,4053,,,,,,2205,,,,2205,18994,8508,,,,,22762,,,22762,31270,50264,844.0,2822,-16819,,47396,34243,,34243,84507,
06/30/1992,87218,1621,1320,301.0,8020,,,6149,,,,,868,,,,16658,64115,,,,,,6445.0,,,,,,6445.0,70560,,13702,13702.0,,,,4798,,,,,,1918,,,,1918,20418,8485,,,,,23039,,,23039,31524,51942,819.0,2822,-16843,,48478,35276,,35276,87218,
09/30/1992,87543,1567,994,573.0,8404,,,6357,,,,,808,,,,17136,63860,,,,,,6547.0,,,,,,6547.0,70407,,14132,14132.0,,,,4084,,,,,,2086,,,,2086,20302,8879,,,,,23022,,,23022,31901,52203,795.0,2822,-16873,,48596,35340,,35340,87543,
12/31/1992,85030,1515,898,617.0,6392,,,5807,,,,,2710,,,,16424,61799,110738.0,-48939.0,1114.0,,,5693.0,,,,,,5693.0,68606,,7100,7100.0,,,,4787,,,,,,7776,,,,7776,19663,8637,,,,,19979,,,19979,28616,48279,770.0,2822,-16887,,47071,33776,2975.0,36751,85030,
