Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,348.167999,,-306.233002,,41.934998,,-16.621,,,,25.313999,-3.121,,3.121,,,,,22.192999,-7.2,14.994,,,,14.992999,,14.994,,,14.994,14.994,,342.511993,0.04375,0.04375,,342.511993,0.04375,0.04375,0.04375,
06/30/1990,379.609985,,-331.123993,,48.485992,,-18.277,,,,30.209,-2.561,,2.561,,,,,27.648,-9.0,18.648001,,,,18.648,,18.648001,,,18.648001,18.648001,,342.976013,0.054375,0.054375,,342.976013,0.054375,0.054375,0.054375,
09/29/1990,387.114014,,-335.415009,,51.699005,,-19.073999,,,,32.625,-1.502,,1.502,,,,,31.123,-10.1,21.021999,,,,21.023,,21.021999,,,21.021999,21.021999,,343.216003,0.06125,0.06125,,343.216003,0.06125,0.06125,0.06125,
12/31/1990,366.738007,,-320.311005,,46.427002,,-16.49,,,,29.937,0.314,,0.914,,0.0,,-1.228,30.251,-9.85,20.400999,0.0,,,20.401,0.0,20.400999,0.0,,20.400999,20.400999,,343.6,0.059375,0.059375,0.059375,343.6,0.059375,0.059375,0.059375,
03/31/1991,350.519012,,-314.576996,,35.942017,,-15.224,,,,20.718,-0.032,,0.031,,,,0.001,20.686,-6.7,13.986,,,,13.986001,,13.986,,,13.986,13.986,,344.272003,0.040625,0.040625,,344.272003,0.040625,0.040625,0.040625,
06/29/1991,371.596008,,-334.815002,,36.781006,,-16.691,,,,20.09,-0.225,,0.225,,,,,19.865,-6.5,13.365,,,,13.365,,13.365,,,13.365,13.365,,344.895996,0.03875,0.03875,,344.895996,0.03875,0.03875,0.03875,
09/28/1991,372.355988,,-331.451996,,40.903992,,-17.534,,,,23.370001,-0.334,,0.334,,,,,23.036001,-7.5,15.536,,,,15.536001,,15.536,,,15.536,15.536,,345.119995,0.045,0.045,,345.119995,0.045,0.045,0.045,
12/31/1991,370.985992,,-321.899994,,49.085998,,-17.538,,,,31.548,0.681,,2.01,,,,-2.691,32.229,-10.4,21.829,,,,21.829,,21.829,0.0,,21.829,21.829,,345.536016,0.063125,0.063125,0.063125,345.536016,0.063125,0.063125,0.063125,
04/02/1992,388.415985,,-345.60199,,42.813995,,-17.5,,,,25.313999,-1.294,,1.295,,,,-0.001,24.019999,-7.8,16.219999,0.0,,,16.219999,,16.219999,,,16.219999,16.219999,,346.0,0.046875,0.046875,,346.0,0.046875,0.046875,0.046875,
07/04/1992,389.144012,,-342.290985,,46.853027,,-19.298,,,,27.555,-1.724,,1.724,,,,0.0,25.831,-8.4,17.431,0.0,,,17.431001,,17.431,0.0,,17.431,17.431,,346.231995,0.05,0.05,,346.231995,0.05,0.05,0.05,
