Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch of Interbank Asset,Net Ch of Interbank Liab,Net Ch in Operating Loans,Change of Accrued Interest Receivable,Change of Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2007,521.9,175.9,26.7,-9.4,,,-9.4,157.7,,,,,,,,,,-18.4,-19.7,0.1,-19.8,-144.7,250.1,,,,-394.8,,,,,,,,,,,,146.0,-624.4,-155.0,-23.7,,,,,-436.4,94.9,-531.3,,-9.3,,-120.9,468.8,122.7,
03/31/2008,-134.4,155.2,11.6,22.9,,46.2,-23.3,-324.1,,,,,,,,,,-135.6,-14.2,,-14.2,-21.9,55.8,,,,-77.7,,,,,,,,,,,,-99.5,156.5,,280.2,,,,,-131.8,36.4,-168.2,,8.1,,-113.5,71.8,13.8,
06/30/2008,202.6,162.8,12.1,21.7,,,21.7,6.0,,,,,,,,,,37.1,-34.0,,-34.0,15.9,120.3,,,,-104.4,,,,,,,,,,,,55.2,-397.2,-129.6,-200.0,,,,,-10.1,34.7,-44.8,,-57.5,,-157.5,106.4,1.5,
09/30/2008,269.8,131.8,11.7,1.6,,,1.6,124.7,,,,,,,,,,48.0,-21.2,0.1,-21.3,56.5,84.1,,,,-27.6,,,,,,,,,,,,12.7,-222.0,-38.8,-15.0,,,,,-84.0,16.3,-100.3,,-84.2,,95.8,42.3,3.7,
12/31/2008,187.5,31.9,32.2,70.7,,,70.7,52.7,,,,,,,,,,-47.9,-14.5,0.1,-14.6,109.3,148.4,,,,-39.1,,,,,,,,,,,,-142.7,-295.0,-38.7,-162.8,,,,,9.1,9.2,-0.1,,-102.6,,-155.4,17.9,15.3,
03/31/2009,-180.0,30.7,16.0,53.3,86.5,53.5,-86.7,-280.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,-280.8,0.0,-2.6,-5.0,0.3,-5.3,2.4,36.3,0.0,12.4,23.9,-33.9,0.0,-5.8,-28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.6,-38.9,-7.5,0.0,0.0,0.0,-7.5,1.7,1.7,0.0,0.0,-16.9,-7.9,-252.1,15.5,4.5,
06/30/2009,177.2,75.7,16.7,31.1,48.4,22.0,-39.3,53.7,-29.9,,0.0,0.0,0.0,0.0,0.0,83.6,0.0,0.5,-11.8,0.0,-11.8,12.3,18.7,0.0,4.0,14.7,-6.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.8,-41.3,-107.5,0.0,0.0,0.0,-107.5,449.7,449.7,0.0,0.0,-15.1,21.1,484.6,15.7,33.7,
09/30/2009,136.8,105.2,20.0,-8.0,-2.1,31.5,-37.4,19.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,-10.3,-0.1,6.1,-6.2,-37.6,30.4,0.0,20.6,9.8,-68.0,0.0,-31.4,-36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,-20.8,-44.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,-7.8,0.4,106.1,26.7,,
12/31/2009,228.7,110.9,24.9,33.3,-25.9,16.7,42.5,59.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.6,0.0,-90.0,-22.6,,,-22.6,17.3,,,,-39.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.8,-304.1,-44.7,103.0,,,,,-393.0,,,0.0,30.6,3.6,-161.8,-146.3,,
03/31/2010,-177.0,95.0,18.3,53.6,-103.1,39.7,117.0,-343.9,32.7,0.0,0.0,0.0,0.0,0.0,0.0,-376.6,0.0,134.1,-15.5,0.0,-15.5,135.6,492.8,0.0,7.0,485.8,-357.2,0.0,-9.8,-347.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-109.3,-44.8,-48.3,0.0,0.0,0.0,-48.3,10.5,10.5,0.0,0.0,-26.7,-12.8,-165.0,-34.8,-8.0,
06/30/2010,113.6,40.8,20.8,58.5,-187.2,48.3,197.4,-6.5,-95.2,,0.0,0.0,0.0,0.0,0.0,88.7,0.0,-693.2,-20.2,0.0,-20.2,32.4,822.1,0.0,4.2,817.9,-789.7,0.0,-10.6,-779.1,0.0,0.0,0.0,0.0,-712.2,0.0,-712.2,0.0,6.8,543.6,-48.9,595.9,0.0,0.0,650.0,-54.1,8.0,8.0,0.0,0.0,-11.4,-5.4,-41.4,-44.7,,
