Date,P/E,Average,High,Low,P/Book,P/Sales,P/Free Cash Flow,Price/Share,Market Cap,Market Cap / Deposits,Enterprise Value,EV/Total Revenues,EV/EBITDA,Source: Bloomberg
09/30/1980,,,,,,,,10.65625,,,,,,
12/31/1980,,,,,,,,12.90625,,,,,,
03/31/1981,,,,,,,,12.625,,,,,,
06/30/1981,,,,,,,,14.9375,,,,,,
09/30/1981,,,,,,,,14.09375,,,,,,
12/31/1981,,,,,,,,13.4375,,,,,,
03/31/1982,,,,,,,,13.4375,,,,,,
06/30/1982,,,,,,,,12.9375,,,,,,
09/30/1982,,,,,,,,14.625,,,,,,
12/31/1982,,,,,,,,16.875,,,,,,
03/31/1983,,,,,,,,18.78125,,,,,,
06/30/1983,,,,,,,,17.90625,,,,,,
09/30/1983,,,,,,,,17.21875,,,,,,
12/31/1983,,,,,,,,16.84375,,,,,,
03/31/1984,,,,,,,,16.75,,,,,,
06/30/1984,,,,,,,,15.53125,,,,,,
09/30/1984,,,,,,,,18.15625,,,,,,
12/31/1984,,,,,,,,19.625,,,,,,
03/31/1985,,,,,,,,22.5625,,,,,,
06/30/1985,,,,,,,,25.75,,,,,,
09/30/1985,,,,,,,,22.25,,,,,,
12/31/1985,,,,,,,,32.0625,,,,,,
03/31/1986,,,,,,,,39.25,,,,,,
06/30/1986,,,,,,,,43.9375,,,,,,
09/30/1986,,,,,,,,40.5625,,,,,,
12/31/1986,,,,,,,,41.25,,,,,,
03/31/1987,,,,,,,,43.125,,,,,,
06/30/1987,,,,,,,,47.875,,,,,,
09/30/1987,,,,,,,,46.125,,,,,,
12/31/1987,,,,,,,,36.25,,,,,,
03/31/1988,,,,,,,,33.25,,,,,,
06/30/1988,,,,,,,,38.875,,,,,,
09/30/1988,,,,,,,,37.625,,,,,,
12/31/1988,,,,,,,,34.875,,,,,,
03/31/1989,,,,,,,,39.75,,,,,,
06/30/1989,,,,,,,,38.125,,,,,,
09/30/1989,,,,,,,,44.875,,,,,,
12/31/1989,,,,,,,,44.0,,,,,,
03/31/1990,,,,,1.548829,,,36.375,6711.078157,0.162748,43851.078157,,,
06/30/1990,,,,,1.481308,,,35.75,6617.003372,0.158355,43268.003372,,,
09/30/1990,,,,,1.32664,,,32.875,6077.338234,0.14431,45321.338234,,,
12/31/1990,11.149497,5.659441,5.659441,5.659441,1.754717,0.792541,,44.375,8238.396561,0.219357,48921.396561,4.674763,5.66351,
03/31/1991,10.34292,5.690032,5.98063,5.593658,1.780682,0.825547,,46.75,8737.808693,0.238152,51521.808693,4.845919,5.987427,
06/30/1991,11.258099,6.106316,6.177481,5.977934,1.93081,0.943832,,52.125,9812.374563,0.25321,51322.374563,4.922537,6.183419,
09/30/1991,11.266603,6.241599,7.270214,6.152472,2.082922,1.090283,,59.375,11214.453125,0.298051,59260.453125,5.708,7.274792,
12/31/1991,12.081866,7.357141,7.509552,7.270214,2.33341,1.275468,,68.625,13006.428105,0.351753,60381.428105,5.854317,7.480355,
03/31/1992,10.3125,7.325383,8.444398,7.207403,1.896185,1.108715,,57.75,11001.664032,0.311874,66226.664032,6.583822,8.451591,
06/30/1992,9.246293,8.393852,8.561015,8.317416,1.757179,1.056165,,56.125,10697.705385,0.2948,68279.705385,6.616251,8.561719,
09/30/1992,10.486577,8.667926,9.345329,8.584903,1.868376,1.174374,,62.5,11935.18734,0.310667,74925.18734,7.221009,9.348121,
12/31/1992,11.59612,9.349844,9.464271,9.198322,1.848893,1.267235,,65.75,12598.357566,0.387415,70115.357566,6.853226,9.203906,
03/31/1993,10.426267,9.205154,11.393778,9.046707,1.858808,1.2619,,67.875,13048.833075,0.367283,89495.833075,8.412844,11.399291,
06/30/1993,9.7103,11.388673,11.552335,11.310525,1.735293,1.236165,,67.875,13078.901236,0.338788,90999.901236,8.337142,11.372145,
09/30/1993,10.205078,11.493884,11.640039,10.728173,1.911876,1.383071,,78.375,15161.173519,0.388878,88577.173519,7.819313,10.735326,
12/31/1993,8.161765,10.58825,10.731092,10.269193,1.43037,1.16606,,69.375,13395.411041,0.331553,88485.411041,7.410218,10.26632,
03/31/1994,7.814446,10.258257,11.877706,10.067498,1.289336,1.059058,,62.75,12064.314655,0.276971,99091.314655,8.310938,11.871489,
06/30/1994,8.115183,11.861706,11.963622,9.960093,1.287588,1.044724,,62.0,11836.792023,0.270524,85991.792023,7.20501,9.95045,
09/30/1994,8.715925,9.970808,10.063585,9.909029,1.244826,1.030508,,60.75,11500.946651,0.252452,84758.946651,7.179919,10.052057,
12/31/1994,9.338602,10.019331,10.080122,9.931377,1.160978,0.940934,,56.125,10534.71885,0.24451,85147.71885,7.178798,9.970459,
03/31/1995,10.912343,10.091611,10.188899,9.668756,1.24988,0.973851,,61.0,11431.399628,0.244135,88344.399628,7.13145,9.666747,
06/30/1995,12.938192,9.818472,10.276338,9.661054,1.404579,1.08331,,70.125,13170.736771,0.290642,94129.736771,7.367123,10.279539,
09/30/1995,13.891383,10.353369,10.783513,10.278896,1.508809,1.152066,,77.375,14513.229317,0.310922,103966.229317,7.829962,10.781523,
12/31/1995,12.519501,10.80304,10.878464,10.431017,1.508091,1.155026,,80.25,15016.058759,0.323357,108081.058759,7.833096,10.427502,
03/31/1996,11.416781,10.461897,11.622037,10.326962,1.531163,1.139098,18.56508,83.0,15545.900253,0.309655,127973.900253,8.925506,11.623424,
06/30/1996,10.780255,11.637493,11.725495,10.796097,1.527622,1.10545,,84.625,15791.025517,0.325877,124247.025517,8.33034,10.790952,
09/30/1996,12.026387,10.853283,11.377161,10.745262,1.591243,1.123886,,88.875,16523.462185,0.331078,133905.462185,8.798572,11.372014,
12/31/1996,12.794888,11.392638,11.549642,11.276136,1.681236,1.168587,,97.625,18053.108265,0.342408,140477.108265,8.853971,11.330627,
03/31/1997,13.030504,11.440877,11.587582,11.327215,1.700978,1.146728,,98.25,17795.630196,0.332188,145120.630196,8.934349,11.557871,
