Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2002,44.740002,15.671,15.671,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,4.194,,,,,19.865,7.426,18.868,-11.442,0.0,17.448999,8.424,,,9.025,24.875,,16.292,16.292,,,,2.475,1.042,1.433,1.433,,10.645001,,,10.645001,29.412001,4.117,3.158,0.959,0.959,,0.253,,,,,0.253,4.37,33.782001,101.835999,74.754997,,,0.0,,-165.632996,10.958,0.0,10.958,44.740001,
06/30/2002,117.898003,91.799,49.758999,42.040001,0.0,,,,0.0,0.0,0.0,0.0,0.0,3.232,,,,,95.030998,6.727,,,0.0,16.139999,7.71,,,8.429999,22.867,,13.371,13.371,,,,1.91,0.417,1.493,1.493,,14.885,,,14.885,30.166,0.765,0.0,0.765,0.765,,0.269,,,,,0.269,1.034,31.2,0.0,261.032013,,,0.0,,-174.334,86.698013,0.0,86.698013,117.898014,
09/30/2002,122.907,97.538,54.321,43.217,0.0,,,,0.0,0.0,0.0,0.0,0.0,3.737,,,,,101.275,5.87,,,0.0,15.762,6.902,,,8.86,21.632,,18.148,18.148,,,,1.482,0.0,1.482,1.482,,15.287,,,15.287,34.917,0.394,0.0,0.394,0.394,,0.285,,,,,0.285,0.679,35.596,0.0,257.361,,,0.0,-156.898,-13.152,87.311,0.0,87.311,122.907,
12/31/2002,130.53,103.61,59.814,43.796,,,,,9.972,,,,,3.465,,,,,117.047,5.62,21.524,-15.904,,7.863,6.094,,,1.769,13.483,,20.35,20.35,,,,1.231,0.0,1.231,1.231,,18.845,,,18.845,40.426,0.46,0.0,0.46,0.46,,0.288,,,,,0.288,0.748,41.174,,259.194,,,,-159.213,-10.625,89.356,,89.356,130.53,
03/31/2003,135.629,110.332,66.028,44.304,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.862,,,,,113.194,4.848,,,0.0,17.587,5.285,,,12.302,22.435,,22.218,22.218,,,,0.94,0.0,0.94,0.94,,20.752,,,20.752,43.91,0.376,0.0,0.376,0.376,,0.279,,,,,0.279,0.655,44.565,0.0,264.788,,,0.0,0.0,-173.724,91.064,0.0,91.064,135.629,
06/30/2003,150.065002,116.324997,71.228996,45.096001,0.0,,,,0.0,0.0,0.0,0.0,0.0,3.26,,,,,119.584999,6.108,,,0.0,24.372,4.477,,,19.895,30.48,,28.009001,28.009001,,,,0.835,0.0,0.835,0.835,,22.688001,,,22.688001,51.532001,0.256,0.0,0.256,0.256,,0.271,,,,,0.271,0.527,52.059002,0.0,263.785004,,,0.0,-158.867004,-6.912003,98.005997,0.0,98.005997,150.064998,
09/30/2003,158.864,124.407,79.17,45.237,0.0,,,,0.0,0.0,0.0,0.0,0.0,3.195,,,,,127.602,6.586,,,0.0,24.676,3.704,,,20.972,31.262,,28.459,28.459,,,,0.371,0.0,0.371,0.371,,24.725,,,24.725,53.555,0.185,0.0,0.185,0.185,,0.263,,,,,0.263,0.448,54.003,0.0,265.815,,,0.0,0.0,-160.954,104.861,0.0,104.861,158.864,
12/31/2003,176.012,135.191,89.894,45.297,0.0,,,,0.0,0.0,0.0,0.0,0.0,3.755,,,,,138.946,9.772,29.325,-19.553,0.0,27.294,2.948,,,24.346,37.066,,32.654,32.654,,,,0.416,0.0,0.416,0.416,,29.949,,,29.949,63.019,0.044,0.0,0.044,0.044,,0.241,,,,,0.241,0.285,63.304,0.0,270.887,,,0.0,-153.293,-4.886,112.708,0.0,112.708,176.012,
03/31/2004,191.233,146.202,100.188,46.014,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.756,,,,,148.958,10.328,,,0.0,31.947,2.322,,,29.625,42.275,,43.183,43.183,,,,0.36,0.0,0.36,0.36,,33.957,,,33.957,77.5,0.0,0.0,0.0,0.0,,0.208,,,,,0.208,0.208,77.708,0.0,275.827,,,0.0,0.0,-162.302,113.525,0.0,113.525,191.233,
06/30/2004,204.193,153.444,153.444,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,5.277,,,,,158.721,11.053,,,0.0,34.419,1.868,,,32.551,45.472,,42.552,42.552,,,,0.253,0.0,0.253,0.253,,39.482,,,39.482,82.287,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,82.287,0.0,282.33,,,0.0,0.0,-160.424,121.906,0.0,121.906,204.193,
09/30/2004,235.637,167.814,167.814,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,8.755,,,,,176.569,13.649,,,0.0,45.419,1.415,,,44.004,59.068,,47.668,47.668,,,,0.164,0.0,0.164,0.164,,42.498,,,42.498,90.33,0.0,0.0,0.0,0.0,,0.487,,,,,0.487,0.487,90.817,0.0,285.234,,,0.0,0.0,-140.414,144.82,0.0,144.82,235.637,
12/31/2004,251.793,174.461,174.461,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,12.885,,,,,187.346,18.728,42.205,-23.477,0.0,45.719,0.961,0.0,0.961,44.758,64.447,,49.775,49.775,,,,0.068,0.0,0.068,0.068,,45.067,,,45.067,94.91,0.0,0.0,0.0,0.0,,0.6,,,,,0.6,0.6,95.51,0.0,292.896,,,0.0,-131.698,-4.915,156.283,0.0,156.283,251.793,
03/31/2005,253.582,165.822,165.822,,,,,,,,,,,8.214,,,,,174.036,23.635,,,,55.911,0.507,,,55.404,79.546,,52.632,52.632,,,,0.0,,,,,48.144,,,48.144,100.776,,,,,,0.693,,,,,0.693,0.693,101.469,,296.174,,,0.0,-140.512,-3.549,152.113,,152.113,253.582,
