Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,499.459991,,-306.289001,,193.17099,,-179.947998,,,,13.223,1.92,,2.72,,,,-4.64,15.142999,-5.148,9.995,0.0,,,9.995,0.0,9.995,0.0,,9.995,9.995,,173.608002,0.0575,0.0575,,173.608002,0.0575,0.0575,0.0575,
06/30/1990,611.38501,,-358.170013,,253.214997,,-184.401993,,,,68.813004,-0.766,,2.554,,,,-1.788,68.047004,-23.136999,44.91,0.0,,,44.910005,0.0,44.91,0.0,,44.91,44.91,,174.212004,0.2575,0.2575,0.2575,174.212004,0.2575,0.2575,0.2575,
09/30/1990,638.531982,,-375.294006,,263.237976,,-191.921005,,,,71.317001,0.686,,2.677,,,,-3.363,72.003001,-25.257,46.745998,0.0,,,46.746001,0.0,46.745998,0.0,,46.745998,46.745998,,174.296005,0.27,0.27,,174.296005,0.27,0.27,0.27,
12/31/1990,517.35498,,-298.188995,,219.165985,,-189.380005,,,,29.785999,2.298,,2.951,,,,-5.249,32.083999,-11.069,21.014999,0.0,,,21.014999,0.0,21.014999,0.0,,21.014999,21.014999,,174.399992,0.1175,0.1175,0.1175,174.399992,0.1175,0.1175,0.1175,
03/31/1991,528.148987,,-325.063995,,203.084991,,-189.787003,,,,13.298,-1.754,,3.307,,,,-1.553,11.544,-4.041,7.503,0.0,,,7.503,0.0,7.503,0.0,,7.503,7.503,,175.378006,0.045,0.045,,175.378006,0.045,0.045,0.045,
06/30/1991,722.778992,,-438.951996,,283.826996,,-209.266006,,,,74.560997,-1.157,,3.586,,,,-2.429,73.403997,-25.691,47.713001,0.0,,,47.712997,0.0,47.713001,0.0,,47.713001,47.713001,,176.608002,0.27,0.27,,176.608002,0.27,0.27,0.27,
09/30/1991,736.846985,,-438.609009,,298.237976,,-217.848007,,,,80.389999,-1.642,,2.748,,,,-1.106,78.747999,-28.379999,50.368,0.0,,,50.368,0.0,50.368,0.0,,50.368,50.368,,176.746002,0.285,0.285,,176.746002,0.285,0.285,0.285,
12/31/1991,553.671021,,-297.673004,,255.998017,,-208.957993,,,,47.040001,-11.925,,2.685,,,,9.24,35.115001,-12.466,22.649,0.0,,,22.649001,0.0,22.649,0.0,,22.649,22.649,,175.220002,0.125,0.125,0.125,175.220002,0.125,0.125,0.125,
03/31/1992,594.560974,,-360.546997,,234.013977,,-214.442993,,,,19.570999,-1.4,,2.374,,,,-0.974,18.170999,-6.543,11.628,81.771,,,-70.143001,0.0,-70.142998,0.0,,-70.142998,-70.142998,,175.831955,-0.4,0.065,,175.831955,-0.4,0.065,0.065,
06/30/1992,772.549011,,-456.908997,,315.640015,,-231.056,,,,84.584,-0.756,,2.418,,,,-1.662,83.828,-30.177999,53.650002,0.0,,,53.65,0.0,53.650002,0.0,,53.650002,53.650002,,177.707993,0.3,0.3,,177.707993,0.3,0.3,0.3,
09/30/1992,772.79303,,-445.848999,,326.944031,,-239.042007,,,,87.902,-0.541,,1.984,,,,-1.443,87.361,-31.448999,55.911999,0.0,,,55.912001,0.0,55.911999,0.0,,55.911999,55.911999,,177.554001,0.315,0.315,,177.554001,0.315,0.315,0.315,
12/31/1992,607.940002,,-326.125,,281.815002,,-230.119003,,,,51.695999,-15.062,,1.8,,,0.0,13.262,36.633999,-13.188,23.445999,0.0,,,23.445999,0.0,23.445999,0.0,,23.445999,23.445999,,180.145678,0.14,0.14,0.14,180.145678,0.14,0.14,0.14,
03/31/1993,618.289001,,-368.727997,,249.561005,,-228.554001,,,,21.007,0.913,,1.7,,,0.0,-2.613,21.92,-8.11,13.81,0.0,,,13.81,0.0,13.81,0.0,,13.81,13.81,,178.754211,0.075,0.075,,178.754211,0.075,0.075,0.075,
06/30/1993,824.161987,,-479.921997,,344.23999,,-244.072998,,,,100.167,-3.956,,1.753,,,0.0,2.203,96.211,-35.598,60.612999,0.0,,,60.613,0.0,60.612999,0.0,,60.612999,60.612999,,178.840057,0.34,0.34,,178.840057,0.34,0.34,0.34,
09/30/1993,838.823975,,-477.308014,,361.515961,,-253.235992,,,,108.279999,-4.339,,1.76,,,0.0,2.579,103.940999,-39.569,64.372002,0.0,,,64.371999,0.0,64.372002,0.0,,64.372002,64.372002,,178.955994,0.36,0.36,,178.955994,0.36,0.36,0.36,
12/31/1993,668.028015,,-371.001007,,297.027008,,-255.404999,,,,41.622002,0.67,,1.24,,,0.0,-1.91,42.292002,-15.86,26.431999,0.0,,,26.432002,0.0,26.431999,0.0,,26.431999,26.431999,,178.934006,0.15,0.15,0.15,178.934006,0.15,0.15,0.15,
03/31/1994,639.156982,,-377.266998,,261.889984,,-237.882004,,,,24.007999,1.209,,0.987,,,0.0,-2.196,25.217,-9.709,15.508,0.0,,,15.508,0.0,15.508,0.0,,15.508,15.508,,177.9561,0.085,0.085,,177.9561,0.085,0.085,0.085,
06/30/1994,880.531006,,-501.756012,,378.774994,,-265.669006,,,,113.106003,-2.862,,0.711,,,0.0,2.151,110.244003,-41.089001,69.154999,0.0,,,69.155002,0.0,69.154999,0.0,,69.154999,69.154999,,173.216003,0.4,0.4,,173.216003,0.4,0.4,0.4,
