Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,109.916001,65.4,155.743002,123.829002,31.914,-90.343002,44.516001,0.509,,,,40.546001,3.461,-3.705,106.211001,-77.250999,0.0,77.250999,28.959999,0.0,0.0,28.959999,-9.003,19.957001,0.0,,,19.956999,0.0,19.957001,,,19.957001,19.957001,,133.481998,0.15,0.15,,133.481998,0.15,0.15,0.15,
06/30/1990,114.141001,78.005001,169.09,126.512001,42.577999,-91.084999,36.136,1.099,,,,31.795,3.242,-10.595,103.546001,-77.051003,0.0,77.051003,26.495001,0.0,0.0,26.495001,-8.504,17.990999,0.0,,,17.991001,0.0,17.990999,,,17.990999,17.990999,,132.684002,0.135,0.135,,132.684002,0.135,0.135,0.135,
09/30/1990,118.547991,70.08099,162.657993,130.134995,32.522999,-92.577003,48.467001,0.088,,,,44.560001,3.819,-10.431,108.116991,-80.677002,0.0,80.677002,27.440001,0.0,0.0,27.440001,-8.733,18.707001,0.0,,,18.707001,0.0,18.707001,,,18.707001,18.707001,,131.399998,0.141667,0.141667,,131.399998,0.141667,0.141667,0.141667,
12/31/1990,124.314005,61.907003,154.268003,132.382004,21.886,-92.361,62.407002,0.002,,,,55.733002,6.672,-15.044,109.270005,-82.910004,0.0,82.910004,26.360001,-5.0,5.0,21.360001,-6.681,14.679,0.0,,,14.679,0.0,14.679,,,14.679,14.679,,125.461876,0.113333,0.113333,,125.461876,0.113333,0.113333,0.113333,
03/31/1991,120.881994,70.034996,154.546997,122.742996,31.804001,-84.512001,50.846998,0.027,,,,47.120998,3.699,-3.939,116.942994,-83.725998,0.0,83.725998,33.216999,5.0,-5.0,38.216999,-12.598,25.618999,0.0,,,25.618999,0.0,25.618999,,,25.618999,25.618999,,130.631996,0.196667,0.196667,,130.631996,0.196667,0.196667,0.196667,
06/30/1991,127.310996,71.835995,152.830997,120.921997,31.909,-80.995003,55.475002,1.766,,,,49.164001,4.545,-7.185,120.125996,-85.261002,0.0,85.261002,34.865002,0.0,0.0,34.865002,-11.496,23.368999,0.0,,,23.369001,0.0,23.368999,,,23.368999,23.368999,,132.029995,0.176667,0.176667,,132.029995,0.176667,0.176667,0.176667,
09/30/1991,130.974997,73.349998,152.353996,121.033997,31.32,-79.003998,57.624999,1.568,,,,52.008999,4.048,-5.758,125.216997,-87.925003,0.0,87.925003,37.292,0.0,0.0,37.292,-11.55,25.742001,0.0,,,25.742,0.0,25.742001,,,25.742001,25.742001,,132.863995,0.193333,0.193333,,132.863995,0.193333,0.193333,0.193333,
12/31/1991,132.380007,73.747005,148.124004,117.882004,30.242001,-74.376999,58.633002,1.02,,,,53.483002,4.13,-3.673,128.707007,-92.598999,0.0,92.598999,36.108002,0.0,0.0,36.108002,-11.491,24.617001,0.0,,,24.617002,0.0,24.617001,,,24.617001,24.617001,,126.751659,0.183333,0.183333,,126.751659,0.183333,0.183333,0.183333,
03/31/1992,135.803997,74.465996,137.316998,107.044998,30.271999,-62.851002,61.338002,1.295,,,,55.664001,4.379,-3.635,132.168997,-90.297997,0.0,90.297997,41.870998,0.0,0.0,41.870998,-13.986,27.885,7.387,,,20.497999,0.0,20.497999,,,20.497999,20.497999,,134.388004,0.155,0.205,,134.388004,0.155,0.205,0.205,
06/30/1992,139.748999,76.921999,135.162001,104.873001,30.289,-58.240002,62.827,0.326,,,,57.34,5.161,-3.789,135.959999,-92.621002,0.0,92.621002,43.339001,0.0,0.0,43.339001,-14.516,28.823,0.0,,,28.823001,0.0,28.823,,,28.823,28.823,,134.695999,0.215,0.215,,134.695999,0.215,0.215,0.215,
