Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1993,163.197998,22.183001,22.183001,,55.93,,,0.0,,,,,13.396,,,,91.509003,8.94,20.174,-11.234,0.0,62.749001,,,,,,62.749001,71.689,,1.895,1.895,,,,5.714,,,,,,108.659997,,,108.659997,116.268997,9.426,,,,,1.222,,,1.222,10.648,126.916997,0,59.724998,,,-15.593,,-7.851,36.280998,0,36.280998,163.197995,
03/31/1994,178.203003,34.962002,34.962002,,61.178001,,,0.0,,,,,11.635,,,,107.775002,8.993,21.15,-12.157,0.0,61.435001,,,,,,61.435001,70.428001,,1.562,1.562,,,,6.617,,,,,,119.299996,,,119.299996,127.478996,8.608,,,,,2.024,,,2.024,10.632,138.110996,0,59.701,,,-15.594,,-4.014999,40.092001,0,40.092001,178.202997,
06/30/1994,181.865005,42.426,38.375999,4.05,56.723999,,,0.0,,,,,12.877,,,,112.027,9.087,,,0.0,60.750999,,,,,,60.750999,69.837999,,2.489,2.489,,,,5.772,,,,,,116.809,,,116.809,125.07,9.978,,,,,1.36,,,1.36,11.338,136.407999,0,61.432999,,,-15.581,,-0.395,45.456999,0,45.456999,181.864998,
09/30/1994,232.557007,50.654,46.604,4.05,92.963997,,,0.0,,,,,20.891001,,,,164.509003,9.58,23.725,-14.145,0.0,58.467999,,,,,,58.467999,68.047998,,29.698999,29.698999,,,,5.877,,,,,,135.756993,,,135.756993,171.332993,6.419,,,,,5.777,,,5.777,12.196,183.528993,0,61.519001,,,-15.581,,3.09,49.028001,0,49.028001,232.556993,
12/31/1994,221.011002,47.875,46.875,1.0,86.227997,,,0.0,,,,,20.68,,,,154.783005,8.553,,,0.0,57.674999,,,,,,57.674999,66.228,,41.507,41.507,,,,5.493,,,,,,115.044006,,,115.044006,162.044006,2.045,,,,,1.664,,,1.664,3.709,165.753006,0,61.772999,,,-15.581,,9.066,55.257999,0,55.257999,221.011005,
03/31/1995,232.139999,70.258998,60.773998,9.485,76.388,,,0.0,,,,,18.861,,,,165.507996,9.746,,,0.0,56.886002,,,,,,56.886002,66.632002,,34.466999,34.466999,,,,5.509,,,,,,123.788009,,,123.788009,163.764008,2.269,,,,,4.415,,,4.415,6.684,170.448008,0,63.949001,,,-15.591,,13.334,61.692001,0,61.692001,232.140009,
06/30/1995,236.550995,83.394003,64.939003,18.455,65.244003,,,0.0,,,,,17.893,,,,166.531006,13.506,,,0.0,56.514,,,,,,56.514,70.02,,30.820999,30.820999,,,,5.513,,,,,,120.39,,,120.39,156.723999,2.269,,,,,1.691,,,1.691,3.96,160.683999,0,71.893997,,,-15.591,,19.564,75.866997,0,75.866997,236.550996,
09/30/1995,332.906006,95.414001,66.581001,28.833,112.158997,,,0.0,,,,,28.655001,,,,236.227997,23.973,52.137001,-28.164,0.0,72.705002,,,,,,72.705002,96.678001,,59.198002,59.198002,,,,6.725,,,,,,189.285998,,,189.285998,255.209,0.0,,,,,3.446,,,3.446,3.446,258.655,0,73.329002,,,-13.835,,14.757,74.251002,0,74.251002,332.906002,
12/31/1995,321.531006,76.618999,48.987999,27.631001,120.491997,,,0.0,,,,,27.788,,,,224.899002,24.374001,,,0.0,72.258003,,,,,,72.258003,96.632004,,56.868,56.868,,,,2.275,,,,,,187.914999,,,187.914999,247.057999,0.0,,,,,4.37,,,4.37,4.37,251.427999,0,62.758999,,,-13.769,,21.113,70.102999,0,70.102999,321.530997,
03/31/1996,339.757996,112.499001,65.165001,47.334,97.057999,,,0.0,,,,,27.485001,,,,237.042007,27.68,,,0.0,75.036003,,,,,,75.036003,102.716003,,56.061001,56.061001,,,,2.275,,,,,,175.505994,,,175.505994,233.841995,0.0,,,,,7.138,,,7.138,7.138,240.979995,0,81.747002,,,-13.765,,30.796,98.778002,0,98.778002,339.757997,
06/30/1996,357.776001,118.725,107.875,10.85,100.082001,,,0.0,,,,,24.1,,,,242.906998,29.993999,,,10.74,74.135002,,,,,,74.135002,114.869001,,47.673,47.673,,,,2.275,,,,,,178.359998,,,178.359998,228.307999,0.0,,,,,5.315,,,5.315,5.315,233.622999,0,88.966003,,,13.765,,21.422,124.153004,0,124.153004,357.776002,
09/30/1996,444.108002,126.808998,96.754997,30.054001,143.761993,,,0.0,,,,,39.578999,,,,310.149994,32.818001,68.936996,-36.118999,3.047,98.093002,,,,,,98.093002,133.958003,,60.527,60.527,,,,0.0,,,,,,230.880989,,,230.880989,291.40799,0.0,,,,,2.465,,,2.465,2.465,293.872989,0,134.763,,,-13.571,,29.043,150.235001,0,150.235001,444.10799,
12/31/1996,458.934998,145.972998,123.696999,22.275999,141.707993,,,0.0,,,,,38.223,,,,325.903992,33.683998,,,1.041,98.306,,,,,,98.306,133.030998,,75.394997,75.394997,,,,0.0,,,,,,198.221001,,,198.221001,273.615997,0.0,,,,,2.871,,,2.871,2.871,276.486997,0,147.576004,,,-13.571,,48.443002,182.448006,0,182.448006,458.935003,
