Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Current Shares Outstanding,Source: Bloomberg
09/30/1980,2.625,,3.125,3.3125,2.5,,,
12/31/1980,2.5,-4.761905,2.625,2.9375,2.0625,,,
03/31/1981,2.0625,-17.5,2.5625,2.8125,1.9375,,,
06/30/1981,2.625,27.272727,2.125,2.875,2.0625,,,
09/30/1981,2.4375,-7.142857,2.5625,2.6875,2.1875,,,
12/31/1981,3.375,38.461538,2.375,3.4375,2.375,,,
03/31/1982,2.3125,-31.481481,3.375,3.5625,2.25,,,
06/30/1982,2.4375,5.405405,2.3125,2.875,2.3125,,,
09/30/1982,2.875,17.948718,2.4375,3.0625,2.375,,,
12/31/1982,3.375,17.391304,,3.625,2.625,,,
03/31/1983,3.875,14.814815,,4.0625,3.25,,,
06/30/1983,4.5625,17.741935,,4.875,3.5625,,,
09/30/1983,4.0625,-10.958904,,4.75,3.6875,,,
12/31/1983,3.875,-4.615385,3.6875,4.375,3.625,,,
03/31/1984,4.125,6.451613,3.9375,4.5,3.625,,,
06/30/1984,4.5,9.090909,4.125,4.6875,3.625,,,
09/30/1984,5.0625,12.5,4.4375,5.3125,4.375,,,
12/31/1984,5.75,13.580247,5.0,5.8125,5.0,,,
03/31/1985,6.0,4.347826,5.6875,6.625,5.375,,,
06/30/1985,7.0625,17.708333,6.0625,7.125,5.8125,,,
09/30/1985,6.875,-2.654867,7.0625,7.6875,6.3125,,,
12/31/1985,8.5625,24.545455,6.9375,8.625,6.875,,,
03/31/1986,9.8125,14.59854,8.5,10.125,8.25,,,
06/30/1986,10.5,7.006369,9.8125,10.5625,9.0625,,,
09/30/1986,11.4375,8.928571,10.5625,12.5,9.6875,,,
12/31/1986,11.3125,-1.092896,11.3125,12.1875,10.75,,,
03/31/1987,12.5625,11.049724,11.375,13.4375,11.375,,,
06/30/1987,12.9375,2.985075,12.375,13.0,11.0,,,
09/30/1987,13.8125,6.763285,13.0,14.875,12.375,,,
12/31/1987,14.1875,2.714932,14.0,14.1875,10.875,,,
03/31/1988,15.625,10.132159,14.0,16.375,13.625,,,
06/30/1988,17.5,12.0,15.625,17.625,15.625,,,
09/30/1988,17.75,1.428571,17.375,17.8125,16.375,,,
12/31/1988,19.0,7.042254,17.6875,19.25,17.625,,,
03/31/1989,18.875,-0.657895,18.9375,19.0625,18.25,,,
06/30/1989,20.125,6.622517,18.875,20.375,18.125,,,
09/30/1989,20.375,1.242236,20.0625,20.9375,19.8125,,,
12/31/1989,23.625,15.95092,20.5,23.6875,20.4375,,,
03/31/1990,22.5,-4.761905,23.5625,23.625,21.75,2491.830045,,
06/30/1990,21.6875,-3.611111,22.4375,23.0,20.8125,2402.41117,,
09/30/1990,21.0,-3.170029,21.5625,22.125,19.25,2326.254044,110.748001,
12/31/1990,22.75,8.333333,21.0,23.3125,20.75,2520.154022,110.774002,
03/31/1991,24.1875,6.318681,22.75,24.3125,21.75,2679.442872,110.774002,
06/30/1991,23.125,-4.392765,24.1875,24.875,22.375,2562.458081,110.776001,
09/30/1991,25.5,10.27027,23.25,26.0,22.75,2825.782562,110.778,
12/31/1991,27.25,6.862745,25.625,27.25,23.875,3019.708817,110.808998,
03/31/1992,25.625,-5.963303,27.0,27.375,24.5,2839.685659,110.815002,
06/30/1992,25.625,0.0,25.5,26.375,24.25,2839.71127,110.817001,
09/30/1992,27.375,6.829268,25.625,27.375,25.5,3033.642772,110.818001,
12/31/1992,27.625,0.913242,27.375,27.875,25.375,3061.347278,110.818001,
03/31/1993,30.25,9.502262,27.625,30.25,25.75,3352.304991,110.818001,
06/30/1993,32.0,5.785124,30.125,32.375,28.625,3547.840088,110.82,
09/30/1993,33.75,5.46875,32.25,34.75,31.5,3743.347549,110.870003,
12/31/1993,30.875,-8.518519,33.75,34.0,28.75,3549.606218,110.914001,
03/31/1994,28.625,-7.287449,30.875,30.875,27.625,3292.590669,114.967003,
06/30/1994,26.25,-8.296943,28.0,31.625,26.0,3021.007462,115.025002,
09/30/1994,24.75,-5.714286,26.25,27.5,23.75,2849.962538,115.085999,
12/31/1994,26.25,6.060606,24.75,26.875,24.0,3024.210005,115.150002,
03/31/1995,29.125,10.952381,26.25,30.625,26.25,3357.151325,115.208,
06/30/1995,29.75,2.145923,29.125,31.0,28.25,3460.579458,115.266998,
09/30/1995,31.125,4.621849,29.75,31.25,28.125,3622.140767,116.321999,
12/31/1995,34.0,9.236948,31.125,34.0,30.625,4094.381882,116.374001,
03/31/1996,32.75,-3.676471,33.875,35.125,31.125,3945.588932,120.422997,
06/30/1996,35.25,7.633588,32.875,35.25,30.125,4248.329882,120.475998,
09/30/1996,30.75,-12.765957,35.0,35.0,30.5,3707.404558,120.519997,
12/31/1996,33.625,9.349593,30.75,34.375,30.75,4055.544875,120.566002,
03/31/1997,32.0,-4.832714,33.625,36.125,32.0,3861.087891,120.611,
