Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,78.514,7.177,7.177,0.0,20.624001,,,2.167,,,,,3.257,,,,,33.224998,42.544998,76.561996,-34.016998,0.0,2.744,,,,2.744,45.288998,,9.876,9.876,,,,2.703,,,,,,16.213999,,,16.213999,28.792999,9.571,,,,,1.993,,,,,,,1.993,11.564,40.356999,0.0,23.506001,,,0.0,,14.651,38.157001,0.0,38.157001,78.514,
06/30/1992,84.917999,10.86,10.86,0.0,21.027,,,2.303,,,,,2.795,,,,,36.985001,45.118,77.263,-32.145,0.0,2.815,,,,2.815,47.933,,6.191,6.191,,,,4.596,,,,,,17.275,,,17.275,28.062,14.151,,,,,1.975,,,,,,,1.975,16.126,44.188,0.0,23.507,,,0.0,,17.223,40.73,0.0,40.73,84.918,
09/30/1992,87.967003,7.966,7.966,0.0,22.297001,,,2.293,,,,,2.158,,,,,34.714001,50.330002,82.836998,-32.507,0.0,2.923,,,,2.923,53.253002,,5.469,5.469,,,,5.012,,,,,,18.419,,,18.419,28.9,13.81,,,,,1.948,,,,,,,1.948,15.758,44.658,0.0,23.507,,,0.0,,19.802,43.309,0.0,43.309,87.967,
12/31/1992,91.293999,9.288,9.288,0.0,21.097,,,2.65,,,,,5.276,,,,,38.311001,49.965,83.532997,-33.568001,0.0,3.018,,,,3.018,52.983,,10.102,10.102,,,,5.095,,,,,,14.987999,,,14.987999,30.184999,12.826,,,,,3.304,,,,,,,3.304,16.13,46.315,0.0,23.507,,,0.0,,21.472,44.979,0.0,44.979,91.294,
03/31/1993,92.484001,8.904,8.904,0.0,22.582001,,,2.451,,,,,3.687,,,,,37.624001,51.828999,87.346001,-35.516998,0.0,3.031,,,,3.031,54.859998,,10.147,10.147,,,,4.651,,,,,,19.277,,,19.277,34.075001,8.531,,,,,2.863,,,,,,,2.863,11.394,45.469001,0.0,23.507,,,0.0,,23.507999,47.014999,0.0,47.014999,92.484,
06/30/1993,91.411003,4.48,4.48,0.0,23.563,,,2.695,,,,,3.769,,,,,34.507,53.778,91.681,-37.903,0.0,3.126,,,,3.126,56.904,,7.446,7.446,,,,4.282,,,,,,21.128998,,,21.128998,32.856998,5.927,,,,,2.848,,,,,,,2.848,8.775,41.631999,0.0,23.507,,,0.0,,26.271999,49.778999,0.0,49.778999,91.410998,
09/30/1993,97.833,5.872,5.872,0.0,26.908001,,,2.977,,,,,3.323,,,,,39.080002,55.396999,95.698997,-40.301998,0.0,3.356,,,,3.356,58.752999,,7.671,7.671,,,,5.398,,,,,,22.543999,,,22.543999,35.612999,6.957,,,,,2.843,,,,,,,2.843,9.8,45.412999,0.0,23.507,,,0.0,,28.913,52.42,0.0,52.42,97.832999,
12/31/1993,110.695999,5.599,5.599,0.0,26.257999,,,3.449,,,,,11.307,,,,,46.612999,60.507,102.745003,-42.237999,0.0,3.576,,,,3.576,64.083,,9.354,9.354,,,,5.936,,,,,,19.766,,,19.766,35.056,13.053,,,,,8.911,,,,,,,8.911,21.964001,57.02,0.0,23.895,,,0.0,,29.781,53.676001,0.0,53.676001,110.696001,
03/31/1994,115.275002,2.674,2.674,0.0,30.704,,,3.754,,,,,9.241,,,,,46.373001,65.739998,110.626999,-44.887001,0.0,3.162,,,,3.162,68.901998,,9.927,9.927,,,,6.803,,,,,,22.916,,,22.916,39.646,12.058,,,,,8.899,,,,,,,8.899,20.957,60.603,0.0,23.895,,,0.0,,30.777,54.672001,0.0,54.672001,115.275001,
