Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,538.158985,-289.431,248.727985,0.429,81.622002,12.885,343.663987,-30.549,313.114987,-228.069,85.045998,0.0,85.045998,-23.143,61.903,0.0,0.0,61.903,-1.535,60.368,,,60.367998,,0.55,0.55,109.391998,,,,,
06/30/1990,540.485985,-289.052002,251.433983,0.585,86.878998,9.726,348.62398,-30.551001,318.07298,-231.804001,86.268997,0.0,86.268997,-24.079,62.189999,0.0,0.0,62.189999,0.0,62.189999,,,62.189997,,0.57,0.57,109.487999,,,,,
09/30/1990,549.50901,-292.13501,257.374001,2.88,90.360001,9.707,360.321001,-39.5,320.821001,-233.279007,87.542,0.0,87.542,-24.870001,62.672001,0.0,0.0,62.672001,0.0,62.672001,,,62.671999,,0.575,0.575,108.958,,,,,
12/31/1990,553.357014,-291.082001,262.275013,0.739,94.488998,12.173,369.676011,-220.0,149.676011,-250.169998,-100.494003,0.0,-100.494003,27.764,-72.730003,0.0,0.0,-72.730003,0.0,-72.730003,,,-72.730003,-0.67,-0.67,-0.67,108.617996,-0.67,-0.67,-0.67,108.617996,
03/31/1991,539.75,-270.859009,268.890991,0.277,,,269.167991,-50.150002,219.01799,-165.908005,53.110001,,53.110001,,53.110001,,,53.110001,0.0,53.110001,,,,,0.47,0.47,108.666,,,,,
06/30/1991,513.330994,-243.384995,269.945999,-8.806,,,261.139999,-48.299999,212.84,-158.233994,54.605999,,54.605999,,54.605999,,,54.605999,0.0,54.605999,,,,,0.48,0.48,108.767998,,,,,
09/30/1991,505.263,-225.759995,279.503006,1.635,,,281.138006,-45.650002,235.488004,-174.315002,61.173,,61.173,,61.173,,,61.173,0.0,61.173,,,,,0.54,0.54,113.627998,,,,,
12/31/1991,463.513,-195.460007,268.052993,-10.652,,,257.400993,-46.500999,210.899994,-152.042999,58.856998,,58.856998,,58.856998,0.0,0.0,58.856998,0.0,58.856998,,,,0.525,0.525,0.525,111.599998,0.525,0.525,0.525,111.599998,
03/31/1992,417.890011,-157.020004,260.870007,6.942,108.535004,10.161,386.50801,-33.150002,353.358009,-266.572998,86.785004,0.0,86.785004,-27.778999,59.006001,-80.986,0.0,-21.98,0.0,-21.98,,,59.006004,,0.515,-0.19,114.702003,,,,,
06/30/1992,402.602009,-140.352997,262.249012,2.907,113.598,11.849,390.603012,-32.150002,358.45301,-260.526001,97.927002,0.0,97.927002,-31.531,66.396004,0.0,0.0,66.396004,0.0,66.396004,,,66.396002,,0.575,0.575,115.367996,,,,,
09/30/1992,382.282993,-122.273003,260.009991,4.86,116.640999,11.43,392.94099,-27.0,365.94099,-264.016998,101.924004,0.0,101.924004,-34.028999,67.894997,0.0,0.0,67.894997,0.0,67.894997,,,67.895004,,0.59,0.59,115.075996,,,,,
12/31/1992,384.584991,-110.667999,273.916992,0.534,103.132004,14.848,392.430996,-27.0,365.430996,-303.475006,61.956001,41.071999,103.028,-33.921001,69.107002,0.0,0.0,69.107002,0.0,69.107002,,,69.106999,0.59,0.59,0.59,116.146004,0.59,0.59,0.59,116.146004,
03/31/1993,459.158009,-137.218002,321.940006,3.61,97.313004,25.32,448.183009,-30.725,417.458009,-301.075012,116.383003,3.563,119.946003,-39.665001,80.280998,-13.009999,0.0,67.271004,0.0,67.271004,,,80.281002,,0.55,0.46,145.110001,,,,,
06/30/1993,461.520992,-129.843994,331.676998,-0.065,104.160004,32.419998,468.192,-30.825001,437.366999,-305.299011,132.067993,3.869,135.936993,-44.546001,91.390999,0.0,0.0,91.390999,0.0,91.390999,,,91.390992,,0.63,0.63,145.475998,,,,,
09/30/1993,464.163998,-125.93,338.233997,3.814,106.314003,42.016998,490.378999,-30.004999,460.373999,-318.832001,141.542007,3.267,144.809007,-48.728001,96.081001,0.0,0.0,96.081001,0.0,96.081001,,,96.081007,,0.66,0.66,145.701996,,,,,
12/31/1993,457.021003,-123.600998,333.420005,11.005,104.583,19.379999,468.388004,-29.646,438.742004,-316.656006,122.085999,13.46,135.545999,-40.869999,94.676003,0.0,0.0,94.676003,0.0,94.676003,,,94.676,0.65,0.65,0.65,145.371994,0.65,0.65,0.65,145.371994,
