Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/31/1997,99.611,31.940001,31.940001,0.0,26.131001,,,16.145,,,,,5.305,,,,,79.521004,19.362,,,0.0,,,,0.728,,,,,0.728,20.089999,,9.915,9.915,,,,1.069,,,,,,27.287999,,,27.287999,38.271999,2.403,,,,,0.449,,,,,0.449,2.852,41.123999,40.403999,0.507,,,0.0,,17.576,58.487,0.0,58.487,99.610999,
04/30/1997,276.737,180.791,180.791,0.0,31.187,,,22.858999,,,,,5.416,,,,,240.253006,36.091999,,,0.0,,,,0.392,,,,,0.392,36.483999,,15.15,15.15,,,,0.988,,,,,,32.166001,,,32.166001,48.304001,1.691,,,,,18.145,,,,,18.145,19.836,68.140001,0.0,163.464005,,,0.0,,45.132999,208.597004,0.0,208.597004,276.737005,
07/31/1997,391.06,244.485,244.485,0.0,57.103,57.103,,29.103,19.238,5.679,7.834,,6.802,,,,,337.493,53.194,60.449,-7.255,0.0,,,,0.373,,,,,0.373,53.567,,23.294,23.294,,,,0.987,0.0,0.987,0.987,,,51.178,,,51.178,75.459,1.446,0.0,1.446,1.446,,18.238,,,,,18.238,19.684,95.143,0.0,215.768,,,0.0,80.193,-0.044,295.917,0.0,295.917,391.06,
10/31/1997,463.278992,268.588013,268.588013,0.0,72.335999,,,41.109001,,,,,12.232,,,,,394.265015,67.617996,79.897003,-12.279,0.0,,,,1.396,,,,,1.396,69.013996,,24.76,24.76,,,,0.0,,,,,,36.053,,,36.053,60.813,0.0,,,,,30.052,,,,,30.052,30.052,90.865,0.0,246.222,,,0.0,,126.192001,372.414001,0.0,372.414001,463.279001,
01/31/1998,533.505005,283.008007,251.919006,31.089001,79.258003,,,61.388,,,,,13.29,,,,,436.944,83.356003,100.382004,-17.025999,0.0,,,,13.205,,,,,13.205,96.561003,,28.687,28.687,,,,0.0,,,,,,52.063999,,,52.063999,80.750999,0.0,,,,,31.087999,,,,,31.087999,31.087999,111.838999,0.0,264.51001,,,0.0,,157.156006,421.666016,0.0,421.666016,533.505014,
04/30/1998,575.057007,226.238998,174.473999,51.764999,131.990005,,,68.955002,,,,,17.773001,,,,,444.957001,114.251999,139.046005,-24.794001,0.0,,,,15.848,,,,,15.848,130.099998,,36.629002,36.629002,,,,0.0,,,,,,50.143002,,,50.143002,86.772003,0.0,,,,,31.903,,,,,31.903,31.903,118.675003,0.0,275.424011,,,0.0,,180.957993,456.382004,0.0,456.382004,575.057007,
07/31/1998,591.234985,221.617992,193.485992,28.132,108.480003,,,76.343002,,,,,38.472,,,,,444.912994,125.260002,158.643005,-33.382999,0.0,,,,21.062,17.101999,,,,3.960001,146.322002,,42.766998,42.766998,,,,0.0,,,,,,34.598999,,,34.598999,77.365997,0.0,,,,,32.938,,,,,32.938,32.938,110.303997,0.0,297.976013,,,0.0,,182.955002,480.931015,0.0,480.931015,591.235012,
10/31/1998,602.809021,266.707005,250.714005,15.993,78.791,,,70.907997,43.268002,8.592,30.202,-11.154,39.518002,,,,,455.924011,125.766998,167.272995,-41.506001,0.0,,,,21.118,16.27,,,,4.848,146.884998,,27.893,27.893,,,,1.205,,,,,,35.521004,,,35.521004,64.619003,3.029,,,,,34.125,,,,,34.125,37.154,101.773003,0.0,330.166992,,,0.0,,170.867203,501.034195,0.0,501.034195,602.807198,
01/31/1999,588.685974,284.385002,194.682999,89.702003,80.257004,,,58.570999,,,,,21.150999,,,,,444.364014,124.317001,175.953003,-51.636002,0.0,,,,20.004999,15.361,15.361,0.0,,4.643999,144.322001,,30.576,30.576,,,,0.0,,,,,,42.135998,,,42.135998,72.711998,0.0,,,,,35.569,,,,,35.569,35.569,108.280998,0.0,299.151001,,,0.0,,181.253998,480.404999,0.0,480.404999,588.685997,
04/30/1999,614.848022,294.941002,194.919998,100.021004,96.447998,,,54.062,30.409,13.086,10.567,,23.129,,,,,468.579987,127.084999,189.983994,-62.898998,0.0,,,,19.183001,14.446,14.446,0.0,,4.737,146.268,,24.143999,24.143999,,,,0.0,-1.276,1.276,1.276,,,51.983999,,,51.983999,76.127998,0.0,-3.703,3.703,3.703,,40.283001,,,,,40.283001,40.283001,116.410999,0.0,320.480988,,,0.0,,177.955994,498.436981,0.0,498.436981,614.84798,
07/31/1999,644.896973,298.255997,142.598999,155.656998,103.155998,,,64.638,36.183998,17.913,21.878,,31.128,,,,,497.178009,128.332993,204.223999,-75.890999,0.0,,,,19.386,13.544,13.544,0.0,,5.842,147.718992,,30.466999,30.466999,,,,0.0,-1.164,1.164,1.164,,,58.308002,,,58.308002,88.775002,0.0,-3.962,3.962,3.962,,40.728001,,,,,40.728001,40.728001,129.503002,0.0,352.402008,,,0.0,,162.992004,515.394012,0.0,515.394012,644.897015,
10/31/1999,677.835022,262.396004,143.440002,118.956001,144.348007,,,79.608002,49.298,16.386,26.368999,-12.445,46.646999,,,,,532.999023,125.251999,213.968002,-88.716003,0.0,,,,19.584,12.635,12.635,0.0,,6.948999,144.835999,,34.398998,34.398998,,,,0.992,0.0,0.992,0.992,,,70.137002,,,70.137002,105.528,4.881,0.0,4.881,4.881,,36.952999,,,,,36.952999,41.833999,147.361999,0.0,361.463989,,,0.0,,169.009003,530.472992,0.0,530.472992,677.834991,
01/31/2000,707.15802,258.536995,148.328995,110.208,166.244003,,,82.609001,44.333,23.122999,28.125999,-12.973,51.088001,,,,,558.478027,129.259003,230.852005,-101.593002,0.0,,,,19.421,11.726,11.726,0.0,,7.695,148.680002,,38.431,38.431,,,,0.835,,,,,,63.130004,,,63.130004,102.396004,5.084,,,,,36.952999,,,,,36.952999,42.036999,144.433003,0.0,384.546997,,,0.0,,178.177994,562.724991,0.0,562.724991,707.157994,
04/30/2000,780.833984,237.140991,90.003998,147.136993,197.770996,,,107.566002,60.805,26.455,35.194,-14.888,73.842003,,,,,616.320007,146.108994,260.842987,-114.734001,0.0,,,,18.405001,10.817,10.817,0.0,,7.588,164.513994,,42.629002,42.629002,,,,0.722,0.0,0.722,0.722,,,79.740002,,,79.740002,123.091003,5.002,0.0,5.002,5.002,,36.952999,,,,,36.952999,41.954999,165.046002,0.0,419.266998,,,0.0,,196.520996,615.787994,0.0,615.787994,780.833997,
07/31/2000,852.590027,244.062,209.903,34.159,213.087006,,,108.026001,42.771999,43.762001,36.617001,-15.125,96.495003,,,,,661.669983,167.871994,297.48999,-129.617996,0.0,,,,23.048,9.908,9.908,0.0,,13.14,190.919994,,45.882999,45.882999,,,,0.743,0.0,0.743,0.743,,,84.592003,,,84.592003,131.218002,4.919,0.0,4.919,4.919,,36.952999,,,,,36.952999,41.871999,173.090002,0.0,455.036987,,,0.0,,224.462997,679.499985,0.0,679.499985,852.589986,
