Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
06/30/1989,130.626999,-101.171997,29.455002,-19.85,9.605,-0.812,0.0,1.309,10.102,-4.09,6.012,0.0,0.0,6.012,-0.001,6.011,6.010999,,0.49,0.49,12.349,0.49,0.49,0.49,12.349,
09/30/1989,164.139008,-132.761002,31.378006,-20.472,10.906,-1.128,0.0,1.96,11.738,-4.64,7.098,0.0,0.0,7.098,-0.001,7.097,7.097,,0.57,0.57,12.455,0.57,0.57,0.57,12.455,
12/31/1989,143.363998,-113.813004,29.550995,-19.204,10.347,-0.774,0.0,1.429,11.002,-4.41,6.592,0.0,0.0,6.592,-0.001,6.591,6.591,,0.53,0.53,12.456,0.53,0.53,0.53,12.456,
03/31/1990,167.164001,-134.244003,32.919998,-19.667999,13.252,-0.168,0.0,0.698,13.782,-5.16,8.622,0.0,0.0,8.622,-0.001,8.621,8.621,,0.69,0.69,12.431,0.69,0.69,0.69,12.431,
06/30/1990,170.307999,-138.026001,32.281998,-21.535999,10.746,-0.788,0.0,1.067,11.025,-4.3,6.725,0.0,0.0,6.725,-0.001,6.724,6.724,,0.54,0.54,12.526,0.54,0.54,0.54,12.526,
09/30/1990,174.647003,-143.326996,31.320007,-21.440001,9.88,-0.648,0.0,1.281,10.513,-4.1,6.413,0.0,0.0,6.413,-0.001,6.412,6.412,,0.51,0.51,12.538,0.51,0.51,0.51,12.538,
12/31/1990,190.832993,-155.582993,35.25,-22.365999,12.884,-0.938,0.0,2.576,14.522,-5.7,8.822,0.0,0.0,8.822,-0.001,8.821,8.821,,0.71,0.71,12.482,0.71,0.71,0.71,12.482,
03/31/1991,160.940002,-125.293999,35.646003,-21.426001,14.22,-0.692,0.0,0.849,14.377,-5.6,8.777,0.0,0.0,8.777,-0.001,8.776,8.776,0.7,0.7,0.7,12.506,0.7,0.7,0.7,12.506,
06/30/1991,138.464996,-107.914001,30.550995,-22.165001,8.386,-0.701,0.0,2.45,10.135,-3.95,6.185,-16.733999,0.0,-10.549,-0.001,-10.55,6.184,,0.49,-0.84,12.558,0.49,0.49,-0.84,12.558,
09/30/1991,129.968002,-103.307999,26.660004,-19.548,7.112,-0.821,0.0,4.279,10.57,-4.09,6.48,0.0,0.0,6.48,-0.001,6.479,6.479,,0.51,0.51,12.62,0.51,0.51,0.51,12.62,
12/31/1991,176.121994,-144.468994,31.653,-22.684999,8.968,-0.772,0.0,2.066,10.262,-4.02,6.242,0.0,0.0,6.242,-0.001,6.241,6.241,,0.49,0.49,12.602,0.49,0.49,0.49,12.602,
03/31/1992,151.977005,-121.674004,30.303001,-29.304001,0.999,-0.563,0.0,-13.381,-12.945,5.55,-7.395,0.0,0.0,-7.395,0.0,-7.395,-7.395,-0.58,-0.58,-0.58,12.641999,-0.58,-0.58,-0.58,12.641999,
06/30/1992,143.244003,-111.161003,32.083,-23.568001,8.515,-0.822,0.0,1.252,8.945,-3.31,5.635,0.0,0.0,5.635,-0.001,5.634,5.634,,0.45,0.45,12.613,0.45,0.45,0.45,12.613,
09/30/1992,177.520004,-145.063004,32.457001,-23.527,8.93,-0.502,0.0,1.466,9.894,-3.66,6.234,0.0,0.0,6.234,-0.001,6.233,6.233,,0.5,0.5,12.476,0.5,0.5,0.5,12.476,
12/31/1992,191.042999,-159.098999,31.944,-27.99,3.954,-0.594,0.0,4.705,8.065,-1.22,6.845,0.0,0.0,6.845,-0.001,6.844,6.844,,0.55,0.55,12.476,0.55,0.55,0.55,12.476,
03/31/1993,158.033997,-127.669998,30.363999,-23.344,7.02,-0.488,0.0,7.392,13.924,-5.15,8.774,0.0,0.0,8.774,0.0,8.774,8.774,0.7,0.7,0.7,12.4255,0.7,0.7,0.7,12.4255,
06/30/1993,288.776001,-253.462006,35.313995,-25.768,9.546,-0.52,0.0,-34.764,-25.738,9.11,-16.628,0.0,0.0,-16.628,0.0,-16.628,-16.628001,,-1.34,-1.34,12.452,-1.34,-1.34,-1.34,12.452,
09/30/1993,215.492996,-184.059998,31.432999,-15.195,16.238001,-0.484,0.0,-7.289,8.465001,-1.64,6.825,0.0,0.0,6.825,0.0,6.825,6.825001,,0.55,0.55,12.461,0.55,0.55,0.55,12.461,
12/31/1993,142.723999,-113.859001,28.864998,-21.242001,7.623,-1.06,0.0,1.579,8.142,-3.22,4.922,0.0,0.0,4.922,0.0,4.922,4.922,,0.4,0.4,12.441,0.4,0.4,0.4,12.441,
03/31/1994,138.695007,-118.079002,20.616005,-28.073,-7.457,-1.27,0.0,-5.618,-14.345,5.35,-8.995,0.0,0.0,-8.995,0.0,-8.995,-8.995,-0.73,-0.73,-0.73,12.399,-0.73,-0.73,-0.73,12.399,
06/30/1994,114.385002,-90.991997,23.393005,-21.167999,2.225,-0.978,0.0,1.697,2.944,-1.0,1.944,0.0,0.0,1.944,0.0,1.944,1.944,,0.16,0.16,12.409,0.16,0.16,0.16,12.409,
09/30/1994,112.168999,-86.694,25.474998,-22.502001,2.973,-1.083,0.0,1.862,3.752,-1.28,2.472,0.0,0.0,2.472,0.0,2.472,2.472,,0.2,0.2,12.34,0.2,0.2,0.2,12.34,
12/31/1994,114.530998,-91.769997,22.761002,-21.601,1.16,-0.999,0.0,1.896,2.057,-0.695,1.362,0.0,0.0,1.362,0.0,1.362,1.362,,0.11,0.11,12.331,0.11,0.11,0.11,12.331,
03/31/1995,54.147999,-42.327001,11.820998,,11.821,-0.799,0.0,2.074,13.096,-3.715,9.381,-5.835,0.0,3.546,0.0,3.546,9.381,0.77,0.77,0.29,12.34,0.77,0.77,0.29,12.34,
06/30/1995,60.155998,-41.32,18.835999,-10.948,7.888,-0.287,0.0,-2.673,4.928,,4.928,-0.279,0.0,4.649,0.0,4.649,,0.4,0.4,0.38,12.347,0.4,0.4,0.38,12.347,
09/30/1995,70.186996,-50.455002,19.731995,-12.774,6.958,-0.287,0.0,-2.106,4.565,,4.565,-0.49,0.0,4.075,0.0,4.075,,0.37,0.37,0.33,12.348,0.37,0.37,0.33,12.348,
12/31/1995,76.399002,-57.402,18.997002,-13.905,5.092,-0.287,0.0,-0.375,4.43,,4.43,-0.936,0.0,3.494,0.0,3.494,,0.36,0.36,0.28,12.479,0.36,0.36,0.28,12.479,
03/31/1996,77.941002,-56.127998,21.813004,-14.092,7.721,-0.286,0.0,0.169,7.604,0.0,7.604,-3.152,0.0,4.452,0.0,4.452,7.604,0.61,0.61,0.36,12.365,0.61,0.61,0.36,12.365,
06/30/1996,82.235001,-59.598,22.637001,-14.053,8.584,-1.085,0.0,2.912,10.411,-3.89,6.521,-4.309,0.0,2.212,0.0,2.212,6.520999,0.53,0.53,0.18,12.353,0.53,0.53,0.18,12.353,
09/30/1996,81.228996,-58.889,22.339996,-14.906,7.434,-1.085,0.0,2.385,8.734,-3.2,5.534,-4.255,0.0,1.279,0.0,1.279,5.534,0.44,0.44,0.1,12.369,0.44,0.44,0.1,12.369,
12/31/1996,65.685997,-45.890999,19.794998,-13.834,5.961,-1.085,0.0,3.211,8.087,-3.21,4.877,2.164,0.0,7.041,0.0,7.041,4.877,0.39,0.39,0.57,12.51,0.39,0.39,0.57,12.51,
03/31/1997,123.867996,-86.065002,37.802994,-26.974001,10.829,-1.085,0.0,-1.574,8.17,-3.1,5.07,-10.302,0.0,-5.232,0.0,-5.232,5.070001,0.41,0.41,-0.42,12.492,0.41,0.41,-0.42,12.492,
06/30/1997,156.384995,-109.638,46.746994,-32.019001,14.728,-4.763,0.0,0.88,10.845,-4.64,6.205,0.0,0.0,6.205,0.0,6.205,6.205,0.5,0.5,0.5,12.517,0.5,0.5,0.5,12.517,
09/30/1997,166.212006,-117.630997,48.581009,-29.941,18.639999,-4.611,0.0,-0.012,14.016999,-6.05,7.967,0.0,0.0,7.967,0.0,7.967,7.966999,0.63,0.63,0.63,12.673,0.63,0.63,0.63,12.673,
12/31/1997,152.529007,-105.014,47.515007,-27.768999,19.746,-4.512,0.0,-2.141,13.093,-5.65,7.443,0.0,0.0,7.443,0.0,7.443,7.443,0.6,0.6,0.6,12.496,0.59,0.59,0.59,12.717,
03/31/1998,158.850998,,,,,,,,,,,,,2.598,,2.598,,0.51,0.51,0.2,12.569,0.5,0.5,0.2,12.835,
