Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2002,386.031006,34.238998,34.238998,0.0,0.218,,,0.263,0.0,0.0,0.263,0.0,3.88,,,,38.599998,334.876007,,,0.0,,12.555,1.0,,,,11.555,347.431007,,1.656,1.656,,,,0.036,,,,,,2.194,,,,2.194,3.886,0.282,,,,,0.0,,,,,0.0,0.282,4.168,0.0,412.571991,,,,,-30.709,381.862991,0.0,381.862991,386.030991,
09/30/2002,579.704,167.608,167.608,,0.171,0.171,,0.208,,,,,4.175,,,,172.162,388.88,403.938,-15.058,,,18.662,7.4,,,,11.262,407.542,,5.826,5.826,,,,1.146,,,,,,6.14,,,,6.14,13.112,27.655,,,,,,,,,,,27.655,40.767,0.0,586.066,,,,-49.312,0.0,536.754,2.183,538.937,579.704,
12/31/2002,1398.601,109.644,109.644,,0.184,0.184,,0.212,,,,,794.887,,,,904.927,420.496,437.723,-17.227,,,73.178,7.4,,,,65.778,493.674,,10.208,10.208,,,,0.038,,,,,,10.406,,,,10.406,20.652,382.153,,,,,,,,,,,382.153,402.805,,1066.439,,,,-60.055,-14.771,991.613,4.183,995.796,1398.601,
03/31/2003,1413.023,107.41,107.41,,0.154,0.154,,0.219,,,,,2.188,,,,109.971,487.815,507.216,-19.401,,,815.237,7.4,,,,807.837,1303.052,,20.555,20.555,,,,0.039,,,,,,22.377,,,,22.377,42.971,382.964,,,,,,,,,,,382.964,425.935,0.0,1066.439,,,,-69.061,-13.392,983.986,3.102,987.088,1413.023,
06/30/2003,1453.716,149.451,149.451,0.0,0.059,0.059,,0.212,,,,,38.863,,,,188.585,584.065,,,0.0,,681.066,7.4,,,,673.666,1265.131,,30.852,30.852,,,,0.04,,,,,,11.273,,,,11.273,42.165,383.775,,,,,7.211,,,,,7.211,390.986,433.151,0.0,1114.063,,,,-81.738,-14.25,1018.075,2.49,1020.565,1453.716,
09/30/2003,1733.313,346.574,346.574,0.0,0.207,0.207,,0.216,,,,,70.706,,,,417.703,719.404,741.621,-22.217,0.0,,596.206,7.4,,,,588.806,1315.61,,44.619,44.619,,,,0.04,,,,,,27.952,,,,27.952,72.611,634.604,,,,,13.82,,,,,13.82,648.424,721.035,0.0,1114.063,,,0.0,-96.58,-7.08,1010.403,1.875,1012.278,1733.313,
12/31/2003,1733.322998,341.552002,341.552002,0.0,0.078,0.078,,0.204,0.0,0.0,0.204,0.0,60.513,,,,402.346985,897.815002,920.785,,0.0,,433.161011,7.4,,,,425.761011,1330.976013,,49.754002,49.754002,,,,0.041,,,,,,21.381001,,,,21.381001,71.176003,635.432007,,,,,23.846001,,,,,23.846001,659.278008,730.454011,0.0,1111.633057,,,0.0,-108.946999,-0.871002,1001.815056,1.054,1002.869056,1733.323067,
03/31/2004,1736.326,315.477,315.477,0.0,0.044,0.044,,0.584,,,,,76.972,,,,393.077,1096.455,1120.207,-23.752,0.0,,246.794,7.4,,,,239.394,1343.249,,54.79,54.79,,,,0.042,,,,,,29.888,,,,29.888,84.72,636.252,,,,,36.835,,,,,36.835,673.087,757.807,0.0,1111.633,,,0.0,-122.195,-11.323,978.115,0.404,978.519,1736.326,
06/30/2004,2127.836,361.009,361.009,0.0,0.008,0.008,,0.559,,,,,74.577,,,,436.153,1392.981,1413.122,-20.141,0.0,,298.702,7.4,0.0,7.4,,291.302,1691.683,,67.328,67.328,,,,0.555,,,,,,51.669,,,,51.669,119.552,708.185,,,,,76.156,,,,,76.156,784.341,903.893,0.0,1379.738,,,0.0,-164.114,8.319,1223.943,0.0,1223.943,2127.836,
09/30/2004,2469.984,209.246,209.246,0.0,0.145,0.145,,0.657,,,,,9.032,,,,219.08,1696.511,1700.748,-4.237,0.0,,554.393,7.4,0.0,7.4,,546.993,2250.904,,80.404,80.404,,,,0.708,,,,,,53.04,,,,53.04,134.152,1002.277,,,,,88.617,,,,,88.617,1090.894,1225.046,0.0,1431.212,,,0.0,-186.819,0.545,1244.938,0.0,1244.938,2469.984,
