Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/29/1989,713.679993,16.799,16.799,0.0,131.526001,,,351.71701,,,,,25.906,,,,,,,525.947998,145.869995,302.251007,-156.380997,0.0,41.862,,,,,,41.862,187.731995,,87.361,87.361,,,,57.900002,,,,,,83.128006,,,,83.128006,228.389008,136.112,,,,,15.257,,,15.257,151.368999,379.758007,0.0,87.977997,,,,,245.944,333.921997,0.0,333.921997,713.680004,
07/29/1989,730.359985,10.781,10.781,0.0,150.104996,,,356.316986,,,,,28.481001,,,,,,,545.684021,145.440994,306.303986,-160.863007,0.0,39.235001,,,,,,39.235001,184.675995,,95.512001,95.512001,,,,77.699997,,,,,,74.493996,,,,74.493996,247.705994,136.110001,,,,,13.369,,,13.369,149.479001,397.184995,0.0,90.801003,,,,,242.373993,333.174995,0.0,333.174995,730.35999,
10/28/1989,725.166992,22.166,22.166,0.0,131.886993,,,359.075012,,,,,32.437,,,,,,,545.565002,146.475006,311.309998,-164.835007,0.0,33.126999,,,,,,33.126999,179.602005,,92.477997,92.477997,,,,60.591,,,,,,86.347004,,,,86.347004,239.416,136.128006,,,,,13.413,,,13.413,149.541006,388.957006,0.0,91.151001,,,,,245.059006,336.210007,0.0,336.210007,725.167013,
02/03/1990,712.969971,22.274,22.274,0.0,141.033005,,,333.335999,,,,,34.369999,,,,,,,531.013,146.093994,305.942993,-159.848999,0.0,35.862999,,,,,,35.862999,181.956993,,86.125999,86.125999,,,,59.868,,,,,,78.578999,,,,78.578999,224.572998,132.397995,,,,,17.035999,,,17.035999,149.433994,374.006992,0.0,90.688004,,,,,248.274994,338.962998,0.0,338.962998,712.96999,
05/05/1990,711.596985,19.468,19.468,0.0,120.703003,,,353.388,,,,,30.459999,,,,,,,524.018982,149.718994,315.403992,-165.684998,0.0,37.859001,,,,,,37.859001,187.577995,,92.807999,92.807999,,,,33.166,,,,,,95.929001,,,,95.929001,221.903,132.401001,,,,,17.399,,,17.399,149.800001,371.703001,0.0,90.306999,,,,,249.587006,339.894005,0.0,339.894005,711.597006,
08/04/1990,751.508972,11.816,11.816,0.0,151.738007,,,373.531006,,,,,27.74,,,,,,,564.825012,148.740005,319.333008,-170.593002,0.0,37.944,,,,,,37.944,186.684006,,102.625999,102.625999,,,,73.401001,,,,,,88.182991,,,,88.182991,264.209991,132.421005,,,,,17.59,,,17.59,150.011005,414.220997,0.0,91.380997,,,,,245.906998,337.287994,0.0,337.287994,751.508991,
11/03/1990,774.247009,14.321,14.321,0.0,148.806,,,396.023987,,,,,29.525,,,,,,,588.676025,146.899002,319.388,-172.488998,0.0,38.672001,,,,,,38.672001,185.571003,,104.855003,104.855003,,,,90.371002,,,,,,92.595985,,,,92.595985,287.821991,132.442993,,,,,17.34,,,17.34,149.782993,437.604984,0.0,91.237999,,,,,245.404007,336.642006,0.0,336.642006,774.24699,
02/02/1991,736.794983,16.334999,16.334999,0.0,120.75,,,362.553986,,,,,35.922001,,,,,,,535.560974,148.154999,321.368988,-173.214005,0.0,53.078999,,,,,,53.078999,201.233998,,93.011002,93.011002,,,,60.554001,,,,,,96.686004,,,,96.686004,250.251007,128.610992,,,,,21.750999,,,21.750999,150.361991,400.612998,0.0,91.579002,,,,,244.602997,336.181999,0.0,336.181999,736.794997,
05/04/1991,706.192017,17.424,17.424,0.0,92.053001,,,364.066986,,,,,33.381001,,,,,,,506.924988,146.007996,324.878998,-178.871002,0.0,53.258999,,,,,,53.258999,199.266994,,92.555,92.555,,,,36.103001,,,,,,96.241993,,,,96.241993,224.899994,128.731003,,,,,30.746,,,30.746,159.477003,384.376997,0.0,91.489998,,,,,230.324997,321.814995,0.0,321.814995,706.191992,
08/03/1991,743.950012,14.652,14.652,0.0,120.267998,,,376.105988,,,,,36.021,,,,,,,547.046997,143.160004,327.662994,-184.503006,0.0,53.743,,,,,,53.743,196.903004,,109.995003,109.995003,,,,62.777,,,,,,89.128998,,,,89.128998,261.901001,128.751007,,,,,21.504,,,21.504,150.255007,412.156008,0.0,91.457001,,,,,240.337006,331.794006,0.0,331.794006,743.950014,
