Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/31/1999,5050,0,0,0.0,1297,,,1597,852.0,0.0,745.0,0.0,362,,,,,3256,1378,3648.0,-2270.0,0.0,,,416,,,,,416,1794,,426,426,,,,0.0,,,,,1041,,,1041,1467,0.0,,,,,363,,,,363,363,1830,0.0,3220,,,0.0,,0,3220,0.0,3220,5050,
10/31/1999,5444,0,0,0.0,1635,,,1499,574.0,286.0,639.0,0.0,404,,,,,3538,1387,3657.0,-2270.0,0.0,,,519,142.0,,,,377,1906,,510,510,,,,0.0,0.0,0.0,0.0,,1171,,,1171,1681,0.0,0.0,0.0,0.0,,381,,,,381,381,2062,0.0,3382,,,0.0,,0,3382,0.0,3382,5444,
01/31/2000,7107,1410,1368,42.0,1445,,,1567,846.0,0.0,721.0,0.0,560,,,,,4982,1408,3634.0,-2226.0,0.0,,,717,,,,,717,2125,,303,303,,,,443.0,,,,,1321,,,1321,2067,0.0,,,,,554,,,,554,554,2621,0.0,4302,,,0.0,,184,4486,0.0,4486,7107,
04/30/2000,7321,978,978,0.0,1826,,,1622,1094.0,0.0,528.0,0.0,631,,,,,5057,1453,3690.0,-2237.0,0.0,,,811,,,,,811,2264,,509,509,,,,98.0,,,,,1579,,,1579,2186,0.0,,,,,493,,,,493,493,2679,0.0,4349,,,0.0,,293,4642,0.0,4642,7321,
07/31/2000,7827,703,703,0.0,2167,2167.0,,1762,1241.0,0.0,521.0,0.0,712,,,,,5344,1581,3825.0,-2244.0,0.0,,,902,,,,,902,2483,,783,783,,,,129.0,,,,,1598,,,1598,2510,0.0,,,,,415,,,,415,415,2925,0.0,4456,,,0.0,452.0,-6,4902,0.0,4902,7827,
10/31/2000,8425,996,996,0.0,2201,,,1853,1039.0,343.0,471.0,0.0,605,,,,,5655,1741,3970.0,-2229.0,0.0,,,1029,557.0,,,,472,2770,,857,857,,,,110.0,,,,,1791,,,1791,2758,0.0,,,,,402,,,,402,402,3160,0.0,4513,,,0.0,,752,5265,0.0,5265,8425,
01/31/2001,9208,433,433,0.0,2130,,,2129,1203.0,381.0,545.0,0.0,769,,,,,5461,1821,,,0.0,,,1926,1213.0,,,,713,3747,,711,711,,,,556.0,,,,,1803,,,1803,3070,0.0,,,,,597,,,,597,597,3667,0.0,4597,,,0.0,,944,5541,0.0,5541,9208,
04/30/2001,9080,809,809,0.0,1573,,,1791,1042.0,316.0,433.0,0.0,825,,,,,4998,1848,,,0.0,,,2234,1238.0,,,,996,4082,,653,653,,,,773.0,,,,,1672,,,1672,3098,0.0,,,,,366,,,,366,366,3464,0.0,4594,,,0.0,,1022,5616,0.0,5616,9080,
07/31/2001,8622,999,999,,1169,1169.0,,1704,968.0,283.0,453.0,0.0,784,,,,,4656,1807,,,,,,2159,1178.0,,,,981,3966,,544,544,,,,794.0,,,,,1466,,,1466,2804,,,,,,331,,,,331,331,3135,,4710,,,,788.0,-11,5487,,5487,8622,
10/31/2001,7986,1170,1170,0.0,977,,,1491,852.0,239.0,400.0,0.0,1161,,,,,4799,1848,4125.0,-2277.0,0.0,,,1339,1070.0,,,,269,3187,,392,392,,,,0.0,,,,,1610,,,1610,2002,0.0,,,,,325,,,,325,325,2327,0.0,4728,,,0.0,,931,5659,0.0,5659,7986,
01/31/2002,8558,2188,2188,0.0,817,,,1382,678.0,305.0,399.0,0.0,1080,,,,,5467,1787,,,0.0,,,1304,952.0,,,,352,3091,,321,321,,,,9.0,,,,,1330,,,1330,1660,1150.0,,,,,353,,,,353,1503,3163,0.0,4784,,,0.0,,611,5395,0.0,5395,8558,
04/30/2002,8238,2235,2235,0.0,902,,,1307,610.0,307.0,390.0,0.0,816,,,,,5260,1728,,,0.0,,,1250,863.0,,,,387,2978,,347,347,,,,0.0,,,,,1262,,,1262,1609,1150.0,,,,,351,,,,351,1501,3110,0.0,4808,,,0.0,,320,5128,0.0,5128,8238,
07/31/2002,8437,2105,2105,0.0,873,,,1301,684.0,157.0,460.0,0.0,700,,,,,4979,1713,,,0.0,,,1745,780.0,,,,965,3458,,373,373,,,,0.0,,,,,1585,,,1585,1958,1150.0,,,,,328,,,,328,1478,3436,0.0,4867,,,0.0,,134,5001,0.0,5001,8437,
10/31/2002,8203,1844,1844,,1118,1118.0,,1184,677.0,130.0,377.0,0.0,734,,,,,4880,1579,4073.0,-2494.0,,,,1744,685.0,610.0,75.0,,1059,3323,,305,305,,,,,,,,,1876,,,1876,2181,1150.0,,,,,245,,,,245,1395,3576,,4877,,,0.0,-101.0,-149,4627,,4627,8203,
01/31/2003,7770,1754,1754,0.0,930,,,1166,670.0,133.0,363.0,0.0,709,,,,,4559,1571,,,0.0,,,1640,422.0,,,,1218,3211,,290,290,,,,0.0,,,,,1733,,,1733,2023,1150.0,,,,,248,,,,248,1398,3421,0.0,4927,,,0.0,,-578,4349,0.0,4349,7770,
04/30/2003,7617,1533,1533,0.0,929,,,1131,634.0,128.0,369.0,0.0,716,,,,,4309,1510,,,0.0,,,1798,414.0,,,,1384,3308,,294,294,,,,0.0,,,,,1712,,,1712,2006,1150.0,,,,,260,,,,260,1410,3416,0.0,4928,,,0.0,,-727,4201,0.0,4201,7617,
07/31/2003,5990,1430,1430,0.0,967,,,1051,630.0,73.0,348.0,0.0,302,,,,,3750,1449,,,0.0,,,791,391.0,,,,400,2240,,328,328,,,,0.0,,,,,1460,,,1460,1788,1150.0,,,,,332,,,,332,1482,3270,0.0,4981,,,0.0,-2172.0,-89,2720,0.0,2720,5990,
10/31/2003,6297,1607,1607,0.0,1086,1086.0,,995,554.0,85.0,356.0,0.0,201,,,,,3889,1447,4271.0,-2824.0,0.0,,,961,402.0,388.0,14.0,,559,2408,,441,441,,,,0.0,0.0,0.0,0.0,,1465,,,1465,1906,1150.0,1150.0,0.0,0.0,,417,,,,417,1567,3473,0.0,4989,,,0.0,-2159.0,-6,2824,0.0,2824,6297,
01/31/2004,6384,1678,1678,0.0,1064,1064.0,,1056,570.0,147.0,339.0,0.0,188,,,,,3986,1419,,,0.0,,,979,410.0,402.0,8.0,,569,2398,,416,416,,,,0.0,,,,,1329,,,1329,1745,1150.0,,,,,420,,,,420,1570,3315,0.0,5055,,,0.0,-2088.0,102,3069,0.0,3069,6384,
04/30/2004,6675,1842,1842,0.0,1094,1094.0,,1050,610.0,138.0,302.0,0.0,269,,,,,4255,1363,,,0.0,,,1057,393.0,387.0,6.0,,664,2420,,428,428,,,,0.0,,,,,1478,,,1478,1906,1150.0,,,,,432,,,,432,1582,3488,0.0,5072,,,0.0,-1984.0,99,3187,0.0,3187,6675,
