Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/30/1989,641.520996,,-463.766998,,177.753998,,-133.998001,,,,,,43.756001,-1.108,,1.328,,0.0,-0.22,42.648001,-16.719999,25.927999,0.0,,,25.928001,0.0,25.927999,0.0,,25.927999,25.927999,,1580.346545,0.016461,0.016461,0.016461,1580.346545,0.016461,0.016461,0.016461,
07/30/1989,704.025024,,-511.208008,,192.817017,,-141.862,,,,,,50.955002,-0.464,,4.303,,0.0,-3.839,50.491002,-19.690001,30.801001,0.0,,,30.801001,0.0,30.801001,0.0,,30.801001,30.801001,,1594.967011,0.019259,0.019259,0.019259,1594.967011,0.019259,0.019259,0.019259,
10/29/1989,699.73999,,-508.23999,,191.5,,-149.076004,,,,,,42.424,-0.508,,5.482,,0.0,-4.974,41.916,-16.275999,25.639999,0.0,,,25.640001,0.0,25.639999,0.0,,25.639999,25.639999,,1604.646423,0.015803,0.015803,0.015803,1604.646423,0.015803,0.015803,0.015803,
01/28/1990,713.249023,,-508.562012,,204.687012,,-157.173004,,,,,,47.514,-0.554,,4.841,,0.0,-4.287,46.96,-17.375,29.584999,0.0,,,29.585,0.0,29.584999,0.0,,29.584999,29.584999,,1551.328395,0.018765,0.018765,0.018765,1551.328395,0.018765,0.018765,0.018765,
04/29/1990,880.856018,,-637.19397,,243.662048,,-181.382996,,,,,,62.278999,-0.972,,4.228,,0.0,-3.256,61.306999,-22.690001,38.617001,0.0,,,38.616999,0.0,38.617001,0.0,,38.617001,38.617001,,1619.631497,0.023704,0.023704,,1619.631497,0.023704,0.023704,0.023704,
07/29/1990,990.346008,,-721.119995,,269.226013,,-192.617004,,,,,,76.609001,-1.63,,5.009,,0.0,-3.379,74.979001,-27.74,47.238998,0.0,,,47.239002,0.0,47.238998,0.0,,47.238998,47.238998,,1636.141898,0.028889,0.028889,,1636.141898,0.028889,0.028889,0.028889,
10/28/1990,936.612,,-677.794983,,258.817017,,-200.503006,,,,,,58.313999,-1.028,,7.207,,0.0,-6.179,57.285999,-21.190001,36.096001,0.0,,,36.095999,0.0,36.096001,0.0,,36.096001,36.096001,,1630.984963,0.022222,0.022222,,1630.984963,0.022222,0.022222,0.022222,
02/03/1991,1007.541992,,-714.976013,,292.565979,,-224.132996,,,,,,68.432999,-2.177,,6.942,,0.0,-4.765,66.255999,-24.780001,41.476002,0.0,,,41.475998,0.0,41.476002,0.0,,41.476002,41.476002,,1619.99595,0.025185,0.025185,0.025185,1619.99595,0.025185,0.025185,0.025185,
05/05/1991,1186.890015,,-861.271973,,325.618042,,-241.031998,,,,,,84.585999,-2.258,,6.49,,0.0,-4.232,82.327999,-31.040001,51.287998,0.0,,,51.287998,0.0,51.287998,0.0,,51.287998,51.287998,,1676.115278,0.031111,0.031111,,1676.115278,0.031111,0.031111,0.031111,
08/04/1991,1352.791992,,-983.708984,,369.083008,,-261.089996,,,,,,107.992996,6.035,,2.185,,0.0,-8.22,114.027997,-42.200001,71.828003,0.0,,,71.827996,0.0,71.828003,0.0,,71.828003,71.828003,,1914.016272,0.037778,0.037778,,1914.016272,0.037778,0.037778,0.037778,
11/03/1991,1298.276978,,-932.898987,,365.377991,,-278.036987,,,,,,87.341003,5.784,,1.525,,0.0,-7.309,93.125003,-34.740002,58.384998,0.0,,,58.385002,0.0,58.384998,0.0,,58.384998,58.384998,,1945.939166,0.03,0.03,,1945.939166,0.03,0.03,0.03,
