Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2009,6624,6624,,0,-5602,,353,5249,1022,-403,,471,,,-68.0,0,619,-187,432,0,0,0,432,-72,360,0.0,0,360,369.25,9.25,,,,,,,,,
06/30/2009,6617,6617,,0,-5646,,360,5286,971,-445,,506,,,-61.0,0,526,-161,365,0,0,0,365,-83,282,0.0,0,282,285.95,3.95,425.26299,0.665927,0.665927,0.672408,431.223105,0.657048,0.657048,0.666208,
09/30/2009,6623,6623,,0,-5760,,354,5406,863,-457,,510,,,-53.0,0,406,-132,274,0,0,0,274,-78,196,0.0,0,196,198.0,2.0,425.510765,0.459489,0.459489,0.465323,431.772715,0.45283,0.45283,0.457462,
12/31/2009,6912,6912,,0,-6025,0.0,358,5667,887,-436,,500,,0.0,-64.0,0,451,-147,304,0,0,0,304,-88,216,0.0,0,216,244.0,28.0,424.925764,0.508324,0.508324,0.574218,434.410714,0.497225,0.497225,0.56168,
03/31/2010,6980,6980,,0,-5847,,355,5492,1133,-448,,516,,,-68.0,0,685,-209,476,0,0,0,476,-88,388,0.0,0,388,399.7,11.7,426.35,0.91,0.91,0.937493,435.68,0.89,0.89,0.916855,
06/30/2010,6968,6968,,0,-5999,,355,5644,969,-455,530.0,530,0.0,,-75.0,0,514,-136,378,0,0,0,378,-85,293,0.0,0,293,350.0,57.0,426.802699,0.689234,0.689234,0.820051,437.589671,0.669256,0.669256,0.799515,
09/30/2010,6926,6926,,0,-6000,,352,5648,926,-458,,525,,,-67.0,0,468,-143,325,0,0,0,325,-82,243,0.0,0,243,250.5,7.5,1920.756305,0.126526,0.126526,0.130417,1977.83916,0.122087,0.122087,0.125879,
12/31/2010,7161,7161,,0,-6143,,359,5784,1018,-454,,526,,,-72.0,0,564,-170,394,0,0,0,394,-111,283,0.0,0,283,282.0,-1.0,426.392844,0.663707,0.663707,0.661362,437.3454,0.645949,0.645949,0.643662,
03/31/2011,7406,7406,,0,-6432,,358,6074,974,-457,,533,,,-76.0,0,517,-183,334,0,0,0,334,-94,240,0.0,0,240,391.0,151.0,444.202,0.54,0.54,0.88023,461.969,0.52,0.52,0.846862,
06/30/2011,7249,7249,,0,-6299,,358,5941,950,-483,520.0,520,0.0,,-73.0,36,467,-147,320,0,0,0,320,-91,229,0.0,0,229,277.0,48.0,516.448,0.44,0.44,0.536356,538.557,0.43,0.43,0.519127,
09/30/2011,7258,7258,,0,-6329,,362,5967,929,-806,,519,,,-68.0,355,123,23,146,0,0,0,146,-85,61,0.0,0,61,320.78235,259.78235,508.417,0.12,0.12,0.630943,527.515,0.11,0.11,0.602464,
12/31/2011,7769,7769,,0,-5011,0.0,387,4624,2758,-304,465.0,465,0.0,,-41.0,-120,2454,-412,2042,0,0,0,2042,-107,1935,0.0,0,1935,427.0,-1508.0,455.46,4.25,4.25,0.937514,455.46,4.25,4.25,0.937514,
03/31/2012,8405,8405,,0,-7066,,417,6649,1339,-376,,442,,,-11.0,-55,963,-324,639,0,0,0,639,-99,540,0.0,0,540,651.5,111.5,437.936,1.23,1.23,1.48766,458.312,1.18,1.18,1.423284,
06/30/2012,8112,8112,,0,-7044,,420,6624,1068,-369,,448,,,-9.0,-70,699,-214,485,0,0,0,485,-94,391,0.0,0,391,392.0,1.0,439.473,0.89,0.89,0.891977,458.621,0.85,0.85,0.85218,
09/30/2012,8062,8062,,0,-7076,,417,6659,986,-309,,446,,,-6.0,-131,677,-222,455,0,0,0,455,-95,360,,0,360,353.0,-7.0,440.899,0.82,0.82,0.800637,459.515,0.78,0.78,0.764767,
12/31/2012,8434,8434,,0,-7507,,425,7082,927,-372,,462,,,-10.0,-80,555,-128,427,0,0,0,427,-113,314,0.0,0,314,418.0,104.0,461.131,0.68,0.68,0.906467,461.131,0.68,0.68,0.905532,
03/31/2013,8440,8440,,0,-7359,,424,6935,1081,-442,,472,,,-8.0,-22,639,-201,438,0,0,0,438,-94,344,0.0,0,344,366.0,22.0,444.401,0.77,0.77,0.823581,462.368,0.74,0.74,0.787581,
06/30/2013,8450,8450,,0,-7246,,425,6821,1204,-398,,462,,,-12.0,-52,806,-269,537,0,0,0,537,-114,423,0.0,0,423,420.0,-3.0,446.612,0.95,0.95,0.940414,463.184,0.91,0.91,0.903523,
09/30/2013,8456,8456,,0,-7381,,443,6938,1075,-374,,458,,,-9.0,-75,701,-234,467,0,0,0,467,-102,365,0.0,0,365,366.0,1.0,447.329,0.82,0.82,0.81819,463.569,0.79,0.79,0.792157,
12/31/2013,8836,8836,,0,-7630,0.0,461,7169,1206,-406,,456,,0.0,,-50,800,-246,554,0,0,0,554,-130,424,0.0,0,424,422.0,-2.0,441.666667,0.96,0.96,0.955472,458.535,0.92,0.92,0.915638,
03/31/2014,8832,8832,,0,-7752,,447,7305,1080,-400,,460,,0.0,-9.0,-51,680,-226,454,0,0,0,454,-107,347,0.0,0,347,383.0,36.0,442.15,0.78,0.78,0.866222,457.449,0.76,0.76,0.838697,
06/30/2014,9230,9230,,0,-7728,,454,7274,1502,-598,,427,,,-9.0,180,904,-272,632,0,0,0,632,-149,483,0.0,0,483,619.0,136.0,438.833,1.1,1.1,1.410559,453.009,1.07,1.07,1.370215,
09/30/2014,9220,9220,,0,-7898,,460,7438,1322,-393,,427,,,-14.0,-20,929,-318,611,0,0,0,611,-93,518,0.0,0,518,525.8,7.8,432.617,1.2,1.2,1.215394,447.26,1.16,1.16,1.17744,
12/31/2014,9636,9636,,0,-8178,,459,7719,1458,-490,,429,,0.0,-11.0,72,968,-292,676,0,0,0,676,-149,527,0.0,0,527,588.0,61.0,431.967,1.22,1.22,1.361215,443.866,1.19,1.19,1.327429,
03/31/2015,9676,9676,,0,-8226,,473,7753,1450,-372,,419,,0.0,-19.0,-28,1078,-358,720,0,0,0,720,-129,591,0.0,0,591,585.0,-6.0,420.148,1.41,1.41,1.392366,435.309,1.36,1.36,1.346217,
06/30/2015,9897,9897,,0,-8386,,469,7917,1511,-527,,425,,0.0,-10.0,112,984,-319,665,0,0,0,665,-158,507,0.0,0,507,589.0,82.0,416.407,1.22,1.22,1.414482,429.369,1.18,1.18,1.370978,
09/30/2015,9856,9856,,0,-8541,,482,8059,1315,-472,,411,,0.0,-9.0,70,843,-270,573,0,0,0,573,-124,449,0.0,0,449,500.0,51.0,414.939,1.08,1.08,1.204996,426.441,1.05,1.05,1.169595,
