Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
01/31/1990,-207.917999,78.528999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1990,-169.237,144.014999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1990,303.442993,114.101997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1990,470.812012,74.454002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.812012,
01/31/1991,-174.399994,-43.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1991,-168.399994,73.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1991,373.899994,31.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1991,581.900024,-81.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.900024,
01/31/1992,-323.399994,-19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1992,-190.100006,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1992,279.399994,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1992,592.400024,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.400024,
01/31/1993,-237.600006,-1142.199951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1993,-20.700001,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1993,482.600006,87.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1993,609.799988,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.799988,
01/31/1994,-220.300003,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1994,-51.799999,189.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1994,533.700012,157.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1994,457.200012,169.600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.200012,
