Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2017,4312.567,225.577,225.577,0,435.818,435.818,0,,463.143,308.675,63.12,75.44,15.908,58.222,,58.222,1182.76,354.2,511.648,-157.448,0,2775.607,2624.65,1167.454,1457.196,0.754,150.203,3129.807,,458.758,217.639,,,241.119,24.55,0,,,,24.55,0.0,,,0,483.308,2757.003,2757.003,,,,788.578,,123.643,482.122,182.813,3545.581,4028.889,0,1226.254,1.505,1224.749,-21.968,-603.248,-317.36,283.678,0.0,283.678,4312.567,
06/30/2017,4422.9,245.7,245.7,0,475.2,475.2,0,,485.8,331.6,59.4,78.9,15.9,59.8,,59.8,1266.5,356.2,,,0,2800.2,2659.9,1200.1,1459.8,0.9,139.4,3156.4,,494.8,246.4,,,248.4,5.9,0,,,,5.9,0.0,,,0,500.7,1976.6,1976.6,,,,736.6,,129.5,420.2,186.9,2713.2,3213.9,0,2262.2,2.0,2260.2,-22.0,-749.5,-281.7,1209.0,0.0,1209.0,4422.9,
09/30/2017,4552.6,303.0,303.0,0,531.6,531.6,0,,507.6,347.1,69.2,75.4,15.9,61.2,,61.2,1403.4,352.0,,,0,2797.2,2666.6,1216.9,1449.7,0.9,129.7,3149.2,,538.5,263.6,,,274.9,21.1,0,,,,21.1,0.0,,,0,559.6,2006.9,2006.9,,,,714.3,,129.8,409.2,175.3,2721.2,3280.8,0,2266.9,2.0,2264.9,-22.0,-721.4,-251.7,1271.8,0.0,1271.8,4552.6,
12/31/2017,4621.2,393.3,393.3,0,536.3,536.3,0,,494.5,362.6,57.9,60.6,13.4,39.5,0.0,39.5,1463.6,363.2,567.0,-203.8,0,2794.4,2658.8,1227.6,1431.2,1.0,134.6,3157.6,,523.6,269.7,34.5,0.8,218.6,20.9,0,0.0,0.0,,20.9,17.3,0.0,30.6,0,561.8,2019.3,2019.3,0.0,0.0,,563.3,0.0,99.8,237.5,195.4,2582.6,3144.4,0,2277.4,2.0,2275.4,-23.0,-577.8,-199.8,1476.8,0.0,1476.8,4621.2,
03/31/2018,4775.4,353.8,353.8,0,541.6,541.6,0,,567.2,388.1,79.7,86.0,13.4,50.8,,50.8,1513.4,365.3,584.9,-219.6,0,2896.7,2757.5,1308.3,1449.2,1.1,138.1,3262.0,,590.0,284.6,,,305.4,21.1,0,,,,21.1,0.0,,,0,611.1,2034.0,2034.0,,,,562.6,,100.2,248.3,214.1,2596.6,3207.7,0,2284.3,2.0,2282.3,-27.6,-535.7,-153.3,1567.7,0.0,1567.7,4775.4,
06/30/2018,4604.6,337.8,337.8,0,495.5,495.5,0,,555.6,380.5,80.5,81.2,13.4,56.7,,56.5,1445.6,353.9,580.9,-227.0,0,2805.1,2668.5,1276.2,1392.3,1.1,135.5,3159.0,,557.7,310.9,15.1,0.5,231.2,7.9,0,,,,7.9,5.8,,20.2,0,571.4,1903.5,1876.9,26.6,26.6,,560.6,,93.5,259.7,187.2,2464.1,3035.5,0,2280.3,2.0,2278.3,-22.4,-475.4,-213.4,1569.1,0.0,1569.1,4604.6,
09/30/2018,4516.4,269.0,269.0,0,525.0,525.0,0,,550.1,368.1,84.6,84.0,13.4,63.4,,63.4,1407.5,346.9,585.6,-238.7,0,2762.0,2625.2,1268.4,1356.8,1.1,135.7,3108.9,,575.0,320.0,15.5,0.7,238.8,7.9,0,,,,7.9,3.9,,14.2,0,586.8,1747.4,1721.0,26.4,26.4,,558.8,,90.5,279.3,174.8,2306.2,2893.0,0,2282.8,2.0,2280.8,-29.8,-403.2,-226.4,1623.4,0.0,1623.4,4516.4,
12/31/2018,4487.1,221.2,221.2,0,525.4,525.4,0,,523.9,369.2,58.1,83.4,13.2,60.7,0.0,59.4,1331.2,356.6,606.6,-250.0,0,2799.3,2657.9,1289.5,1368.4,1.3,140.1,3155.9,,577.2,340.0,24.3,0.3,212.6,7.9,0,0.0,0.0,,7.9,11.3,0.0,8.7,0,596.4,1664.2,1664.2,0.0,0.0,,550.5,0.0,94.8,265.5,181.5,2214.7,2811.1,0,2284.7,2.0,2282.7,-53.0,-308.7,-247.0,1676.0,0.0,1676.0,4487.1,
03/31/2019,4566.8,263.7,263.7,0,509.9,509.9,0,,555.1,400.5,58.5,82.9,13.2,69.6,,69.6,1398.3,410.8,667.2,-256.4,0,2757.7,2618.6,1283.3,1335.3,1.2,137.9,3168.5,,590.0,342.4,,,247.6,26.2,7,19.2,0.9,18.3,,0.0,,,0,616.2,1665.4,1597.1,68.3,25.2,43.1,547.5,,91.9,263.8,191.8,2212.9,2829.1,0,2291.3,2.0,2289.3,-47.0,-253.4,-253.2,1737.7,0.0,1737.7,4566.8,
06/30/2019,4594.3,317.5,317.5,0,498.6,498.6,0,,557.6,403.4,59.9,81.1,13.2,90.2,0.0,89.4,1463.9,402.4,671.5,-269.1,0,2728.0,2588.7,1284.9,1303.8,1.1,138.2,3130.4,,556.9,331.8,21.5,0.7,202.9,25.5,7,18.5,1.0,17.5,,8.9,,13.2,0,591.3,1663.6,1598.6,65.0,24.9,40.1,554.1,,91.1,272.9,176.9,2217.7,2809.0,0,2290.0,2.1,2287.9,-37.4,-208.4,-258.9,1785.3,0.0,1785.3,4594.3,
