Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1997,267.605988,5.349,5.349,0.0,98.345001,,,,121.000999,,,,,10.787,,,,235.481995,18.243,23.132,-4.889,0.0,,13.881,,,,,13.881,32.124,,70.077003,70.077003,,,,0.0,,,,,,23.452996,,,,23.452996,93.529999,42.007,,,,,17.363001,,,17.363001,59.370001,152.9,0.0,107.676003,,,0,,7.03,114.706003,0.0,114.706003,267.606003,
06/30/1997,310.727997,5.7,5.7,0.0,112.235001,,,,135.436996,,,,,7.001,,,,260.372986,28.041,35.293999,-7.253,0.0,,22.313999,,,,,22.313999,50.354999,,70.903,70.903,,,,0.0,,,,,,41.482002,,,,41.482002,112.385002,55.625,,,,,16.487,,,16.487,72.112,184.497002,0.0,107.791,,,0,,18.440001,126.231001,0.0,126.231001,310.728003,
09/30/1997,498.10199,27.73,27.73,0.0,180.0,,,,177.117004,,,,,8.29,,,,393.136993,68.499001,104.315002,-35.816002,0.0,,36.466,,,,,36.466,104.965001,,96.482002,96.482002,,,,1.385,,,,,,66.785998,,,,66.785998,164.653,67.596001,,,,,17.052999,,,17.052999,84.649,249.302,0.0,198.602997,,,0,,50.196999,248.799996,0.0,248.799996,498.101996,
12/31/1997,567.510986,19.823999,19.823999,0.0,192.470001,,,,235.041,,,,,16.263,,,,463.597992,74.281998,112.922997,-38.640999,0.0,,29.631001,,,,,29.631001,103.912999,,134.955002,134.955002,,,,1.34,,,,,,75.165997,,,,75.165997,211.460999,61.564999,,,,,16.797001,,,16.797001,78.362,289.822999,0.0,208.470993,,,0,,69.217003,277.687996,0.0,277.687996,567.510995,
03/31/1998,587.531006,21.252001,21.252001,0.0,222.968994,,,,224.802002,,,,,12.148,,,,481.17099,73.892998,115.098,-41.205002,0.0,,32.466999,,,,,32.466999,106.359997,,127.339996,127.339996,,,,1.332,,,,,,84.104997,,,,84.104997,212.776993,57.172001,,,,,15.192,,,15.192,72.364001,285.140994,0.0,208.858994,,,0,,93.530998,302.389992,0.0,302.389992,587.530986,
06/30/1998,807.153992,26.955,26.955,0.0,250.207993,,,,275.386993,,,,,20.731001,,,,573.281006,88.233002,137.740005,-49.507,0.0,,145.639999,,,,,145.639999,233.873001,,156.065002,156.065002,,,,1.334,,,,,,100.455002,,,,100.455002,257.854004,214.001999,,,,,15.173,,,15.173,229.174999,487.029003,0.0,209.576996,,,0,,110.547997,320.124993,0.0,320.124993,807.153996,
09/30/1998,803.781006,21.471001,21.471001,0.0,251.194,,,,264.214996,26.316,50.910999,186.988007,,19.863001,,,,556.742981,100.125,155.707993,-55.583,0.0,,146.912994,137.436996,,,,9.475998,247.037994,,119.829002,119.829002,,,,1.276,,,,,,89.973001,,,,89.973001,211.078003,223.423996,,,,,15.773,,,15.773,239.196996,450.274999,0.0,215.945999,,,0,,137.559998,353.505997,0.0,353.505997,803.780996,
12/31/1998,855.888,11.963,11.963,0.0,301.405,301.405,,,253.385,24.304,39.991,189.09,0.0,24.166,,,,590.919,96.174,152.302,-56.128,0.0,,168.795,145.696,145.696,0.0,,23.099,264.969,,131.575,131.575,,,,8.427,,,,,,86.787,,,,86.787,226.789,221.198,,,,,14.602,,,14.602,235.8,462.589,0.0,248.773,,,0,158.347,-13.821,393.299,0.0,393.299,855.888,
03/31/1999,732.548,12.79,12.79,0.0,212.546,212.546,,,225.7,22.757,33.205,169.738,,14.786,,,,465.822,91.84,148.619,-56.779,0.0,,174.886,144.968,144.968,0.0,,29.918,266.726,,90.883,90.883,,,,3.949,,,,,,59.425,,,,59.425,154.257,178.204,,,,,13.19,,,13.19,191.394,345.651,0.0,247.239,,,0,155.583,-15.925,386.897,0.0,386.897,732.548,
06/30/1999,684.087,45.555,45.555,0.0,167.927,167.927,,,189.495,21.582,19.382,148.531,,17.73,,,,420.707,89.95898,147.315,-57.356,0.0,,173.421,144.32,144.32,0.0,,29.101,263.37998,,74.539,74.539,,,,0.321,,,,,,53.389,,,,53.389,128.249,150.0,,,,,12.583,,,12.583,162.583,290.832,0.0,247.387,,,0,155.195,-9.327,393.255,0.0,393.255,684.087,
09/30/1999,741.717,15.579,15.579,0.0,172.849,172.849,,,232.554,18.5,27.231,186.823,0.0,16.267,,,,437.249,108.321,172.537,-64.216,0.0,,196.147,165.136,165.136,0.0,,31.011,304.468,,89.803,89.803,,,,0.022,,,,,,50.422,,,,50.422,140.247,194.608,,,,,14.954,,,14.954,209.562,349.809,0.0,247.39,,,0,157.367,-12.849,391.908,0.0,391.908,741.717,
12/31/1999,1005.715,62.777,48.091,14.686,200.396,200.396,,,348.024,54.958,48.122,244.944,0.0,31.348,,,,642.545,154.844,240.702,-85.858,0.0,,208.326,177.377,177.377,0.0,,30.949,363.17,,106.219,106.219,,,,0.3,0.3,0.0,0.0,,,84.011,,,,84.011,190.53,196.053,196.053,0.0,0.0,,22.757,,,22.757,218.81,409.34,0.0,416.418,,,0,191.88,-11.923,596.375,0.0,596.375,1005.715,
03/31/2000,970.148987,13.822,13.822,0.0,232.854004,232.854004,,,254.154999,19.992001,37.900002,196.263,0.0,23.327999,,,,524.158997,114.765999,184.959,-70.193001,0.0,,331.223999,310.399994,310.399994,0.0,,20.824005,445.989998,,122.087997,122.087997,,,,0.0,0.0,0.0,0.0,,,59.110001,,,,59.110001,181.197998,227.425003,227.425003,0.0,0.0,,10.958,,,10.958,238.383003,419.581001,0.0,403.385986,,,0,162.419006,-15.237,550.567993,0.0,550.567993,970.148994,
06/30/2000,1159.037964,24.091999,24.091999,0.0,241.029999,,,,364.690002,58.493,58.667999,247.529007,0.0,42.782001,,,,672.593994,156.682007,251.707001,-95.025002,0.0,,329.761993,305.640015,305.640015,0.0,,24.121979,486.444,,134.669006,134.669006,,,,0.17,0.17,0.0,0.0,,,87.168989,,,,87.168989,222.007996,183.160004,183.160004,0.0,0.0,,14.401,,,14.401,197.561004,419.568999,0.0,574.640015,,,0,,164.828995,739.469009,0.0,739.469009,1159.038009,
