Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Auto Loans,Student Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Associates,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,46619.355469,1929.800049,733.856018,,,14385.475525,,,,,19285.199219,,,8826.054688,,,,,,,0.0,28111.255859,-616.960022,27494.294922,439.764008,,,,,,,,494.872986,1141.291962,,4505.699219,26284.893555,7383.915039,18900.978516,0.0,30790.591797,11018.717773,,,,,,867.15802,,,,,,,,,,1215.756958,43892.224548,41.390999,759.166992,,,-10.817,,1937.388045,2727.129036,0.0,2727.129036,46619.353584,
06/30/1990,47822.984375,2202.416992,2222.312012,,,13884.831852,,,,,18763.599609,,,9161.30957,,,,,,,0.0,27924.910156,-522.510986,27402.398438,445.756012,,,,,,,,387.869995,1277.399075,,4716.49707,26323.624512,7277.63623,19045.988281,0.0,31040.121094,11867.488281,,,,,,1014.620972,,,,,,,,,,1110.52002,45032.750366,40.103001,760.067993,,,-7.062,,1997.124988,2790.233982,0.0,2790.233982,47822.984348,
09/30/1990,45633.136719,2005.462036,638.271973,,,13540.461159,,,,,18265.300781,,,9610.15625,,,,,,,0.0,27875.455078,-563.312988,27312.142578,446.704987,,,,,,,,370.838989,1319.254997,,4457.694824,26452.66748,7208.97998,19243.6875,0.0,30910.361328,9704.852539,,,,,,1130.41394,,,,,,,,,,1090.843994,42836.471802,39.723,900.515991,,,-0.358,,1856.78195,2796.662941,0.0,2796.662941,45633.134743,
12/31/1990,45533.464844,2560.665039,1764.857056,,,12259.350075,,,,,17417.800781,,,10215.616211,,,,,,,0.0,27633.416016,-784.53302,26848.882996,462.234009,,,,,,,,143.785004,1493.690665,,5379.499023,26663.98584,7817.263184,18846.722656,0.0,32043.484375,8998.303711,,,,,,1055.267944,,,,,,,,,,835.405976,42932.462006,39.636002,820.450012,,,-0.041,,1740.957016,2601.00203,0.0,2601.00203,45533.464036,
03/31/1991,44274.875,1868.396973,845.270996,,,11563.002983,,,,,16797.082031,,,11765.725586,,,,,,,0.0,28562.808594,-801.85498,27760.953125,464.90799,,,,,,,,127.911003,1644.431931,,4580.421875,27851.351562,8446.113281,19405.238281,0.0,32431.773438,6935.146973,,,,,,1400.047974,,,,,,,,,,853.88903,41620.857414,39.282001,794.052979,,,-0.156,,1820.838983,2654.017963,0.0,2654.017963,44274.875378,
06/30/1991,43330.136719,1924.926025,943.945007,,,11725.045227,,,,,15932.47168,,,11213.095703,,,,,,,0.0,27145.568359,-809.916016,26335.652344,461.882996,,,,,,,,100.136002,1838.549118,,4748.899902,26802.762695,8555.381836,18247.380859,0.0,31551.662109,6836.344238,,,,,,1437.583008,,,,,,,,,,747.125015,40572.714371,38.626999,933.255981,,,-0.17,,1785.710039,2757.423019,0.0,2757.423019,43330.13739,
09/30/1991,42284.242188,2031.468018,960.030029,,,12693.188881,,,,,15171.389648,,,10173.076172,,,,,,,0.0,25344.466797,-823.585999,24520.880859,431.471985,,,,,,,,88.647003,1558.555412,,4896.012207,24878.362305,8254.282227,16624.080078,0.0,29774.373047,7401.86084,,,,,,1464.293945,,,,,,,,,,822.733002,39463.260834,37.895,940.565002,,,-0.629,,1843.14902,2820.980022,0.0,2820.980022,42284.240856,
12/31/1991,44891.6875,2100.98291,1573.295044,,,14467.094818,,,,,14455.55957,,,10987.507812,,,,,,,0.0,25443.068359,-796.982971,24646.085388,429.726013,,,,,,,,81.929001,1592.574326,,5095.040039,24924.361328,9062.505859,15861.855469,0.0,30019.400391,9703.780273,,,,,,1070.050049,,,,,,,,,,781.665024,41574.895737,37.166,1263.141968,,,-0.007,,2016.491009,3316.791977,0.0,3316.791977,44891.687714,
03/31/1992,43818.3125,1760.264038,501.325012,,,15261.067383,,,,,14174.717773,,,10653.842773,,,,,,,0.0,24828.560547,-794.921997,24033.638672,448.970001,,,,,,,,123.275002,1689.772392,,4781.532227,24372.788086,9422.210938,14950.577148,0.0,29154.320312,9109.600586,,,,,,1345.352051,,,,,,,,,,797.801003,40407.073952,36.562,1284.267944,,,-0.567,,2090.974959,3411.237904,0.0,3411.237904,43818.311855,
06/30/1992,45454.585938,1917.026001,195.751999,,,17576.003174,,,,,14611.741211,,,9954.959961,,,,,,,0.0,24566.701172,-837.127991,23729.572266,484.627991,,,,,,,,107.600998,1444.00351,,5141.173828,22953.552734,9443.756836,13509.795898,0.0,28094.726562,11546.05957,,,,,,1330.784058,,,,,,,,,,982.853012,41954.423203,35.384998,1302.447998,,,-0.128,,2162.457102,3500.162098,0.0,3500.162098,45454.5853,
