Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1991,240.550995,21.826,21.826,0.0,43.877998,,,78.355003,,,,,5.137,,,,,,149.195999,72.644997,95.75,-23.105,0.0,18.709999,,,,18.709999,91.354996,,39.550999,39.550999,,,,0.1,,,,,,19.999003,,,,19.999003,59.650002,0.1,,,,,12.875,,,,,12.875,12.975,72.625002,0.0,132.199997,,,0.0,,35.726002,167.925999,0.0,167.925999,240.551,
03/31/1992,297.858002,0.396,0.396,0.0,49.715,,,98.971001,,,,,5.07,,,,,,154.151993,106.624001,132.705002,-26.080999,0.0,37.082001,,,,37.082001,143.706001,,39.342999,39.342999,,,,1.234,,,,,,24.963002,,,,24.963002,65.540001,40.834,,,,,15.309,,,,,15.309,56.143,121.683001,0.0,132.233994,,,0.0,,43.941002,176.174995,0.0,176.174995,297.857996,
06/30/1992,316.946014,0.538,0.538,0.0,50.459999,,,106.503998,,,,,6.092,,,,,,163.593994,117.148003,145.884995,-28.737,0.0,36.203999,,,,36.203999,153.352001,,41.896,41.896,,,,0.871,,,,,,29.697996,,,,29.697996,72.464996,45.999001,,,,,14.744,,,,,14.744,60.743001,133.207997,0.0,132.285004,,,0.0,,51.452999,183.738003,0.0,183.738003,316.946,
09/30/1992,346.903992,0.655,0.655,0.0,74.432999,,,105.656998,,,,,6.661,,,,,,187.406006,123.760002,155.554001,-31.794001,0.0,35.737999,,,,35.737999,159.498001,,45.525002,45.525002,,,,0.871,,,,,,30.551997,,,,30.551997,76.947998,60.800999,,,,,14.97,,,,,14.97,75.770999,152.718997,0.0,132.330002,,,0.0,,61.855,194.185001,0.0,194.185001,346.903998,
12/31/1992,367.841003,1.807,1.807,0.0,65.771004,,,117.748001,,,,,10.481,,,,,,195.807007,136.813004,171.677994,-34.865002,0.0,35.221001,,,,35.221001,172.034004,,55.952999,55.952999,,,,0.871,,,,,,24.048003,,,,24.048003,80.872002,60.464001,,,,,15.194,,,,,15.194,75.658001,156.530003,0.0,137.679993,,,0.0,,73.630997,211.310989,0.0,211.310989,367.840992,
03/31/1993,389.67099,0.075,0.075,0.0,67.287003,,,126.295998,,,,,8.971,,,,,,202.628998,152.423004,190.723999,-38.300999,0.0,34.618999,,,,34.618999,187.042004,,48.161999,48.161999,,,,0.871,,,,,,24.345999,,,,24.345999,73.378998,77.322998,,,,,15.479,,,,,15.479,92.801998,166.180996,0.0,138.608002,,,0.0,,84.882004,223.490005,0.0,223.490005,389.671001,
06/30/1993,413.716003,0.208,0.208,0.0,70.459999,,,128.421005,,,,,8.719,,,,,,207.807999,171.270004,213.270996,-42.000999,0.0,34.638,,,,34.638,205.908005,,56.335999,56.335999,,,,0.771,,,,,,28.785999,,,,28.785999,85.892998,75.232002,,,,,17.6,,,,,17.6,92.832003,178.725,0.0,138.921997,,,0.0,,96.069,234.990997,0.0,234.990997,413.715998,
09/30/1993,456.815002,0.352,0.352,0.0,88.699997,,,137.065002,,,,,10.059,,,,,,236.175995,186.466995,232.550995,-46.084,0.0,34.172001,,,,34.172001,220.638996,,71.273003,71.273003,,,,0.773,,,,,,39.178996,,,,39.178996,111.224998,77.022003,,,,,18.82,,,,,18.82,95.842003,207.067001,0.0,139.029999,,,0.0,,110.718002,249.748001,0.0,249.748001,456.815002,
12/31/1993,454.604004,0.469,0.469,0.0,77.841003,,,137.714005,,,,,8.433,,,,,,224.457001,196.410995,245.917007,-49.506001,0.0,33.736,,,,33.736,230.146996,,48.269001,48.269001,,,,0.773,,,,,,29.341002,,,,29.341002,78.383003,89.686996,,,,,19.799999,,,,,19.799999,109.486996,187.869999,0.0,140.725006,,,0.0,,126.009003,266.734009,0.0,266.734009,454.604008,
03/31/1994,463.647003,0.198,0.198,0.0,74.503998,,,139.238998,,,,,10.977,,,,,,224.917999,205.412994,259.268005,-53.855,0.0,33.316002,,,,33.316002,238.728996,,56.441002,56.441002,,,,0.773,,,,,,28.492999,,,,28.492999,85.707001,74.544998,,,,,20.48,,,,,20.48,95.024998,180.731998,0.0,143.636002,,,0.0,,139.279007,282.915009,0.0,282.915009,463.647007,
06/30/1994,474.989014,2.157,2.157,0.0,76.398003,,,135.826996,,,,,10.973,,,,,,225.354996,216.276001,274.252014,-57.976002,0.0,33.358002,,,,33.358002,249.634003,,52.898998,52.898998,,,,0.3,,,,,,32.322005,,,,32.322005,85.521004,72.93,,,,,21.030001,,,,,21.030001,93.960001,179.481005,0.0,144.679993,,,0.0,,150.828003,295.507996,0.0,295.507996,474.989,
09/30/1994,506.536987,0.159,0.159,0.0,94.125999,,,143.817001,,,,,12.311,,,,,,250.412994,223.188995,286.036011,-62.847,0.0,32.935001,,,,32.935001,256.123997,,57.365002,57.365002,,,,0.3,,,,,,38.848998,,,,38.848998,96.514,77.797997,,,,,21.93,,,,,21.93,99.727997,196.241997,0.0,144.697998,,,0.0,,165.597,310.294998,0.0,310.294998,506.536995,
12/31/1994,507.468994,0.576,0.576,0.0,85.735001,,,147.994003,,,,,12.115,,,,,,246.419998,228.485992,296.136993,-67.651001,0.0,32.563,,,,32.563,261.048992,,50.807999,50.807999,,,,0.3,,,,,,27.935001,,,,27.935001,79.042999,82.431,,,,,22.83,,,,,22.83,105.261,184.303999,0.0,144.716003,,,0.0,,178.449005,323.165009,0.0,323.165009,507.469007,
