Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2001,178.5,70.599998,30.0,-63.799999,,,-63.799999,141.699997,,,141.699997,,-99.199997,-11.2,0.1,,,-11.3,,,0.0,0.0,0.0,,,,,-87.999997,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,79.300003,,,
06/30/2001,82.599998,72.400002,31.200001,0.9,,,0.9,-21.9,,,-21.9,,-126.300003,-20.1,0.8,,,-20.9,,,0.0,0.0,0.0,,,,,-106.200003,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,-43.700001,,,
09/30/2001,511.8,111.5,90.2,80.1,,54.9,25.2,230.0,5.8,,224.2,,-350.5,-51.3,2.1,,,-53.4,,,,,,,,,,-299.2,,,,,,,,,,,,161.3,,,
12/31/2001,142.8,87.7,30.3,-13.9,,,-13.9,38.7,,,38.7,,-147.6,-15.0,2.0,,,-17.0,,,0.0,0.0,0.0,,,,,-132.6,46.6,0.0,0.0,,,,1890.4,1890.4,0.0,-1843.8,,41.8,,,
03/31/2002,183.3,99.8,28.5,83.7,,13.6,70.1,-28.7,-72.6,,43.9,,-133.5,-27.0,0.9,,,-27.9,,,,,,,,,,-106.5,0.1,,,,,,,,,0.1,,49.9,,,
06/30/2002,60.1,106.2,27.4,-14.5,,16.3,-30.8,-59.0,4.8,,-63.8,,186.7,-14.4,0.6,,,-15.0,,,,,,,,,,201.1,-37.4,,,,,,-37.5,,-37.5,0.1,,209.4,,,
09/30/2002,380.5,171.2,45.1,-87.5,,20.6,-108.1,251.7,37.2,,214.5,,-1014.0,-34.7,4.1,,,-38.8,,,,,,,,,,-979.3,879.8,,938.5,,,,-54.6,17.1,-71.7,-4.1,,246.3,,,
12/31/2002,367.200012,171.899994,56.0,67.400002,,,67.400002,71.900002,,,71.900002,,-451.100006,-33.499998,8.1,,,-41.599998,,,0.0,0.0,0.0,,,,,-417.600008,-133.2,0.0,0.0,,,,-133.2,13.8,-147.0,0.0,,-217.100006,,,
03/31/2003,249.0,191.7,56.4,75.6,,62.0,13.6,-74.7,-21.4,,-53.3,,-401.6,-13.8,2.9,,,-16.7,,,,,,,,,,-387.8,-78.4,,,,,,-78.4,12.6,-91.0,,,-231.0,,,
06/30/2003,145.2,177.3,62.1,83.1,,101.0,-17.9,-177.3,-136.7,,-40.6,,-135.3,-36.0,1.3,,,-37.3,,,0.0,0.0,0.0,,,,,-99.3,2.1,0.0,0.0,,,,2.1,18.9,-16.8,0.0,,12.0,,,
