Date,Revenue,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,631.099976,0.0,583.299988,0,47.799999,-408.200012,0.0,0.0,0.0,408.200012,,,222.899963,-148.100006,63.299999,37.5,47.299999,,74.800003,-10.7,,,0.0,,11.2,11.2,,0.0,-0.5,64.100003,-20.299999,43.799999,0.0,,,43.800004,0,43.799999,-0.3,,43.499999,43.499999,,58.400002,0.745,0.745,0.745,58.400002,0.745,0.745,0.745,
06/30/1990,269.200012,0.0,227.100006,0,42.099998,-128.699997,0.0,0.0,0.0,128.699997,,,140.500015,-105.199997,61.700001,21.6,21.9,,35.299999,-5.5,,,0.0,,9.0,9.0,,0.0,-3.5,29.799999,-9.4,20.4,0.0,,,20.4,0,20.4,-0.4,,20.0,20.0,,58.0,0.345,0.345,0.345,58.0,0.345,0.345,0.345,
09/30/1990,172.5,0.0,129.199997,0,43.299999,-63.299999,0.0,0.0,0.0,63.299999,,,109.200001,-87.900002,59.5,17.9,10.5,,21.299999,-6.7,,,0.0,,9.6,9.6,,0.0,-2.9,14.599999,-4.5,10.1,0.0,,,10.099999,0,10.1,-0.3,,9.8,9.8,,58.0,0.17,0.17,0.17,58.0,0.17,0.17,0.17,
12/31/1990,463.299988,0.0,412.600006,0,50.700001,-274.5,0.0,0.0,0.0,274.5,,,188.799988,-126.300003,65.5,34.900002,25.9,,62.5,-9.5,,,0.0,,12.3,12.3,,0.0,-2.8,53.0,-13.8,39.200001,0.0,,,39.2,0,39.200001,-0.5,,38.700001,38.700001,,58.0,0.67,0.67,0.67,58.0,0.67,0.67,0.67,
03/31/1991,643.700012,0.0,599.0,0,44.700001,-412.700012,0.0,0.0,0.0,412.700012,,,231.0,-151.0,61.700001,40.700001,48.599998,,80.0,-10.5,,,0.0,,11.2,11.2,,0.0,-0.7,69.5,-22.299999,47.200001,0.0,,,47.200001,0,47.200001,-0.3,,46.900001,46.900001,,58.0,0.81,0.81,0.81,58.0,0.81,0.81,0.81,
06/30/1991,233.100006,0.0,190.5,0,42.599998,-100.400002,0.0,0.0,0.0,100.400002,,,132.700005,-103.5,63.0,21.799999,18.700001,,29.200001,-6.8,,,0.0,,9.4,9.4,,0.0,-2.6,22.400001,-6.9,15.5,0.0,,,15.500001,0,15.5,-0.3,,15.2,15.2,,58.0,0.26,0.26,0.26,58.0,0.26,0.26,0.26,
09/30/1991,171.699997,0.0,129.600006,0,42.099998,-61.5,0.0,0.0,0.0,61.5,,,110.199997,-92.099998,63.0,18.6,10.5,,18.1,-6.2,,,0.0,,9.7,9.7,,0.0,-3.5,11.900001,-3.6,8.3,0.0,,,8.300001,0,8.3,-0.3,,8.0,8.0,,58.0,0.14,0.14,0.14,58.0,0.14,0.14,0.14,
12/31/1991,467.600006,0.0,419.200012,0,48.400002,-272.799988,0.0,0.0,0.0,272.799988,,,194.800018,-132.199997,67.300003,36.400002,28.5,,62.599998,-8.7,,,0.0,,11.9,11.9,,0.0,-3.2,53.899999,-16.299999,37.599998,0.0,,,37.6,0,37.599998,-0.4,,37.199998,37.199998,,57.200001,0.645,0.645,0.645,57.200001,0.645,0.645,0.645,
03/31/1992,563.799988,0.0,535.200012,0,28.6,-359.700012,0.0,0.0,0.0,359.700012,,,204.099976,-134.699997,56.900002,34.900002,42.900002,,69.400002,-12.1,,,0.0,,11.5,11.5,,0.0,0.6,57.300002,-19.9,38.599998,-1.3,,,38.700002,0,39.900002,-0.3,,39.600002,39.600002,,56.599998,0.7,0.675,,56.599998,0.7,0.675,0.675,
06/30/1992,244.5,0.0,216.100006,0,28.4,-118.800003,0.0,0.0,0.0,118.800003,,,125.699997,-92.099998,54.900002,17.4,19.799999,,33.599998,-10.5,,,0.0,,9.7,9.7,,0.0,0.8,23.099999,-8.6,16.1,-1.4,,,15.899998,0,17.5,-0.3,,17.2,17.2,,55.799999,0.31,0.285,,55.799999,0.31,0.285,0.285,
09/30/1992,171.5,0.0,141.699997,0,29.799999,-72.0,0.0,0.0,0.0,72.0,,,99.5,-77.0,53.900002,12.4,10.7,,22.5,-11.9,,,0.0,,10.4,10.4,,0.0,1.5,10.6,-4.6,9.0,-2.5,,,8.5,0,11.5,-0.3,,11.2,11.2,,55.599998,0.2,0.155,,55.599998,0.2,0.155,0.155,
12/31/1992,631.799988,0.0,532.400024,0,99.400002,-376.600006,0.0,0.0,0.0,376.600006,,,255.199982,-182.800003,86.699997,59.0,37.099998,,72.400002,-13.7,,,0.0,,12.6,12.6,,0.0,1.1,58.700001,-16.299999,44.599998,5.2,,,37.200002,0,39.400002,-0.3,,39.100002,39.100002,,56.0,0.7,0.795,,56.0,0.7,0.795,0.795,
03/31/1993,672.599976,0.0,640.299988,0,32.299999,-443.0,0.0,0.0,0.0,443.0,,,229.599976,-149.699997,61.799999,36.700001,51.200001,,79.900002,-11.3,,,0.0,,11.5,11.5,,0.0,-0.2,68.600002,-22.200001,46.400002,-2.3,,,48.700001,0,48.700001,-0.2,,48.500001,48.500001,,55.799999,0.87,0.83,0.83,55.799999,0.87,0.83,0.83,
06/30/1993,278.100006,0.0,243.600006,0,34.5,-142.100006,0.0,0.0,0.0,142.100006,,,136.0,-102.0,62.799999,16.9,22.299999,,34.0,-9.2,,,0.0,,10.0,10.0,,0.0,-0.8,24.8,-8.1,16.700001,0.0,,,16.7,0,16.700001,-0.3,,16.400001,16.400001,,55.700001,0.29,0.29,0.29,55.700001,0.29,0.29,0.29,
09/30/1993,185.5,0.0,150.300003,0,35.200001,-78.099998,0.0,0.0,0.0,78.099998,,,107.400002,-86.300003,62.200001,12.5,11.6,,21.1,-6.3,,,0.0,,9.1,9.1,,0.0,-2.8,14.8,-5.6,9.2,0.0,,,9.2,0,9.2,-0.3,,8.9,8.9,,54.900002,0.16,0.16,0.16,54.900002,0.16,0.16,0.16,
12/31/1993,537.700012,0.0,499.100006,0,38.599998,-343.899994,0.0,0.0,0.0,343.899994,,,193.800018,-130.699997,69.300003,30.4,31.0,,63.099998,-7.7,,,0.0,,10.8,10.8,,0.0,-3.1,55.399998,-18.299999,37.099998,0.0,,,37.099999,0,37.099998,-0.2,,36.899998,36.899998,,54.0,0.68,0.68,0.68,54.0,0.68,0.68,0.68,
03/31/1994,780.299988,0.0,780.299988,0,,-527.5,0.0,0.0,0.0,527.5,,,252.799988,-167.600006,68.300003,40.5,58.799999,,85.199997,-8.7,,,0.0,,10.0,10.0,,0.0,-1.3,76.499997,-25.200001,51.299999,0.0,,,51.299996,0,51.299999,-0.1,,51.199999,51.199999,,53.700001,0.95,0.95,0.95,53.700001,0.95,0.95,0.95,
06/30/1994,267.600006,0.0,267.600006,0,,-129.800003,0.0,0.0,0.0,129.800003,,,137.800003,-106.900002,67.099998,18.0,21.799999,,30.9,-7.1,,,0.0,,8.8,8.8,,0.0,-1.7,23.799999,-7.9,15.9,0.0,,,15.899999,0,15.9,-0.1,,15.8,15.8,,52.700001,0.3,0.3,0.3,52.700001,0.3,0.3,0.3,
09/30/1994,166.0,0.0,166.0,0,,-57.700001,0.0,0.0,0.0,57.700001,,,108.299999,-90.099998,66.0,13.3,10.8,,18.200001,-8.3,,,0.0,,9.5,9.5,,0.0,-1.2,9.900001,-2.4,7.5,0.0,,,7.500001,0,7.5,-0.1,,7.4,7.4,,52.200001,0.14,0.14,0.14,52.200001,0.14,0.14,0.14,
12/31/1994,395.5,0.0,395.5,0,,-209.899994,0.0,0.0,0.0,209.899994,,,185.600006,-126.199997,71.300003,31.299999,23.6,,59.400002,-9.0,,,0.0,,11.8,11.8,,0.0,-2.8,50.400001,-15.6,34.799999,0.0,,,34.800001,0,34.799999,-0.3,,34.499999,34.499999,,51.900002,0.67,0.67,0.67,51.900002,0.67,0.67,0.67,
03/31/1995,609.799988,0.0,609.799988,0,,-375.100006,0.0,0.0,0.0,375.100006,,,234.699982,-160.600006,68.5,44.700001,47.400002,,74.099998,-10.9,,,0.0,,11.6,11.6,,0.0,-0.7,63.199998,-22.299999,40.900002,0.0,,,40.899999,0,40.900002,-0.1,,40.800002,40.800002,,51.200001,0.8,0.8,0.8,51.200001,0.8,0.8,0.8,
06/30/1995,246.899994,0.0,246.899994,0,,-106.0,0.0,0.0,0.0,106.0,,,140.899994,-106.800003,67.800003,19.200001,19.799999,,34.099998,-7.5,,,0.0,,9.3,9.3,,0.0,-1.8,26.599998,-9.5,17.1,0.0,,,17.099998,0,17.1,-0.1,,17.0,17.0,,50.700001,0.34,0.34,0.34,50.700001,0.34,0.34,0.34,
09/30/1995,157.100006,0.0,157.100006,0,,-46.299999,0.0,0.0,0.0,46.299999,,,110.800007,-93.0,67.900002,14.6,10.5,,17.799999,-8.5,,,0.0,,9.4,9.4,,0.0,-0.9,9.3,-3.2,6.1,0.0,,,6.1,0,6.1,-0.1,,6.0,6.0,,50.400002,0.12,0.12,0.12,50.400002,0.12,0.12,0.12,
