Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1996,4940,767,695,72.0,1376,,,559,,,,,272,,,,2974,922,,,0.0,1044,,,,,,1044,1966,,360,360,,,,42,,,,,,1802,,,1802,2204,90,,,,,1501,,,,1501,1591,3795,0,,,,0,,836,836,309,1145,4940,
12/31/1996,5280,1203,1163,40.0,1349,,,439,142.0,,297.0,,327,,,,3318,930,2419.0,-1489.0,0.0,1032,,,,,,1032,1962,,352,352,,,,28,,,,,,1587,,,1587,1967,48,,,,,1580,,,,1580,1628,3595,0,1395.0,,,0,,1,1396,289,1685,5280,
03/31/1997,5167,1133,856,277.0,1336,,,535,,,,,257,,,,3261,259,,,0.0,1647,,,,,,1647,1906,,314,314,,,,44,,,,,,1584,,,1584,1942,44,,,,,1578,,,,1578,1622,3564,0,1395.0,,,0,,-74,1321,282,1603,5167,
06/30/1997,5285,1156,839,317.0,1446,,,517,,,,,244,,,,3363,885,,,0.0,1037,,,,,,1037,1922,,303,303,,,,56,,,,,,1581,,,1581,1940,36,,,,,1581,,,,1581,1617,3557,0,1413.0,,,0,,17,1430,298,1728,5285,
09/30/1997,5125,1027,773,254.0,1363,,,540,,,,,236,,,,3166,873,2265.0,-1392.0,0.0,1086,,,,,,1086,1959,,300,300,,,,69,,,,,,1485,,,1485,1854,36,,,,,1598,,,,1598,1634,3488,0,1424.0,,,0,,-66,1358,279,1637,5125,
12/31/1997,5293,1129,886,243.0,1308,,,489,,,,,345,,,,3271,858,2204.0,-1346.0,0.0,1164,,,,,,1164,2022,,378,378,,,,59,,,,,,1527,,,1527,1964,35,,,,,1677,,,,1677,1712,3676,0,1439.0,,,0,,-86,1353,264,1617,5293,
03/31/1998,5239,1106,1106,0.0,1355,,,545,,,,,212,,,,3218,846,2177.0,-1331.0,0.0,1175,,,,,,1175,2021,,336,336,,,,71,,,,,,1484,,,1484,1891,35,,,,,1703,,,,1703,1738,3629,0,1456.0,,,0,,-95,1361,249,1610,5239,
06/30/1998,5022,770,770,0.0,1472,,,451,,,,,207,,,,2900,867,2185.0,-1318.0,0.0,1255,,,,,,1255,2122,,304,304,,,,69,,,,,,1522,,,1522,1895,33,,,,,1715,,,,1715,1748,3643,0,1459.0,,,0,,-121,1338,41,1379,5022,
09/30/1998,4825,536,536,0.0,1485,,,458,,82.0,376.0,,168,,,,2647,865,2215.0,-1351.0,0.0,1313,,,,,,1313,2178,,293,293,,,,75,,,,,,1484,,,1484,1852,33,,,,,1629,,,,1629,1662,3514,0,1366.0,,,0,,-99,1267,44,1311,4825,
12/31/1998,4892,514,488,26.0,1376,,,384,,,,,358,,,,2632,872,2215.0,-1343.0,0.0,1388,,,,,,1388,2260,,376,376,,,,50,,,,,,1274,,,1274,1700,33,,,,,1668,,,,1668,1701,3401,0,1296.0,,,0,,151,1447,44,1491,4892,
03/31/1999,4799,595,595,0.0,1357,,,399,,62.0,337.0,,158,,,,2509,866,2192.0,-1326.0,0.0,1424,,,,,,1424,2290,,303,303,,,,63,63.0,0.0,0.0,,,1249,,,1249,1615,33,33.0,0.0,0.0,,1636,,,,1636,1669,3284,0,1465.0,,,0,,6,1471,44,1515,4799,
06/30/1999,4720,576,441,135.0,1354,,,394,,60.0,334.0,,145,,,,2469,844,2166.0,-1322.0,0.0,1407,,,,,,1407,2251,,327,327,,,,78,78.0,0.0,0.0,,,1248,,,1248,1653,32,32.0,0.0,0.0,,1590,,,,1590,1622,3275,0,,,,0,,1402,1402,43,1445,4720,
09/30/1999,4783,595,595,0.0,1291,,,392,,66.0,326.0,,157,,,,2435,863,2133.0,-1270.0,0.0,1485,,,,,,1485,2348,,321,321,,,,63,63.0,0.0,0.0,,,1254,,,1254,1638,32,32.0,0.0,0.0,,1604,,,,1604,1636,3274,0,1427.0,,,0,,34,1461,48,1509,4783,
12/31/1999,4895,763,763,0.0,1197,1197.0,,299,,73.0,298.0,-72.0,282,,,,2541,793,2011.0,-1218.0,0.0,1561,118.0,118.0,0.0,,,1443,2354,,378,378,,,,37,37.0,0.0,0.0,,,1247,,,1247,1662,40,40.0,0.0,0.0,,1548,,,,1548,1588,3250,0,1082.0,,,0,466.0,48,1596,49,1645,4895,
03/31/2000,4794,670,670,0.0,1132,,,292,,61.0,231.0,0.0,340,,,,2434,777,1996.0,-1219.0,0.0,1583,0.0,0.0,0.0,,,1583,2360,,295,295,,,,39,39.0,0.0,0.0,,,1265,,,1265,1599,39,39.0,0.0,0.0,,1512,,,,1512,1551,3150,0,1102.0,,,0,,495,1597,47,1644,4794,
06/30/2000,4777,561,561,0.0,1173,,,299,,62.0,237.0,0.0,298,,,,2331,754,1966.0,-1212.0,0.0,1692,0.0,0.0,0.0,,,1692,2446,,335,335,,,,37,37.0,0.0,0.0,,,1142,,,1142,1514,38,38.0,0.0,0.0,,1498,,,,1498,1536,3050,0,1174.0,,,0,,506,1680,47,1727,4777,
09/30/2000,4815,621,621,0.0,1152,,,311,,66.0,245.0,0.0,281,,,,2365,719,1926.0,-1207.0,0.0,1731,0.0,0.0,0.0,,,1731,2450,,388,388,,,,45,45.0,0.0,0.0,,,1108,,,1108,1541,38,38.0,0.0,0.0,,1487,,,,1487,1525,3066,0,1163.0,,,0,,537,1700,49,1749,4815,
12/31/2000,5106,357,357,0.0,1338,1338.0,,288,,83.0,262.0,-57.0,251,,,,2234,742,1851.0,-1109.0,0.0,2130,532.0,532.0,0.0,,,1598,2872,,521,521,,,,96,96.0,0.0,0.0,,,1219,,,1219,1836,11,11.0,0.0,0.0,,1474,,,,1474,1485,3321,0,1157.0,,,0,644.0,-43,1758,27,1785,5106,
03/31/2001,4796,325,305,20.0,1092,1092.0,,329,,79.0,250.0,0.0,250,,,,1996,730,,,0.0,2070,450.0,450.0,0.0,,,1620,2800,,406,406,,,,123,123.0,0.0,0.0,,,1054,,,1054,1583,10,10.0,0.0,0.0,,1311,,,,1311,1321,2904,0,1156.0,,,0,,715,1871,21,1892,4796,
06/30/2001,4777,327,327,0.0,1060,1060.0,,309,,78.0,231.0,0.0,247,,,,1943,705,,,0.0,2129,450.0,450.0,0.0,,,1679,2834,,386,386,,,,131,131.0,0.0,0.0,,,955,,,955,1472,12,12.0,0.0,0.0,,1301,,,,1301,1313,2785,0,1208.0,,,0,,760,1968,24,1992,4777,
09/30/2001,4838,284,284,0.0,1064,1064.0,,312,,83.0,229.0,0.0,251,,,,1911,688,,,0.0,2239,450.0,450.0,0.0,,,1789,2927,,414,414,,,,135,135.0,0.0,0.0,,,980,,,980,1529,11,11.0,0.0,0.0,,1332,,,,1332,1343,2872,0,1185.0,,,0,,758,1943,23,1966,4838,
12/31/2001,4855,336,336,0.0,1126,1126.0,,280,,82.0,198.0,0.0,221,,,,1963,629,1702.0,-1073.0,0.0,2263,450.0,450.0,0.0,,,1813,2892,,362,362,,,,138,138.0,0.0,0.0,,,1018,,,1018,1518,10,10.0,0.0,0.0,,1278,,,,1278,1288,2806,0,1236.0,,,0,861.0,-70,2027,22,2049,4855,
03/31/2002,4827,379,378,1.0,1081,1081.0,,282,,85.0,197.0,0.0,205,,,,1947,608,,,0.0,2272,475.0,452.0,23.0,,,1797,2880,,334,334,,,,106,106.0,0.0,0.0,,,1065,,,1065,1505,8,8.0,0.0,0.0,,1258,,,,1258,1266,2771,0,1258.0,,,0,,780,2038,18,2056,4827,
06/30/2002,4866,569,569,0.0,1130,1130.0,,296,,78.0,218.0,0.0,213,,,,2208,612,,,0.0,2046,100.0,100.0,0.0,,,1946,2658,,385,385,,,,12,12.0,0.0,0.0,,,1118,,,1118,1515,306,306.0,0.0,0.0,,1297,,,,1297,1603,3118,0,1243.0,,,0,,483,1726,22,1748,4866,
09/30/2002,4835,461,461,0.0,1196,1196.0,,311,,77.0,234.0,0.0,194,,,,2162,591,,,0.0,2082,100.0,100.0,0.0,,,1982,2673,,367,367,,,,22,22.0,0.0,0.0,,,1055,,,1055,1444,306,306.0,0.0,0.0,,1302,,,,1302,1608,3052,0,1218.0,,,0,,545,1763,20,1783,4835,
