Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,302,51,,,,,,,,,
06/30/1990,281,5,,,,,,,,,
09/30/1990,325,-15,,,,,,,,,
12/31/1990,504,-610,,,,,,,,,
03/31/1991,-71,-55,0.0,165.0,-181.0,,,,,,
06/30/1991,22,-56,0.0,131.0,-53.0,,,,,,
09/30/1991,-290,-25,0.0,-298.0,33.0,,,,,,
12/31/1991,-117,-40,0.0,-131.0,54.0,,,,,,
03/31/1992,-12,4,0.0,30.0,-46.0,,,,,,
06/30/1992,83,6,0.0,-15.0,92.0,,,,,,
09/30/1992,28,5,0.0,-22.0,45.0,,,,,,
12/31/1992,-2,13,0.0,-73.0,58.0,,,,-2.0,,
03/31/1993,119,61,0.0,42.0,16.0,,,,,,
06/30/1993,-39,25,0.0,-42.0,-22.0,,,,,,
09/30/1993,-49,20,0.0,-91.0,22.0,,,,,,
12/31/1993,56,59,0.0,-47.0,44.0,,,,56.0,,
03/31/1994,15,23,,54.0,-62.0,,,,15.0,,
06/30/1994,-18,75,,-87.0,-6.0,,,,,,
09/30/1994,43,75,,-51.0,19.0,,,,,,
12/31/1994,100,65,,10.0,25.0,,,,100.0,,
04/01/1995,55,49,,18.0,-12.0,,-6.0,,,,
06/30/1995,101,46,,96.0,-41.0,,-7.0,,,,
09/30/1995,159,49,,240.0,-130.0,,-9.0,,,,
12/31/1995,84,65,,-65.0,84.0,-10.0,-10.0,,74.0,,
03/31/1996,54,57,,49.0,-52.0,,-9.0,,,,
06/30/1996,95,67,,103.0,-75.0,,-17.0,,,,
09/30/1996,117,35,,107.0,-25.0,,-4.0,,,,
12/31/1996,64,102,,-23.0,-15.0,,-29.0,,,,
03/31/1997,8,45,8.0,-2.0,-43.0,,-31.0,,,,
06/30/1997,69,47,11.0,144.0,-133.0,,-21.0,,,,
09/30/1997,51,48,11.0,-61.0,53.0,,-14.0,,,,
