Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1994,72.981003,,,-27.354,,45.627003,,-34.569,,,,11.058,3.888,,0.436,,,0.0,,-4.324,14.946,-5.382,9.564,0.0,,,9.564,0.313,9.877,0.0,,9.877,9.877,,104.18,0.095,0.095,,104.18,0.095,0.095,0.095,
06/30/1994,74.994003,,,-30.488001,,44.506002,,-32.424999,,,,12.081,2.015,,0.407,,,0.0,,-2.422,14.096,-5.29,8.806,0.0,,,8.806,0.304,9.11,0.0,,9.11,9.11,,103.720001,0.0925,0.0925,,103.720001,0.0925,0.0925,0.0925,
09/30/1994,79.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.006,0.0,,9.006,9.006,,105.496002,0.095,0.095,,114.279999,0.0875,0.0875,0.0875,
12/31/1994,83.210999,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.258,0.0,,-10.258,-10.258,,105.307999,0.0225,0.0225,,105.307999,0.0225,0.0225,0.0225,
03/31/1995,87.158997,,,-33.356998,,53.801998,,-37.888,,,,15.914,0.45,,0.047,,,0.0,,-0.497,16.364,-4.731,11.633,0.0,,,11.633,0.365,11.998,0.0,,11.998,11.998,,111.779999,0.1075,0.1075,,111.779999,0.1075,0.1075,0.1075,
06/30/1995,92.358002,,,-37.789001,,54.569,,-37.508999,,,,17.059999,0.069,,0.173,,,0.0,,-0.242,17.128999,-4.663,12.466,0.0,,,12.465999,0.501,12.967,0.0,,12.967,12.967,,113.272003,0.115,0.115,,113.272003,0.115,0.115,0.115,
09/30/1995,94.484001,,,-35.145,,59.339001,,-39.131001,,,,20.208,1.433,,0.512,,,0.0,,-1.945,21.641,-6.291,15.35,0.0,,,15.35,0.742,16.091999,0.0,,16.091999,16.091999,,121.115997,0.1325,0.1325,,121.115997,0.1325,0.1325,0.1325,
12/31/1995,104.561996,,,-38.810001,,65.751995,,-45.546001,,,,20.205999,-11.619,,0.337,,,0.0,,11.282,8.586999,-5.964,2.623,0.0,,,2.622999,0.0,2.623,0.0,,2.623,2.623,,135.692,0.02,0.02,,135.692,0.02,0.02,0.02,
03/31/1996,111.782997,,,-41.550999,,70.231998,,-47.661999,,,,22.57,2.772,,0.209,,,0.0,,-2.981,25.342,-6.308,19.034,0.0,,,19.034,0.0,19.034,0.0,,19.034,19.034,,142.764008,0.1325,0.1325,0.1325,142.764008,0.1325,0.1325,0.1325,
06/30/1996,113.987999,,,-40.588001,,73.399998,,-50.946999,,,,22.452999,4.63,,0.186,,,0.0,,-4.816,27.082999,-6.799,20.284,0.0,,,20.283999,0.0,20.284,0.0,,20.284,20.284,,147.815994,0.135,0.135,0.135,147.815994,0.135,0.135,0.135,
09/30/1996,141.022003,,,-60.455002,,80.567001,,-57.327999,,,,23.239,-23.545999,,3.187,,,0.0,,20.358999,-0.306999,-5.601,-5.908,0.0,,,-5.907999,0.0,-5.908,0.0,,-5.908,-5.908,,138.880005,-0.045,-0.045,0.13,138.880005,-0.045,-0.045,0.13,
12/31/1996,144.649002,,,-56.224998,,88.424004,,-58.034,,,,30.389999,-109.815,,3.26,,,0.0,,106.555,-79.425001,15.513,-63.911999,0.0,,,-63.912001,0.0,-63.911999,0.0,,-63.911999,-63.911999,,140.983994,-0.455,-0.455,0.31,140.983994,-0.455,-0.455,0.31,
03/31/1997,144.606003,,,-55.827999,,88.778004,,-61.391998,,,,27.386,-0.033,,2.281,,,0.0,,-2.248,27.353,-6.115,21.238001,0.0,,,21.238,0.0,21.238001,0.0,,21.238001,21.238001,,156.473999,0.135,0.135,0.135,156.475998,0.135,0.135,0.135,
06/30/1997,147.613998,,,-54.477001,,93.136997,,-62.941002,,,,30.195999,0.092,,1.719,,,0.0,,-1.811,30.287999,-7.005,23.283001,0.0,,,23.282999,0.0,23.283001,0.0,,23.283001,23.283001,,156.259995,0.15,0.15,0.15,157.582001,0.15,0.15,0.15,
09/30/1997,148.841003,,,-51.244999,,97.596004,,-65.328003,,,,32.268002,-1.349,,2.006,,,0.0,,-0.657,30.919002,-6.562,24.357,0.0,,,24.357002,0.0,24.357,0.0,,24.357,24.357,,158.891998,0.155,0.155,0.155,159.729996,0.15,0.15,0.15,
12/31/1997,156.141998,,,-79.929001,,76.212997,,-70.084999,,,,6.128,-4.061,,2.102,,,0.0,,1.959,2.067,6.502,8.569,0.0,,,8.569,0.0,8.569,0.0,,8.569,8.569,,155.147994,0.055,0.055,0.165,159.774002,0.055,0.055,0.165,
03/31/1998,154.123001,,,-54.477001,,99.646,,-66.727997,,,,32.917999,-1.975,,1.99,,,0.0,,-0.015,30.942999,-12.51,18.433001,0.0,,,18.432999,0.864,19.297001,0.0,,19.297001,19.297001,,157.520004,0.215,0.215,0.215,162.399994,0.21,0.21,0.21,
