Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1994,1550.199951,145.600006,145.600006,0.0,170.0,,,256.200012,,,,,26.200001,,,,598.0,859.0,1225.599976,-366.600006,,,93.199997,,,,,93.199997,952.199997,,84.300003,84.300003,,,,201.800003,,,,,,222.600006,,,222.600006,508.700012,595.0,,,,,1022.799988,,,1022.799988,1617.799988,2126.5,0.0,,,,0.0,,-576.299988,-576.299988,0.0,-576.299988,1550.200012,
06/30/1994,1648.300049,161.899994,161.899994,0.0,216.899994,,,296.100006,,,,,11.5,,,,686.400024,858.400024,1242.0,-383.600006,,,103.5,,,,,103.5,961.900024,,137.5,137.5,,,,69.5,,,,,,228.600006,,,228.600006,435.600006,332.899994,,,,,905.599976,,,905.599976,1238.499969,1674.099976,0.0,534.599976,,,0.0,,-560.400024,-25.800049,0.0,-25.800049,1648.299927,
09/30/1994,1697.0,163.300003,163.300003,0.0,202.600006,,,332.700012,,,,,27.4,,,,726.0,863.599976,1268.0,-404.399994,,,107.400002,,,,,107.400002,970.999977,,129.199997,129.199997,,,,71.400002,,,,,,242.699989,,,242.699989,443.299988,332.700012,,,,,905.299988,,,905.299988,1238.0,1681.299988,0.0,534.599976,,,0.0,,-518.900024,15.699951,0.0,15.699951,1696.999939,
12/31/1994,1933.199951,261.799988,261.799988,0.0,234.399994,,,323.0,,,,,65.300003,,,,884.5,881.099976,1309.800049,-428.700012,17.6,,150.0,,,,,150.0,1048.699976,,124.5,124.5,,,,72.400002,,,,,,244.099998,,,244.099998,441.0,330.0,,,,,713.200012,,,713.200012,1043.200012,1484.200012,0.1,753.0,,,0.0,,-304.100006,448.999994,0.0,448.999994,1933.200006,
03/31/1995,1923.099976,242.000008,203.600006,38.400002,287.600006,,,276.399994,,,,,54.900002,,,,860.900024,877.299988,1324.5,-447.200012,0.0,,184.899994,,,,,184.899994,1062.199982,,112.900002,112.900002,,,,83.400002,,,,,,169.800003,,,169.800003,366.100006,330.0,,,,,712.900024,,,712.900024,1042.900024,1409.000031,0.1,753.799988,,,0.0,,-239.800003,514.099985,0.0,514.099985,1923.100015,
06/30/1995,1973.199951,329.300003,218.100006,111.199997,245.899994,,,271.299988,,,,,34.0,,,,880.5,898.599976,1363.800049,-465.200012,0.0,,194.100006,,,,,194.100006,1092.699982,,199.600006,199.600006,,,,0.0,,,,,,183.5,,,183.5,383.100006,325.0,,,,,676.099976,,,676.099976,1001.099976,1384.199982,0.1,754.400024,,,0.0,,-165.5,589.000024,0.0,589.000024,1973.200006,
09/30/1995,2035.300049,346.800003,165.600006,181.199997,235.5,,,279.100006,,,,,16.6,,,,878.0,924.200012,1398.199951,-474.0,0.0,,233.100006,,,,,233.100006,1157.300018,,183.600006,183.600006,,,,0.0,,,,,,191.100006,,,191.100006,374.700012,325.0,,,,,681.099976,,,681.099976,1006.099976,1380.799988,0.1,756.799988,,,0.0,,-102.400002,654.499986,0.0,654.499986,2035.299974,
12/31/1995,2115.5,312.800003,137.0,175.800003,217.0,,,340.700012,,,,,16.700001,,,,887.200012,973.599976,1451.599976,-478.0,0.0,,254.699997,,,,,254.699997,1228.299973,,255.899994,255.899994,,,,0.0,,,,,,141.5,,,141.5,397.399994,325.0,,,,,718.900024,,,718.900024,1043.900024,1441.300018,0.1,715.299988,,,-21.5,,-19.700001,674.199987,0.0,674.199987,2115.500005,
03/31/1996,2012.800049,183.200005,134.600006,48.599998,231.699997,,,332.399994,,,,,20.4,,,,767.700012,959.0,1457.0,-498.0,0.0,,286.100006,,,,,286.100006,1245.100006,,190.600006,190.600006,,,,0.0,,,,,,116.699982,,,116.699982,307.299988,325.0,,,,,689.799988,,,689.799988,1014.799988,1322.099976,0.1,706.599976,,,-21.5,,5.5,690.699976,0.0,690.699976,2012.799951,
06/30/1996,2037.400024,221.399998,168.699997,52.700001,248.800003,,,324.899994,,,,,12.2,,,,807.299988,953.599976,1470.599976,-517.0,0.0,,276.5,,,,,276.5,1230.099976,,191.0,191.0,,,,0.1,,,,,,111.299994,,,111.299994,302.399994,325.0,,,,,689.900024,,,689.900024,1014.900024,1317.300018,0.1,706.900024,,,-21.5,,34.6,720.100025,0.0,720.100025,2037.400043,
