Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,EBITDA Surprise %,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
03/31/2019,,,,,-14.247,-14.247,,,,,,,,
03/31/2020,,,,,-328.199,-116.226,,,,,,,,
06/30/2020,,12.981,-96.117,-40.9256561841488,-96.117,-96.61944,,,,-87.8759124087591,,,,
09/30/2020,,-43.6,,,,,,,,,,,,
12/31/2020,,-27.76,,,,,,,,,,,,
