Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Research & Development,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2001,727,,-535.0,,,192.0,,-89.0,,,103.0,1.0,,0.0,,0.0,,-1.0,104.0,-36.0,68.0,0.0,,,68.0,0.0,68.0,0.0,0.0,68.0,68.0,,183.1,0.37,0.37,0.37,186.0,0.36,0.36,0.36,
09/30/2001,816,,-629.0,,,187.0,,-53.0,,,134.0,-195.0,3.0,3.0,,0.0,,192.0,-61.0,13.0,-48.0,0.0,,,-48.0,0.0,-48.0,0.0,0.0,-48.0,-48.0,130.0,183.6,-0.26,-0.26,0.45,183.6,-0.26,-0.26,0.45,
12/31/2001,563,,-420.0,,,143.0,,-69.0,,,74.0,-2.0,2.0,2.0,,0.0,,0.0,72.0,-24.0,48.0,0.0,,,48.0,0.0,48.0,0.0,0.0,48.0,48.0,,183.6,0.26,0.26,0.26,183.8,0.26,0.26,0.26,
03/31/2002,608,,-458.0,,,150.0,,-72.0,,,78.0,3.0,1.0,1.0,,0.0,,-4.0,81.0,-23.0,58.0,0.0,,,58.0,0.0,58.0,0.0,0.0,58.0,58.0,-2.0,183.3,0.31,0.31,0.3,184.4,0.31,0.31,0.3,
06/30/2002,623,,-460.0,,,163.0,,-74.0,,,89.0,-1.0,1.0,1.0,,0.0,,0.0,88.0,-28.0,60.0,0.0,,,60.0,0.0,60.0,0.0,0.0,60.0,60.0,-2.0,183.0,0.33,0.33,0.32,184.8,0.33,0.33,0.32,
09/30/2002,698,,-525.0,,,173.0,,-92.0,,,81.0,19.0,0.0,2.0,-2.0,0.0,,-19.0,100.0,-30.0,70.0,0.0,,,70.0,0.0,70.0,0.0,0.0,70.0,70.0,-5.0,182.5,0.39,0.39,0.42,183.4,0.38,0.38,0.41,
12/31/2002,561,,-416.0,,,145.0,,-77.0,,,68.0,2.0,,1.0,-1.0,0.0,,-2.0,70.0,-21.0,49.0,0.0,,,49.0,0.0,49.0,0.0,0.0,49.0,49.0,,180.2,0.27,0.27,0.27,181.1,0.27,0.27,0.27,
03/31/2003,618,,-454.0,,,164.0,,-86.0,,,78.0,6.0,1.0,1.0,0.0,0.0,,-7.0,84.0,-25.0,59.0,0.0,,,59.0,0.0,59.0,0.0,0.0,59.0,59.0,,179.0,0.33,0.33,0.33,179.6,0.33,0.33,0.33,
06/30/2003,620,,-450.0,,,170.0,,-81.0,,,89.0,21.0,1.0,1.0,0.0,0.0,,-22.0,110.0,-33.0,77.0,0.0,,,77.0,0.0,77.0,0.0,0.0,77.0,77.0,-12.0,178.3,0.43,0.43,0.36,179.1,0.43,0.43,0.36,
09/30/2003,743,,-546.0,,,197.0,,-97.0,,,100.0,4.0,-1.0,0.0,-1.0,0.0,,-3.0,104.0,-31.0,73.0,0.0,,,73.0,0.0,73.0,0.0,0.0,73.0,73.0,-12.0,178.0,0.41,0.41,0.41,180.6,0.4,0.4,0.4,
