Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,10.804,10.247,-1.237,-3.361,16.452999,,,,,,,,,,,,,,,,,,,
06/30/1990,,12.655,5.845,-1.36,26.25,43.206001,,,,,,,,,,,,,,,,,,,
09/30/1990,,12.33,7.266,-2.001,35.797001,53.391998,,,,,,,,,,,,,,,,,,,
12/31/1990,,13.175,10.372,41.929001,-59.647999,5.828,,,,,,,,,,,,,,,,,5.828,,
03/31/1991,,12.955,12.099,3.776,-12.828,16.002001,,,,,,,,,,,,,,,,,,,
06/30/1991,,14.82,14.851,-17.882,-22.198999,-10.41,,,,,,,,,,,,,,,,,,,
09/30/1991,,15.744,9.724,17.872,-25.705,17.635,,,,,,,,,,,,,,,,,,,
12/31/1991,,16.886999,15.893,-34.447999,36.23,34.570999,,,,,,,,,,,,,,,,,34.570999,,
03/31/1992,,18.591,18.319,-9.94,19.450001,46.419998,,,,,,,,,,,,,,,,,,,
06/30/1992,,18.955,17.285,8.596,-19.08,25.756001,,,,,,,,,,,,,,,,,,,
09/30/1992,,19.139999,19.870001,2.301,-17.812,23.499001,,,,,,,,,,,,,,,,,,,
12/31/1992,,18.704,16.573,2.678,-19.509001,18.445999,18.445999,,,,,,18.445999,,,,,,,,,,36.891998,,
03/31/1993,,21.790001,17.870001,-5.645,-4.807,29.208,,,,,,,,,,,,,,,,,,,
06/30/1993,,22.761999,16.726999,-3.113,-63.360001,-26.983999,,,,,,,,,,,,,,,,,,,
09/30/1993,,22.813,9.926,-3.006,-69.836998,-40.104,,,,,,,,,,,,,,,,,,,
12/31/1993,,22.471001,18.365,-6.025,-2.433,32.377998,,,,,,,,,,,,,,,,,32.377998,,
03/31/1994,,24.179001,9.219,-4.181,41.595001,70.811996,,,,,,,,,,,,,,,,,,,
06/30/1994,,24.695999,7.693,-0.08,152.119995,184.429001,,,,,,,,,,,,,,,,,,,
09/30/1994,,25.385,8.921,-4.863,10.805,40.248001,,,,,,,,,,,,,,,,,,,
12/31/1994,,26.986,6.582,-1.143,-4.325,28.1,,,,,,,,,,,,,,,,,28.1,,
03/31/1995,,24.836,8.833,-14.997,50.897999,69.57,,,-6.143,,,,,,,,,,,,,,,,
06/30/1995,,28.429001,9.793,-29.191,-51.235001,-42.203999,,,-8.935,,,,,,,,,,,,,,,,
09/30/1995,,30.341,13.442,19.611,-13.836,49.557999,,,-6.502,,,,,,,,,,,,,,,,
12/31/1995,,30.618999,12.023,1.324,-15.894,28.072001,-28.302,,-28.302,,,,,,,,,,,,,,-0.229999,,
03/31/1996,,38.754002,,,,73.165001,,,-5.083,,,,,,,,,,,,,,,,
06/30/1996,,32.922001,,,,-1.152,,,-7.522,,,,,,,,,,,,,,,,
09/30/1996,,26.924,,,,127.414001,,,-9.203,,,,,,,,,,,,,,,,
12/31/1996,,33.844002,,,,-16.656,-33.952999,,-33.952999,,,,,,,,,,,,,,-50.608999,,
03/31/1997,,39.880001,,,,56.341999,,,-19.413,,,,,,,,,,,,,,,,
06/30/1997,,41.828999,,,,12.065,,,-17.125999,,,,,,,,,,,,,,,,
09/30/1997,,43.823002,,,,-135.246002,,,-13.062,,,,,,,,,,,,,,,,
12/31/1997,,40.709999,,,,151.979004,,,-16.157,,,,,,,,,,,,,,,,
