Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,20.497,8.264,1.181,-17.99,11.952,,,,,,,,,,,,,,,,,,,
06/30/1990,,18.806,9.645,4.193,-9.031,23.613001,,,,,,,,,,,,,,,,,,,
09/30/1990,,19.431999,10.118,4.109,24.236,57.895,,,,,,,,,,,,,,,,,,,
12/31/1990,,17.962999,15.733,-2.753,-21.261999,9.682,,,,,,,,,,,,,,,,,9.682,,
03/31/1991,,18.738001,15.145,0.563,32.173,66.619003,,,,,,,,,,,,,,,,,,,
06/30/1991,,19.979,5.242,-3.734,-10.248,11.239,,,,,,,,,,,,,,,,,,,
09/30/1991,,20.229,17.283001,41.547001,-29.943001,49.116001,,,,,,,,,,,,,,,,,,,
12/31/1991,,21.424,46.958,-51.984001,-74.751999,-58.354,,,,,,,,,,,,,,,,,-58.354,,
03/31/1992,,23.989,14.893,-1.605,-368.372009,-331.095001,,,,,,,,,,,,,,,,,,,
06/30/1992,,24.759001,15.304,0.774,164.242996,205.080002,,,,,,,,,,,,,,,,,,,
09/30/1992,,26.278999,21.35,-4.573,28.83,71.886002,,,,,,,,,,,,,,,,,,,
12/31/1992,,28.242001,13.821,9.774,-57.141998,-0.525,,,,,,,,,,,,,,,,,-0.525,,
03/31/1993,,37.394001,17.205,-5.529,289.289001,338.359009,,,,,,,,,,,,,,,,,,,
06/30/1993,,40.380001,16.766001,-1.256,-1.445,54.445,,,,,,,,,,,,,,,,,,,
09/30/1993,,38.145,-1.908,2.226,-69.667999,-31.205,,,,,,,,,,,,,,,,,,,
12/31/1993,,30.802,20.281,-1.653,-26.988001,22.441,,,,,,,,,,,,,,,,,22.441,,
03/31/1994,,38.973999,8.326,-0.671,56.478001,103.107002,,,,,,,,,,,,,,,,,,,
06/30/1994,,40.594002,14.534,-7.945,289.770996,336.95401,,,,,,,,,,,,,,,,,,,
09/30/1994,,44.061001,3.004,16.082001,723.77301,786.919983,,,,,,,,,,,,,,,,,,,
12/31/1994,,1.355,28.952999,63.813999,-896.939026,-800.510986,,,,,,,,,,,,,,,,,-800.510986,,
03/31/1995,,40.110001,15.092,3.239,89.751999,148.192993,,,-5.798,,,,,,,,,,,,,,,,
06/30/1995,,40.858002,19.177999,0.997,51.464001,112.497002,,,-0.811,,,,,,,,,,,,,,,,
09/30/1995,,46.095001,16.547001,16.643999,73.091003,152.376999,,,-6.226,,,,,,,,,,,,,,,,
12/31/1995,,47.891998,17.146999,-8.844,-49.901001,6.294,-7.638,,-7.638,,,,,,,,,,,,,,-1.344,,
03/31/1996,,47.162998,21.919001,77.212997,-59.654999,86.639999,,,-9.591,,,,,,,,,,,,,,,,
06/30/1996,,48.705002,20.931999,-59.416,44.387001,54.608002,,,-15.154,,,,,,,,,,,,,,,,
09/30/1996,,35.193001,24.521,17.705999,85.582001,163.001999,,,-13.494,,,,,,,,,,,,,,,,
12/31/1996,,51.615002,25.495001,29.086,-68.712997,37.483002,,,-14.623,,,,,,,,,,,,,,,,
03/31/1997,,54.573002,25.84,6.446,-42.776001,44.083,,,-17.688999,,,,,,,,,,,,,,,,
06/30/1997,,55.900002,26.365999,18.868,-68.598,32.535999,,,-12.306,,,,,,,,,,,,,,,,
09/30/1997,,56.801998,24.813,20.171,-25.59,76.195999,,,-8.706,,,,,,,,,,,,,,,,
12/31/1997,,58.891998,24.528999,-176.065002,119.198997,26.555,,,-8.056,,,,,,,,,,,,,,,,
03/31/1998,,126.369003,,,,236.365997,,,,,,,,,,,,,,,,,,,
06/30/1998,,87.156998,,,,139.332001,,,,,,,,,,,,,,,,,,,
09/30/1998,,124.342003,,,,108.5,,,,,,,,,,,,,,,,,,,
12/31/1998,,136.205994,,,,-67.117996,,,,,,,,,,,,,,,,,,,
03/31/1999,,136.796005,52.137001,52.508999,80.913002,322.355011,,,,,,,,,,,,,,,,,,,
06/30/1999,,131.580994,52.636002,194.214996,-521.330994,-142.899002,,,,,,,,,,,,,,,,,,,
09/30/1999,,403.022,170.785,-364.617,96.715,305.905,-3542.334,,-34.341,-6591.991,4802.646,-1720.026,1.378,2634.051,-153.832,2147.619,2334.646,-457.491,38.778,-147.538,-1128.131,,-602.378,,
12/31/1999,,-62.543999,,,,-5.434,,,,,,,,,,,,,,,,,,,
03/31/2000,,138.936996,57.210999,76.829002,-157.328003,115.649002,,,-25.579,,,,,,,,,,,,,,,,
