Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1989,3.355,,,-1.693,,1.662,,-1.42,,,,,,0.242,-0.003,,0.019,,0.0,-0.016,0.239,-0.085,0.154,0.023,,,0.131,0.0,0.131,0.0,,0.131,0.131,,65.663984,0.002222,0.002778,,65.663984,0.002222,0.002778,0.002778,
12/31/1989,4.285,,,-2.509,,1.776,,-1.424,,,,,,0.352,0.047,,0.01,,0.0,-0.057,0.399,-0.145,0.254,0.08,,,0.174,0.0,0.174,0.0,,0.174,0.174,,65.663984,0.002778,0.003889,,65.663984,0.002778,0.003889,0.003889,
03/31/1990,3.965,,,-2.015,,1.95,,-1.291,,,,,,0.659,0.07,,0.007,,0.0,-0.077,0.729,-0.262,0.467,0.224,,,0.243,0.0,0.243,0.0,,0.243,0.243,,63.593984,0.003889,0.007222,,63.593984,0.003889,0.007222,0.007222,
06/30/1990,3.556,,,-2.19,,1.366,,-1.221,,,,,,0.145,0.04,,0.007,,0.0,-0.047,0.185,-0.123,0.062,1.146,,,-1.084,0.0,-1.084,0.0,,-1.084,-1.084,,63.377983,-0.017222,0.001111,,63.377983,-0.017222,0.001111,0.001111,
09/30/1990,6.018,,,-3.872,,2.146,,-1.252,,,,,,0.894,0.116,,0.014,,0.0,-0.13,1.01,-0.39,0.62,0.0,,,0.62,0.0,0.62,0.0,,0.62,0.62,,63.521985,0.01,0.01,,63.521985,0.01,0.01,0.01,
12/31/1990,5.026,,,-2.883,,2.143,,-1.269,,,,,,0.874,0.042,,0.006,,0.0,-0.048,0.916,-0.331,0.585,0.0,,,0.585,0.0,0.585,0.0,,0.585,0.585,,63.503986,0.008889,0.008889,,63.503986,0.008889,0.008889,0.008889,
03/31/1991,3.83,,,-1.794,,2.036,,-1.315,,,,,,0.721,0.134,,0.003,,0.0,-0.137,0.855,-0.307,0.548,0.0,,,0.548,0.0,0.548,0.0,,0.548,0.548,,63.593984,0.008889,0.008889,,63.593984,0.008889,0.008889,0.008889,
06/30/1991,5.863,,,-3.904,,1.959,,-1.334,,,,,,0.625,0.117,,0.002,,0.0,-0.119,0.742,-0.314,0.428,0.0,,,0.428,0.0,0.428,0.0,,0.428,0.428,,63.647984,0.006667,0.006667,,63.647984,0.006667,0.006667,0.006667,
09/30/1991,5.579,,,-2.928,,2.651,,-1.428,,,,,,1.223,0.136,,0.0,,0.0,-0.136,1.359,-0.489,0.87,0.0,,,0.87,0.0,0.87,0.0,,0.87,0.87,,64.781983,0.013333,0.013333,,64.781983,0.013333,0.013333,0.013333,
12/31/1991,5.866,,,-3.076,,2.79,,-1.399,,,,,,1.391,0.124,,0.002,,0.0,-0.126,1.515,-0.546,0.969,0.0,,,0.969,0.0,0.969,0.0,,0.969,0.969,,65.861982,0.015,0.015,,65.861982,0.015,0.015,0.015,
03/31/1992,5.434,,,-2.823,,2.611,,-1.452,,,,,,1.159,0.376,,0.0,,0.0,-0.376,1.535,-0.552,0.983,-0.028,,,1.011,0.0,1.011,0.0,,1.011,1.011,,66.935984,0.015,0.014167,,66.935984,0.015,0.014167,0.014167,
06/30/1992,7.017,,,-3.94,,3.077,,-1.557,,,,,,1.52,0.162,,0.0,,0.0,-0.162,1.682,-0.612,1.07,-0.039,,,1.109,0.0,1.109,0.0,,1.109,1.109,,67.367981,0.016667,0.015833,,67.367981,0.016667,0.015833,0.015833,
09/30/1992,6.427,,,-3.337,,3.09,,-1.486,,,,,,1.604,0.201,,,,0.0,-0.201,1.805,-0.657,1.148,-0.025,,,1.173,0.0,1.173,0.0,,1.173,1.173,,67.391985,0.0175,0.0175,,67.391985,0.0175,0.0175,0.0175,
12/31/1992,9.899,,,-6.44,,3.459,,-1.714,,,,,,1.745,0.145,,0.0,,0.0,-0.145,1.89,-0.612,1.278,-0.91,,,2.188,0.0,2.188,0.0,,2.188,2.188,,69.251982,0.031667,0.018333,,69.251982,0.031667,0.018333,0.018333,
03/31/1993,6.746,,,-3.297,,3.449,,-1.709,,,,,,1.74,0.152,,0.0,,0.0,-0.152,1.892,-0.607,1.285,-0.025,,,1.31,0.0,1.31,0.0,,1.31,1.31,,70.231985,0.01875,0.01875,,70.231985,0.01875,0.01875,0.01875,
06/30/1993,9.517,,,-5.406,,4.111,,-1.938,,,,,,2.173,0.129,,0.0,,0.0,-0.129,2.302,-0.741,1.561,-0.027,,,1.588,0.0,1.588,0.0,,1.588,1.588,,93.919975,0.01625,0.01625,,93.919975,0.01625,0.01625,0.01625,
09/30/1993,9.218,,,-5.133,,4.085001,,-2.09,,,,,,1.995,0.262,,0.0,,0.0,-0.262,2.257,-0.819,1.438,0.0,,,1.438,0.0,1.438,0.0,,1.438,1.438,,71.519979,0.02,0.02,,71.519979,0.02,0.02,0.02,
12/31/1993,10.141,,,-5.722,,4.419,,-2.594,,,,,,1.825,0.595,,,,0.0,-0.595,2.42,-0.748,1.672,0.0,,,1.672,0.0,1.672,0.0,,1.672,1.672,,72.33598,0.02375,0.02375,,72.33598,0.02375,0.02375,0.02375,
03/31/1994,8.851,,,-4.683,,4.168,,-2.284,,,,,,1.884,0.168,,0.0,,0.0,-0.168,2.052,-0.761,1.291,0.0,,,1.291,0.0,1.291,0.0,,1.291,1.291,,72.342001,0.018333,0.018333,,72.342001,0.018333,0.018333,0.018333,
06/30/1994,10.18,,,-4.975,,5.205,,-2.067,,,,,,3.138,-0.063,,0.0,,0.0,0.063,3.075,-1.217,1.858,0.0,,,1.858,0.0,1.858,0.0,,1.858,1.858,,71.981998,0.025,0.025,,71.981998,0.025,0.025,0.025,
09/30/1994,9.649,,,-4.579,,5.07,,-2.436,,,,,,2.634,0.169,,0.0,,0.0,-0.169,2.803,-0.972,1.831,0.0,,,1.831,0.0,1.831,0.0,,1.831,1.831,,71.741999,0.025,0.025,,71.741999,0.025,0.025,0.025,
12/31/1994,11.405,,,-5.363,,6.042,,-2.968,,,,,,3.074,0.172,,0.0,,0.0,-0.172,3.246,-1.241,2.005,0.0,,,2.005,0.0,2.005,0.0,,2.005,2.005,,72.282,0.028333,0.028333,,72.282,0.028333,0.028333,0.028333,
