Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
12/28/2013,,6.235,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
03/29/2014,31.721,-1.046,19.13,16.184,5.101,-1.15,12.233,-2.547,6.176,10.216,-18.939,0,10.757,-7.829,0.099,0.099,0.0,-7.928,-7.264,-0.664,,,,0.0,0.0,0.0,0.0,18.586,12.204,0.0,0.047,,,,12.196,12.196,0.0,-0.039,-0.266,54.416,
06/28/2014,36.261,38.647,18.805,12.062,8.839,2.284,0.939,-33.253,-46.606,-17.304,30.657,0,-29.411,-2.419,7.352,7.352,0.0,-9.771,-9.771,0.0,,,,0.0,0.0,0.0,0.0,-26.992,-81.221,0.0,-87.503,,,,10.957,10.957,0.0,-4.675,0.032,-74.339,
09/27/2014,58.7,63.311,19.036,6.796,7.192,5.45,-5.846,-30.443,-33.977,-16.37,19.904,0,-43.974,-19.289,0.013,0.013,0.0,-19.302,-19.302,0.0,,,,0.0,0.0,0.0,0.0,-24.685,-1.469,0.0,0.0,,,,8.183,8.183,0.0,-9.652,-0.141,13.116,
12/27/2014,72.138,87.863,18.417,3.695,2.16,1.011,0.524,-37.837,2.743,-10.989,-29.591,0,-68.821,-21.851,0.006,0.006,0.0,-21.857,-20.757,-1.1,,,,1.5,1.5,0.0,0.0,-48.47,4.2,0.0,-0.052,,,,4.839,4.839,0.0,-0.587,-0.099,7.418,
03/28/2015,138.525,6.482,160.73,-62.603,32.757,-118.715,23.355,33.916,47.471,55.086,-68.641,0,78.264,-119.955,0.077,0.077,0.0,-120.032,-120.032,0.0,,,,224.324,224.324,0.0,0.0,-26.105,-34.408,0.0,0.052,,,,-14.788,36.086,-50.874,-19.672,-0.66,181.721,
06/27/2015,141.432,2.036,165.94,41.906,48.17,3.849,-10.113,-68.45,-54.245,-21.606,7.401,0,-75.137,-89.255,0.14,0.14,0.0,-89.395,-89.395,0.0,,,,0.0,0.0,0.0,0.0,14.118,-40.473,0.0,0.0,0.0,0.0,0.0,-31.623,18.386,-50.009,-8.85,-0.034,25.788,
10/03/2015,168.795,4.448,174.097,32.554,35.73,-1.461,-1.715,-42.304,-30.251,-30.197,18.144,0,100.669,-80.431,0.0,0.0,0.0,-80.431,-80.431,0.0,,,,0.0,0.0,0.0,0.0,181.1,-425.445,0.0,75.0,,,,-488.609,11.322,-499.931,-11.836,-0.024,-156.005,
01/02/2016,218.006,-11.127,177.064,1.187,29.969,-21.441,-7.341,50.882,141.363,-13.194,-77.287,0,-207.962,-61.468,0.0,,,-61.468,-61.468,0.0,,,,0.0,0.0,0.0,0.0,-146.494,672.616,0.0,925.0,,,,-238.964,11.105,-250.069,-13.42,-0.66,682.0,
04/02/2016,159.694,-24.202,157.85,34.778,24.712,6.864,3.202,-8.732,-20.185,-19.119,30.572,0,-96.284,-84.47,0.0,0.0,0.0,-84.47,-84.47,0.0,,,,0.0,0.0,0.0,0.0,-11.814,-489.682,0.0,0.0,,,,-488.938,11.062,-500.0,-0.744,0.424,-425.848,
