Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/24/2002,379.921997,5.223,5.223,0.0,52.453999,,,19.583,,,,,22.063,,,,,99.322998,106.620003,209.5,-102.879997,0.0,,,173.979004,60.787998,27.364,33.423998,113.191006,280.599007,,39.384998,39.384998,,,,38.046001,38.046001,0.0,0.0,,,77.781006,,,,77.781006,155.212006,602.184998,602.184998,0.0,0.0,,41.158001,,,,,41.158001,643.342999,798.555004,0.0,120.202003,,,0.0,-536.640991,-2.194031,-418.633018,0.0,-418.633018,379.921986,
06/16/2002,375.433014,8.127,8.127,0.0,53.396,,,19.341,,,,,25.121,,,,,105.985001,106.929001,209.108994,-102.18,0.0,,,162.518997,54.355999,27.267,27.088999,108.162998,269.447998,,35.285999,35.285999,,,,40.694,40.694,0.0,0.0,,,85.171993,,,,85.171993,161.151993,581.940002,581.940002,0.0,0.0,,40.995998,,,,,40.995998,622.936001,784.087994,0.0,120.723,,,0.0,-525.888977,-3.489014,-408.654991,0.0,-408.654991,375.433002,
09/08/2002,376.223999,5.02,5.02,0.0,53.688999,,,23.874001,,,,,22.07,,,,,104.653,113.906998,216.781006,-102.874001,0.0,,,157.664001,55.344002,27.315001,28.029001,102.32,271.570999,,49.277,49.277,,,,4.034,4.034,0.0,0.0,,,73.528996,,,,73.528996,126.839996,606.789978,606.789978,0.0,0.0,,41.404999,,,,,41.404999,648.194977,775.034973,0.0,120.723,,,0.0,-515.216003,-4.317993,-398.810997,0.0,-398.810997,376.223976,
12/29/2002,422.427002,22.472,22.472,0.0,60.895,57.497002,,21.832001,21.832001,0.0,0.0,0.0,41.713001,,,,,146.912003,120.546997,224.255005,-103.708,13.927,,,141.041,23.232,23.232,0.0,117.809,275.514997,,46.131001,46.131001,,,,2.843,2.843,0.0,0.0,,,108.253996,,,,108.253996,157.227997,599.179993,599.179993,0.0,0.0,,41.599998,,,,,41.599998,640.779991,798.007988,0.0,120.723,,,0.0,-491.792999,-4.510986,-375.580986,0.0,-375.580986,422.427002,
03/23/2003,424.085999,30.238001,30.238001,0.0,56.209,,,21.486,,,,,46.617001,,,,,154.550003,118.934998,225.744995,-106.809998,0.0,,,150.600998,55.187,27.468,27.719,95.413998,269.535995,,50.568001,50.568001,,,,3.748,3.748,0.0,0.0,,,106.544,,,,106.544,160.860001,577.778015,577.778015,0.0,0.0,,41.741001,,,,,41.741001,619.519016,780.379017,0.0,120.723,,,0.0,-473.562988,-3.453003,-356.292992,0.0,-356.292992,424.086025,
06/15/2003,446.37085,51.745972,51.745972,0.0,56.268982,,,20.538986,20.538986,0.0,0.0,0.0,51.156982,,,,,179.710938,119.533997,230.694946,-111.16095,0.0,,,147.125977,54.974976,27.600998,27.373978,92.151001,266.659973,,45.122986,45.122986,,,,3.761,3.761,0.0,0.0,,,114.502977,,,,114.502977,163.386963,576.904785,576.904785,0.0,0.0,,44.396973,,,,,44.396973,621.301758,784.688721,0.0,120.722961,,,0.0,-456.291992,-2.748779,-338.31781,0.0,-338.31781,446.370911,
09/07/2003,422.434998,25.01,25.01,0.0,60.339001,,,22.469999,22.469999,0.0,0.0,0.0,52.041,,,,,159.860001,118.834999,233.973999,-115.139,0.0,,,143.740005,54.508999,27.533001,26.975998,89.231007,262.575005,,48.955002,48.955002,,,,22.091,22.091,0.0,0.0,,,98.060993,,,,98.060993,169.106995,949.47998,949.47998,0.0,0.0,,45.284,,,,,45.284,994.763981,1163.870975,0.0,124.018997,,,0.0,-863.508972,-1.946045,-741.43602,0.0,-741.43602,422.434956,
12/28/2003,452.114,46.391,46.391,0.0,68.356,64.571,,19.48,19.48,0.0,0.0,0.0,52.314,,,,,186.541,127.067,247.701,-120.634,5.968,,,132.538,23.432,23.432,0.0,109.106,265.573,,56.928,56.928,,,,18.572,18.572,0.0,0.0,,,112.302,,,,112.302,187.802,941.165,941.165,0.0,0.0,,41.11,,,,,41.11,982.275,1170.077,0.0,182.26,,,0.0,0.0,-900.223,-717.963,0.0,-717.963,452.114,
03/21/2004,424.979004,36.611,36.611,0.0,63.699001,,,23.045,23.045,0.0,0.0,0.0,39.596001,,,,,162.951004,127.747002,252.423004,-124.676003,0.0,,,134.281006,23.305,23.305,0.0,110.976006,262.028008,,49.098,49.098,,,,0.286,0.286,0.0,0.0,,,90.295001,,,,90.295001,139.679001,942.034973,942.034973,0.0,0.0,,42.792999,,,,,42.792999,984.827972,1124.506973,0.0,124.494003,,,0.0,-824.125,0.103027,-699.52797,0.0,-699.52797,424.979003,
06/13/2004,449.457,51.303,51.303,0.0,67.136,67.136,,20.541,20.541,0.0,0.0,0.0,43.645,,,,,182.625,131.636,259.176,-127.54,0.0,,,135.196,23.776,23.776,0.0,111.42,266.832,,49.485,49.485,,,,0.306,,,,,,100.335,,,,100.335,150.126,928.905,,,,,47.114,,,,,47.114,976.019,1126.145,0.0,182.339,,,0.0,0.0,-859.027,-676.688,0.0,-676.688,449.457,
09/05/2004,421.042999,20.223,20.223,0.0,65.57,,,23.357,23.357,0.0,0.0,0.0,53.449001,,,,,162.598999,135.783997,267.109985,-131.326004,0.0,,,122.660004,23.780001,23.780001,0.0,98.880003,258.444,,50.000999,50.000999,,,,0.317,,,,,,95.803003,,,,95.803003,146.121002,804.004028,,,,,45.853001,,,,,45.853001,849.857029,995.978031,0.0,302.69101,,,0.0,-881.84198,4.216003,-574.934967,0.0,-574.934967,421.043064,
01/02/2005,447.347,40.396,40.396,0.0,74.901,,,21.505,21.505,0.0,0.0,0.0,52.689,,,,,189.491,136.883,263.739,-126.856,6.413,,,114.56,47.034,22.955,24.079,67.526,257.856,,55.35,55.35,,,,25.295,,,,,,109.022,,,,109.022,189.667,755.405,,,,,52.155,,,,,52.155,807.56,997.227,0.0,303.1,,,0.0,0.0,-852.98,-549.88,0.0,-549.88,447.347,
