Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,484.100006,,-317.899994,,166.200012,,-116.300003,,,,49.900002,-12.4,,9.4,,,3.0,37.500002,-15.0,,22.5,0.0,,,22.500002,0.0,22.5,0.0,,22.5,22.5,,85.505997,0.265,0.265,,85.505997,0.265,0.265,0.265,
06/30/1990,498.899994,,-321.200012,,177.699982,,-113.800003,,,,63.900002,-12.9,,8.5,,,4.4,51.000001,-20.4,,30.6,0.0,,,30.600002,0.0,30.6,0.0,,30.6,30.6,,84.587997,0.36,0.36,,84.587997,0.36,0.36,0.36,
09/29/1990,492.299988,,-322.100006,,170.199982,,-114.599998,,,,55.599998,-11.5,,8.1,,,3.4,44.099998,-16.4,,27.700001,0.0,,,27.699998,0.0,27.700001,0.0,,27.700001,27.700001,,84.237999,0.325,0.325,,84.237999,0.325,0.325,0.325,
12/29/1990,501.399994,,-331.100006,,170.299988,,-118.300003,,,,52.0,-12.6,,10.3,,,2.3,39.4,-13.6,,25.799999,0.0,,,25.799999,0.0,25.799999,0.0,,25.799999,25.799999,,82.977997,0.315,0.315,,82.977997,0.315,0.315,0.315,
03/30/1991,453.600006,,-301.399994,,152.200012,,-114.699997,,,,37.5,-12.2,,8.6,,,3.6,25.3,-9.5,,15.8,12.5,,,3.3,0.0,3.3,0.0,,3.3,3.3,,82.050003,0.045,0.195,,82.050003,0.045,0.195,0.195,
06/29/1991,490.0,,-321.200012,,168.799988,,-114.800003,,,,54.0,-12.0,,9.7,,,2.3,42.0,-16.1,,25.9,0.0,,,25.9,0.0,25.9,0.0,,25.9,25.9,,83.744003,0.31,0.31,,83.744003,0.31,0.31,0.31,
09/28/1991,506.100006,,-336.299988,,169.800018,,-114.199997,,,,55.599998,-9.3,,10.4,,,-1.1,46.299999,-17.9,,28.4,0.0,,,28.399999,0.0,28.4,0.0,,28.4,28.4,,90.592003,0.32,0.32,,90.592003,0.32,0.32,0.32,
12/29/1991,512.5,,-334.899994,,177.600006,,-118.699997,,,,58.900002,-16.0,,8.9,,,7.1,42.900002,-15.9,,27.0,0.0,,,27.000002,0.0,27.0,0.0,,27.0,27.0,,90.515999,0.3,0.3,,90.515999,0.3,0.3,0.3,
03/28/1992,502.100006,,-334.700012,,167.399994,,-127.0,,,,40.400002,-12.6,,7.7,,,4.9,27.800002,-10.3,,17.5,0.0,,,17.500001,0.0,17.5,0.0,,17.5,17.5,,91.564003,0.19,0.19,,91.564003,0.19,0.19,0.19,
06/27/1992,560.900024,,-372.399994,,188.500031,,-130.0,,,,58.5,-12.9,,7.9,,,5.0,45.6,-16.799999,,28.799999,0.0,,,28.800001,0.0,28.799999,0.0,,28.799999,28.799999,,91.961998,0.315,0.315,,91.961998,0.315,0.315,0.315,
09/26/1992,555.900024,,-370.0,,185.900024,,-132.699997,,,,53.200001,-12.3,,7.2,,,5.1,40.900001,-15.5,,25.4,0.0,,,25.400001,0.0,25.4,0.0,,25.4,25.4,,91.342003,0.28,0.28,,91.342003,0.28,0.28,0.28,
01/02/1993,598.799988,,-404.799988,,194.0,,-138.100006,,,,55.900002,-12.1,,10.2,,,1.9,43.800002,-17.4,,26.4,0.0,,,26.400002,0.0,26.4,0.0,,26.4,26.4,,91.374001,0.29,0.29,,91.374001,0.29,0.29,0.29,
03/31/1993,553.400024,,-374.700012,,178.700012,,-130.100006,,,,48.599998,-11.1,,7.3,,0.0,3.8,37.499998,-14.5,,23.0,8.5,,,14.499998,0.0,14.5,0.0,,14.5,14.5,,90.547997,0.16,0.255,,90.547997,0.16,0.255,0.255,
07/03/1993,565.200012,,-383.5,,181.700012,,-128.5,,,,53.200001,-10.0,,6.0,,0.0,4.0,43.200001,-16.200001,,27.0,0.0,,,27.0,0.0,27.0,0.0,,27.0,27.0,,89.942001,0.3,0.3,,89.942001,0.3,0.3,0.3,
10/02/1993,576.299988,,-396.799988,,179.5,,-126.099998,,,,53.400002,-10.5,,6.9,,0.0,3.6,42.900002,-17.9,,25.0,0.0,,,25.000002,0.0,25.0,0.0,,25.0,25.0,,89.508003,0.28,0.28,,89.508003,0.28,0.28,0.28,
12/31/1993,578.200012,,-398.0,,180.200012,,-127.599998,,,,52.599998,-28.2,,11.8,,6.0,10.4,24.399999,-6.8,,17.6,0.0,,,17.599998,0.0,17.6,0.0,,17.6,17.6,,89.375999,0.195,0.195,,89.375999,0.195,0.195,0.195,
04/02/1994,585.700012,,-394.399994,,191.300018,,-133.800003,,,,57.5,-16.2,,7.4,,,8.8,41.3,-15.7,,25.6,0.0,,,25.6,0.0,25.6,0.0,,25.6,25.6,,89.542,0.285,0.285,,89.542,0.285,0.285,0.285,
06/30/1994,628.799988,,-418.600006,,210.199982,,-139.399994,,,,70.800003,-16.8,,7.8,,,9.0,54.000003,-20.299999,,33.700001,0.0,,,33.700004,0.0,33.700001,0.0,,33.700001,33.700001,,89.657997,0.375,0.375,,89.657997,0.375,0.375,0.375,
09/30/1994,632.599976,,-425.700012,,206.899963,,-139.5,,,,67.400002,-16.0,,6.9,,,9.1,51.400001,-19.200001,,32.200001,0.0,,,32.2,0.0,32.200001,0.0,,32.200001,32.200001,,89.676003,0.36,0.36,,89.676003,0.36,0.36,0.36,
12/31/1994,663.799988,,-445.299988,,218.5,,-147.699997,,,,70.800003,-15.7,,11.5,,,4.2,55.100003,-21.299999,,33.799999,0.0,,,33.800004,0.0,33.799999,0.0,,33.799999,33.799999,,89.382004,0.38,0.38,,89.382004,0.38,0.38,0.38,
03/31/1995,643.299988,,-437.600006,,205.699982,,-147.300003,,,,58.400002,-12.1,,7.5,,,4.6,46.300002,-17.6,,28.700001,0.0,,,28.700001,0.0,28.700001,0.0,,28.700001,28.700001,,88.828003,0.32,0.32,,88.828003,0.32,0.32,0.32,
06/30/1995,655.5,,-443.600006,,211.899994,,-148.600006,,,,63.299999,-12.5,,8.1,,,4.4,50.799999,-19.299999,,31.5,0.0,,,31.5,0.0,31.5,0.0,,31.5,31.5,,88.732002,0.36,0.36,,88.732002,0.36,0.36,0.36,
09/30/1995,655.700012,,-448.0,,207.700012,,-148.0,,,,59.700001,-52.800001,,7.6,,,45.200001,6.9,-8.6,,-1.7,0.0,,,-1.7,0.0,-1.7,0.0,,-1.7,-1.7,,88.580002,-0.02,-0.02,,88.580002,-0.02,-0.02,-0.02,
12/31/1995,669.799988,,-460.5,,209.299988,,-147.800003,,,,61.5,-52.699999,,12.4,,,40.299999,8.800001,-8.2,,0.6,0.0,,,0.600001,0.0,0.6,0.0,,0.6,0.6,,88.694,0.01,0.01,,88.694,0.01,0.01,0.01,
03/31/1996,635.299988,,-429.299988,,206.0,,-149.0,,,,57.0,-10.0,,6.5,,,3.5,47.0,-17.4,,29.6,0.0,,,29.6,0.0,29.6,0.0,,29.6,29.6,,88.816002,0.33,0.33,0.38,88.816002,0.33,0.33,0.38,
06/30/1996,677.200012,,-453.0,,224.200012,,-153.100006,,,,71.099998,-13.6,,5.4,,,8.2,57.499999,-24.9,,32.599998,0.0,,,32.599999,0.0,32.599998,0.0,,32.599998,32.599998,,88.824997,0.37,0.37,0.49,90.232002,0.36,0.36,0.48,
09/28/1996,672.900024,,-448.399994,,224.500031,,-151.699997,,,,72.800003,-13.8,,5.2,,,8.6,59.000003,-21.299999,,37.700001,0.0,,,37.700004,0.0,37.700001,0.0,,37.700001,37.700001,,88.847,0.42,0.42,0.48,88.847,0.42,0.42,0.48,
12/31/1996,685.400024,,-464.799988,,220.600037,,-154.699997,,,,65.900002,-55.199999,,10.9,,,44.299999,10.700003,-13.7,,-3.0,0.0,,,-2.999997,0.0,-3.0,0.0,,-3.0,-3.0,,89.124001,-0.03,-0.03,0.48,89.789001,-0.03,-0.03,0.48,
03/29/1997,646.599976,,-431.399994,,215.199982,,-153.199997,,,,62.0,-3.3,,4.3,,,-1.0,58.7,-22.0,,36.700001,0.0,,,36.7,0.0,36.700001,0.0,,36.700001,36.700001,,89.347,0.41,0.41,0.45,90.138,0.41,0.41,0.45,
06/28/1997,673.599976,,-446.100006,,227.499969,,-153.800003,,,,73.699997,-155.200003,,4.4,,,150.800003,-81.500006,17.0,,-64.5,0.0,,,-64.500006,0.0,-64.5,0.0,,-64.5,-64.5,,89.525002,-0.72,-0.72,0.56,89.525002,-0.72,-0.72,0.56,
09/27/1997,650.5,,-436.600006,,213.899994,,-148.199997,,,,65.699997,-112.098002,,4.2,,,107.898003,-46.398005,5.8,,-40.599998,0.0,,,-40.598005,0.0,-40.599998,0.0,,-40.599998,-40.599998,,89.570999,-0.46,-0.46,0.55,89.570999,-0.46,-0.46,0.55,
12/31/1997,698.799988,,-469.299988,,229.5,,-172.5,,,,57.0,-6.4,,11.8,,,-5.4,50.6,-24.1,,26.5,0.0,,,26.5,0.0,26.5,0.0,,26.5,26.5,,89.516998,0.3,0.3,0.56,90.533997,0.29,0.29,0.55,
04/04/1998,671.900024,,-435.0,,236.900024,,-171.100006,,,,65.800003,-7.6,,6.8,,,0.8,58.200003,-21.799999,,36.400002,0.0,,,36.400004,0.0,36.400002,0.0,,36.400002,36.400002,,89.483002,0.41,0.41,0.52,90.519997,0.4,0.4,0.51,
07/04/1998,691.799988,,-448.899994,,242.899994,,-166.100006,,,,76.800003,-9.3,,6.6,,,2.7,67.500003,-25.299999,,42.200001,0.0,,,42.200004,0.0,42.200001,0.0,,42.200001,42.200001,,89.404999,0.47,0.47,0.58,90.442001,0.47,0.47,0.58,
10/03/1998,689.599976,,-453.200012,,236.399963,,-172.699997,,,,63.700001,-10.099994,,8.7,,,1.399994,53.600007,-20.200001,,33.400002,0.0,,,33.400006,0.0,33.400002,0.0,,33.400002,33.400002,,89.366997,0.37,0.37,0.55,90.101997,0.37,0.37,0.55,
12/31/1998,675.799988,,-455.700012,,220.099976,,-174.800003,,,,45.299999,-9.2,,8.9,,,0.3,36.1,-10.3,,25.799999,0.0,,,25.799999,0.0,25.799999,0.0,,25.799999,25.799999,,89.375,0.29,0.29,0.5,89.745003,0.29,0.29,0.5,
04/03/1999,683.7,,-451.4,,232.3,,-173.1,173.1,,0.0,59.2,-11.8,7.2,7.2,,,4.6,47.4,-17.1,,30.3,0.0,,,30.3,0.0,30.3,0.0,,30.3,30.3,,89.446,0.34,0.34,0.48,89.642,0.34,0.34,0.48,
07/03/1999,685.5,,-455.1,,230.4,,-182.2,182.2,,0.0,48.2,-10.1,7.7,7.7,,,2.4,38.1,-12.8,,25.3,0.0,,,25.3,0.0,25.3,0.0,,25.3,25.3,,89.447,0.28,0.28,0.54,89.831,0.28,0.28,0.54,
