Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,Other LT Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2006,9283,352,352,,594,594,,162,,,,,93,,,,1201,7739,19789.0,-12050.0,,343,27.0,27.0,0.0,316,8082,,344,344,,,,122,,,778,,778,1244,1003,,2143,,,2143,3146,4390,,,,,,,4893,4893,,4893,9283,
06/30/2006,9179,50,50,,674,674,,176,,,,,86,,,,986,8047,20608.0,-12561.0,,146,27.0,27.0,0.0,119,8193,,437,437,,,,2,,,732,,732,1171,6746,,2045,,,2045,8791,9962,,-464.0,,,,104.0,-423,-783,,-783,9179,
09/30/2006,9914,34,34,,678,678,,188,,,,,113,,,,1013,8054,20721.0,-12667.0,,847,27.0,27.0,0.0,820,8901,,495,495,,,,37,,,810,,810,1342,6506,,2257,,,2257,8763,10105,,-409.0,,,,189.0,29,-191,,-191,9914,
12/31/2006,9091,53,53,0.0,660,660,,179,,,,,131,,,,1023,7988,20805.0,-12817.0,0.0,80,27.0,27.0,0.0,53,8068,,503,503,,,,37,,,724,,724,1264,6421,,1874,,,1874,8295,9559,0.0,-413.0,,,0.0,308.0,-363,-468,0.0,-468,9091,
03/31/2007,8983,46,46,0.0,629,629,,183,,,,,150,,,,1008,7910,20820.0,-12910.0,0.0,65,27.0,27.0,0.0,38,7975,,447,447,,,,37,,,933,,933,1417,6058,,1839,,,1839,7897,9314,,-358.0,,,-2.0,391.0,-362,-331,,-331,8983,
06/30/2007,8891,14,14,0.0,656,656,,170,,,,,152,,,,992,7837,20880.0,-13043.0,0.0,62,27.0,27.0,0.0,35,7899,,436,436,,,,54,,,675,,675,1165,6069,,1622,,,1622,7691,8856,0.0,-272.0,,,,470.0,-163,35,0.0,35,8891,
09/30/2007,8871,10,10,0.0,672,672,,160,,,,,150,,,,992,7761,20833.0,-13072.0,0.0,118,27.0,27.0,0.0,91,7879,,407,407,,,,99,,,825,,825,1331,5774,,1644,,,1644,7418,8749,0.0,-244.0,,,0.0,529.0,-163,122,0.0,122,8871,
12/31/2007,8901,69,69,0.0,616,616,,138,83.0,0.0,0.0,55.0,163,,,,986,7748,20802.0,-13054.0,0.0,167,27.0,27.0,0.0,140,7915,,387,387,,,,99,,,712,,712,1198,5779,,1660,,,1660,7439,8637,0.0,-229.0,,,,623.0,-130,264,0.0,264,8901,
03/31/2008,8788,52,52,0.0,579,579,,128,,,,,182,,,,941,7659,,,0.0,188,,,,188,7847,,404,404,,,,99,,,826,,826,1329,5575,,1651,,,1651,7226,8555,0.0,-230.0,,,-135.0,728.0,-130,233,0.0,233,8788,
06/30/2008,8706,50,50,0.0,581,581,,119,,,,,165,,,,915,7589,20949.0,-13360.0,0.0,202,27.0,27.0,0.0,175,7791,,337,337,,,,82,,,661,,661,1080,5888,,1649,,,1649,7537,8617,0.0,-212.0,,,-401.0,832.0,-130,89,0.0,89,8706,
09/30/2008,8694,83,83,0.0,548,548,,116,,,,,182,,,,929,7508,21031.0,-13523.0,0.0,257,27.0,27.0,0.0,230,7765,,303,303,,,,2,,,770,,770,1075,5838,,1713,,,1713,7551,8626,0.0,-197.0,,,-500.0,894.0,-129,68,0.0,68,8694,
12/31/2008,8371,107,107,0.0,520,520,,93,59.0,0.0,0.0,34.0,170,,,,890,7411,21081.0,-13670.0,0.0,70,27.0,27.0,0.0,43,7481,,308,308,,,,2,,,586,,586,896,5743,,2340,,,2340,8083,8979,0.0,-191.0,,,-500.0,986.0,-903,-608,0.0,-608,8371,
03/31/2009,8051,95,95,0.0,444,444,0.0,51,,,,,142,72.0,,70.0,732,7251,20960.0,-13709.0,0.0,68,25.0,25.0,0.0,43,7319,,666,245,86.0,139.0,196.0,2,0.0,2.0,227,175.0,52,895,5288,5288.0,2395,1332.0,872.0,191,7683,8578,0.0,-191.0,2.0,-193.0,-500.0,1062.0,-898,-527,0.0,-527,8051,
06/30/2009,7915,77,77,0.0,440,440,0.0,43,,,,,140,72.0,0.0,68.0,700,7148,20994.0,-13846.0,0.0,67,25.0,25.0,0.0,42,7215,,688,265,193.0,58.0,172.0,2,0.0,2.0,208,167.0,41,898,5056,5056.0,2366,1289.0,885.0,192,7422,8320,0.0,-175.0,2.0,-177.0,-500.0,1165.0,-895,-405,0.0,-405,7915,
