Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1988,839.091003,151.214994,17.747999,133.466995,293.476013,,,,,,,,,20.621,,,,465.312012,48.639999,90.435997,-41.796001,117.011002,,,208.128006,,,,208.128006,373.779007,,20.507999,20.507999,,,,3.129,,,,,152.195994,,,,152.195994,175.832993,116.805,,,,46.901001,,,,,46.901001,163.706001,339.538994,0.0,345.53299,,,0.0,,154.018997,499.551987,0.0,499.551987,839.090981,
04/01/1989,1300.119995,72.723999,53.410999,19.313,514.291992,,,,,,,,,20.714001,,,,607.72998,128.481003,237.237,-108.755997,220.686005,,,343.222992,,,,343.222992,692.389999,,33.103001,33.103001,,,,43.278999,,,,,271.908985,,,,271.908985,348.290985,50.977001,,,,87.264999,,,,,87.264999,138.242001,486.532986,0.0,521.982971,,,0.0,,291.604004,813.586975,0.0,813.586975,1300.119961,
07/02/1989,1155.515015,46.790001,26.377001,20.413,435.609009,,,,,,,,,20.676001,,,,503.075012,102.742996,,,233.979996,,,315.71701,,,,315.71701,652.440002,,,,,,,,,,,,245.610992,,,,245.610992,245.610992,44.164001,,,,99.094002,,,,,99.094002,143.258003,388.868996,0.0,,,,0.0,,766.645996,766.645996,0.0,766.645996,1155.514992,
09/30/1989,1273.874023,51.809999,32.389,19.421,471.243988,,,,,,,,,23.940001,,,,546.994019,133.940002,,,262.863007,,,330.076996,,,,330.076996,726.880005,,,,,,,,,,,,285.104004,,,,285.104004,285.104004,65.105003,,,,91.752998,,,,,91.752998,156.858002,441.962006,0.0,,,,0.0,,831.911987,831.911987,0.0,831.911987,1273.873993,
12/31/1989,1375.512939,47.579,23.032,24.547001,573.513977,,,,,,,,,28.202,,,,649.294983,119.834999,,,290.946991,,,315.436005,,,,315.436005,726.217995,,,,,,,,,,,,324.04599,,,,324.04599,324.04599,25.489,,,,108.904999,,,,,108.904999,134.393999,458.439989,0.0,,,,0.0,,917.072998,917.072998,0.0,917.072998,1375.512987,
03/31/1990,1453.229004,109.918003,76.272003,33.646,590.119995,,,,,,,,,25.313999,,,,725.35199,118.136002,252.481003,-134.345001,290.938995,,,318.802002,,,,318.802002,727.876999,,35.759998,35.759998,,,,4.724,,,,,288.531993,,,,288.531993,329.015991,26.089001,,,,107.971001,,,,,107.971001,134.060002,463.075993,0.0,533.513,,,0.0,,456.640015,990.153015,0.0,990.153015,1453.229008,
06/30/1990,1416.665039,106.265001,28.141001,78.124001,549.616028,,,,,,,,,27.921,,,,683.802002,120.431999,,,294.662994,,,317.768005,,,,317.768005,732.862999,,,,,,,,,,,,286.501007,,,,286.501007,286.501007,23.327999,,,,109.877998,,,,,109.877998,133.205997,419.707005,0.0,,,,0.0,,996.958008,996.958008,0.0,996.958008,1416.665012,
09/30/1990,1471.916992,119.931997,23.497,96.434998,590.705994,,,,,,,,,25.796,,,,736.434021,120.427002,,,313.032013,,,302.023987,,,,302.023987,735.483002,,,,,,,,,,,,295.730988,,,,295.730988,295.730988,26.289,,,,116.647003,,,,,116.647003,142.936003,438.66699,0.0,,,,0.0,,1033.25,1033.25,0.0,1033.25,1471.91699,
12/31/1990,1596.223022,171.915005,33.341,138.574005,651.633972,,,,,,,,,27.4,,,,850.948975,117.874001,,,332.875,,,294.524994,,,,294.524994,745.273994,,,,,,,,,,,,360.71701,,,,360.71701,360.71701,26.934,,,,123.794998,,,,,123.794998,150.728998,511.446009,0.0,,,,0.0,,1084.776978,1084.776978,0.0,1084.776978,1596.222986,
04/02/1991,1515.94397,248.423992,54.355999,194.067993,571.765991,,,,,,,,,28.881001,,,,849.070984,110.405998,268.199005,-157.792999,260.812988,,,295.653992,,,,295.653992,666.872978,,42.104,42.104,,,,2.974,,,,,257.007999,,,,257.007999,302.085999,24.611,,,,305.175995,,,,,305.175995,329.786995,631.872994,0.0,535.888,,,-36.342999,,384.526013,884.071014,0.0,884.071014,1515.944008,
