Date,Net Premium Earned (Non-Life & Life),Capital Gains (Losses),Total Investment Income,Other Operating Income,Revenue,Insurance Claims & Charges,Underwriting Costs,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Income Available to Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,211.878998,-2.546,78.236,5.631,293.200012,-174.732008,-87.901001,30.566999,-10.498,0,20.068999,-6.568,13.501,0.0,0,13.501,-0.109,13.392,13.391999,,0.36,0.36,37.0935,,,,,
06/30/1990,225.723999,2.19,79.179001,6.391,313.484009,-182.453007,-92.862,38.168999,-10.911,0,27.257998,-9.308,17.950001,0.0,0,17.950001,-0.109,17.841001,17.840999,,0.493333,0.493333,36.162001,,,,,
09/30/1990,218.490005,0.489,81.690002,6.421,307.089996,-177.525993,-92.362999,37.201,-10.623,0,26.578,-8.898,17.68,0.0,0,17.68,-0.11,17.57,17.57,,0.488889,0.488889,35.939249,,,,,
12/31/1990,232.360001,0.317,83.508003,5.616,321.800995,-188.076002,-93.099998,40.625,-11.06,0,29.565,-10.057,19.507999,0.0,0,19.507999,-0.135,19.372999,19.372999,,0.555556,0.555556,35.9685,,,,,
03/31/1991,226.031998,-0.933,83.227997,6.146,314.472992,-186.545006,-94.294998,33.632999,-10.211,0,23.421999,-7.742,15.68,0.0,0,15.68,-0.087,15.593,15.592999,,0.448889,0.448889,34.724249,,,,,
06/30/1991,248.895004,-0.34,88.704002,7.974,345.233002,-209.895996,-99.029999,36.306999,-9.793,0,26.513999,-8.594,17.92,0.0,0,17.92,-0.088,17.832,17.831999,,0.515556,0.515556,34.586999,,,,,
09/30/1991,255.981995,-0.547,90.161003,6.035,351.631012,-215.717999,-98.703003,37.209999,-9.606,0,27.603999,-8.997,18.607,0.0,0,18.607,-0.087,18.52,18.519999,,0.533333,0.533333,34.724249,,,,,
12/31/1991,265.742004,-0.101,99.483002,6.445,371.569,-227.275005,-101.216003,43.077999,-9.599,0,33.478999,-11.014,22.465,0.0,0,22.465,-0.109,22.356,22.355999,,0.644444,0.644444,34.6905,,,,,
03/31/1992,256.919006,-1.366,98.878998,6.548,360.980011,-221.001995,-104.610001,35.368,-8.858,0,26.51,-8.963,17.547001,-37.99,0,-20.443001,-0.066,-20.509001,17.481,,0.515556,-0.6,34.08525,,,,,
06/30/1992,281.080994,-0.674,102.507004,6.914,389.828003,-243.364002,-108.275002,38.188999,-8.592,0,29.596999,-9.879,19.718,0.0,0,19.718,-0.065,19.653,19.652999,,0.573333,0.573333,34.278749,,,,,
09/30/1992,275.214996,-0.432,105.626999,6.679,387.088989,-241.424995,-107.793999,37.869999,-8.215,0,29.654999,-9.763,19.892,0.0,0,19.892,-0.066,19.826,19.825999,,0.586667,0.586667,33.795001,,,,,
12/31/1992,277.316986,-0.108,107.422997,6.923,391.554993,-247.331005,-117.509003,26.715,-8.14,0,18.575,-6.12,12.455,0.0,0,12.455,-0.038,12.417,12.417,0.36,0.36,0.36,34.597501,0.36,0.36,0.36,34.597501,
03/31/1993,225.936996,-1.018,109.681,48.212002,382.812012,-231.660007,-111.540001,39.612,-8.871,0,30.740999,-10.279,20.462,0.0,0,20.462,,20.462,20.461999,,0.6,0.6,34.191001,,,,,
06/30/1993,245.050003,0.035,110.639999,51.394001,407.118988,-247.114998,-116.973,43.030998,-7.187,0,35.843998,-12.11,23.733999,0.0,0,23.733999,,23.733999,23.733999,,0.686667,0.686667,34.564499,,,,,
09/30/1993,227.884003,4.826,111.353996,53.381001,397.445007,-231.981998,-113.074997,52.388,-8.116,0,44.272,-17.743999,26.528,0.0,0,26.528,,26.528,26.528001,,0.773333,0.773333,34.349999,,,,,
12/31/1993,245.434998,4.673,112.971001,49.583,412.661987,-253.692009,-110.038002,48.931999,-8.218,0,40.713999,-14.281,26.433001,0.0,0,26.433001,,26.433001,26.432999,0.773333,0.773333,0.773333,34.180501,0.773333,0.773333,0.773333,34.180501,
03/31/1994,227.195999,0.403,111.418999,51.703999,390.721985,-231.648994,-114.794998,44.278,-7.981,0,36.297,-12.673,23.624001,0.0,0,23.624001,,23.624001,23.624,,0.686667,0.686667,34.383001,,,,,
06/30/1994,258.697998,0.092,114.793999,55.291,428.875,-263.336006,-119.376999,46.161999,-8.585,0,37.576999,-13.413,24.164,0.0,0,24.164,,24.164,24.163999,,0.7,0.7,34.560001,,,,,
09/30/1994,237.166,-0.099,116.640999,60.078999,413.786987,-249.017998,-117.193001,47.576,-9.187,0,38.389,-12.879,25.51,0.0,0,25.51,,25.51,25.51,,0.733333,0.733333,34.5315,,,,,
12/31/1994,242.417999,-1.776,118.639999,58.521,417.803009,-260.562996,-112.632004,44.608002,-9.874,0,34.734002,-11.847,22.886999,0.0,0,22.886999,,22.886999,22.887002,0.666667,0.666667,0.666667,34.53,0.666667,0.666667,0.666667,34.53,
03/31/1995,232.735992,0.397,120.337997,65.358002,418.82901,-248.446991,-123.942001,46.439999,-9.671,0,36.768999,-12.479,24.290001,0.0,0,24.290001,-0.07,24.220001,24.219999,0.7,0.7,0.7,34.5735,,,,,
