Date,Revenue,Net Income/Net Profit (Losses),Net Inc Avail to Common Shareholders,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Source: Bloomberg
11/30/1992,974,64,64,0.4,0.4,158.813995,
02/28/1993,1001,87,87,0.55,0.55,158.864197,
05/31/1993,992,73,73,0.46,0.46,159.257004,
